beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,1000,1000,20,1,5.713712,862.195093,1091.32423,-1.286288,-137.804907,91.32423,0.550952
7,1000,1000,20,2,1.895185,208.041051,1780.986645,-5.104815,-791.958949,780.986645,0.966621
7,1000,1000,20,3,1.840742,265.88462,1743.8791,-5.159258,-734.11538,743.8791,0.961204
7,1000,1000,20,4,2.01781,323.755825,1641.910317,-4.98219,-676.244175,641.910317,0.964209
7,1000,1000,20,5,5.336403,815.464935,1197.554886,-1.663597,-184.535065,197.554886,0.647822
7,1000,1000,20,6,5.527644,909.185209,1048.047914,-1.472356,-90.814791,48.047914,0.684742
7,1000,1000,20,7,4.149385,530.681214,1420.496227,-2.850615,-469.318786,420.496227,0.95605
7,1000,1000,20,8,4.838882,664.977715,1384.328485,-2.161118,-335.022285,384.328485,0.94873
7,1000,1000,20,9,5.0,748.673766,1288.752785,-2.0,-251.326234,288.752785,0.863861
7,1000,1000,20,10,5.207907,931.712082,1037.478683,-1.792093,-68.287918,37.478683,0.857127
7,1000,1000,20,11,3.102597,564.876498,1451.288347,-3.897403,-435.123502,451.288347,0.954524
7,1000,1000,20,12,3.349861,588.055527,1372.000121,-3.650139,-411.944473,372.000121,0.950911
7,1000,1000,20,13,3.809286,654.97264,1308.143259,-3.190714,-345.02736,308.143259,0.87924
7,1000,1000,20,14,5.071427,577.93213,1394.487543,-1.928573,-422.06787,394.487543,0.913857
7,1000,1000,20,15,5.130757,848.825699,1228.038761,-1.869243,-151.174301,228.038761,0.912327
7,1000,1000,20,16,5.845262,573.176975,1435.074976,-1.154738,-426.823025,435.074976,0.38901
7,1000,1000,20,17,2.94947,453.843131,1554.854219,-4.05053,-546.156869,554.854219,0.916681
7,1000,1000,20,18,5.763541,958.541336,1010.532591,-1.236459,-41.458664,10.532591,0.48125
7,1000,1000,20,19,4.918852,771.047576,1220.73618,-2.081148,-228.952424,220.73618,0.864226
7,1000,1000,20,20,2.324397,288.743092,1745.588987,-4.675603,-711.256908,745.588987,0.973857
7,1000,1000,20,21,2.209598,380.862204,1577.883463,-4.790402,-619.137796,577.883463,0.960797
7,1000,1000,20,22,5.027419,593.954935,1384.801418,-1.972581,-406.045065,384.801418,0.940576
7,1000,1000,20,23,2.520113,389.780767,1603.393462,-4.479887,-610.219233,603.393462,0.96679
7,1000,1000,20,24,5.08184,716.882048,1299.430825,-1.91816,-283.117952,299.430825,0.927793
7,1000,1000,20,25,2.953842,604.59566,1361.986915,-4.046158,-395.40434,361.986915,0.945806
7,1000,1000,20,26,5.025943,672.502944,1312.215979,-1.974057,-327.497056,312.215979,0.958256
7,1000,1000,20,27,1.913905,368.403393,1609.430252,-5.086095,-631.596607,609.430252,0.981689
7,1000,1000,20,28,2.838465,539.0342,1459.907462,-4.161535,-460.9658,459.907462,0.940948
