beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,1000,30,61,2.242672,971.128072,1051.664643,0.242672,-28.871928,51.664643,0.966439
2.0,1000,1000,30,62,1.871914,1028.43793,1018.597301,-0.128086,28.43793,18.597301,0.964026
2.0,1000,1000,30,63,3.341818,2189.952989,3.7e-05,1.341818,1189.952989,-999.999963,0.883453
2.0,1000,1000,30,64,1.67838,970.04927,1073.09731,-0.32162,-29.95073,73.09731,0.955392
2.0,1000,1000,30,65,1.725012,906.806352,1108.30716,-0.274988,-93.193648,108.30716,0.971722
2.0,1000,1000,30,66,4.000001,2018.167666,0.000179,2.000001,1018.167666,-999.999821,0.856975
2.0,1000,1000,30,67,1.670568,889.685911,1038.29654,-0.329432,-110.314089,38.29654,0.980759
2.0,1000,1000,30,68,1.40837,887.432346,1096.306608,-0.59163,-112.567654,96.306608,0.959438
2.0,1000,1000,30,69,3.168544,1370.671801,623.550318,1.168544,370.671801,-376.449682,0.961676
2.0,1000,1000,30,70,1.741137,982.848579,990.529154,-0.258863,-17.151421,-9.470846,0.98165
2.0,1000,1000,30,71,4.629842,2038.50758,2.9e-05,2.629842,1038.50758,-999.999971,0.862641
2.0,1000,1000,30,72,1.879681,908.186831,1195.237058,-0.120319,-91.813169,195.237058,0.946426
2.0,1000,1000,30,73,1.949038,1004.371402,931.408487,-0.050962,4.371402,-68.591513,0.931452
2.0,1000,1000,30,74,2.327359,959.882724,1080.205888,0.327359,-40.117276,80.205888,0.963319
2.0,1000,1000,30,75,3.041188,1392.097977,711.521008,1.041188,392.097977,-288.478992,0.970083
2.0,1000,1000,30,76,1.864464,989.833659,965.858874,-0.135536,-10.166341,-34.141126,0.973938
2.0,1000,1000,30,77,1.617742,956.612554,997.94092,-0.382258,-43.387446,-2.05908,0.980793
2.0,1000,1000,30,78,2.006362,1003.318835,940.010299,0.006362,3.318835,-59.989701,0.956
2.0,1000,1000,30,79,1.612466,771.175993,1087.595384,-0.387534,-228.824007,87.595384,0.968245
2.0,1000,1000,30,80,1.573899,678.129168,1317.871095,-0.426101,-321.870832,317.871095,0.980482
2.0,1000,1000,30,81,1.53138,535.679991,1355.71738,-0.46862,-464.320009,355.71738,0.975736
2.0,1000,1000,30,82,2.095926,835.177953,1124.938223,0.095926,-164.822047,124.938223,0.973763
2.0,1000,1000,30,83,1.860553,990.892127,934.856716,-0.139447,-9.107873,-65.143284,0.972482
2.0,1000,1000,30,84,1.529317,1016.314984,1053.036017,-0.470683,16.314984,53.036017,0.947505
2.0,1000,1000,30,85,2.01775,1161.898408,907.036018,0.01775,161.898408,-92.963982,0.965239
2.0,1000,1000,30,86,1.616029,699.574347,1198.275331,-0.383971,-300.425653,198.275331,0.958348
2.0,1000,1000,30,87,1.87362,1099.826034,893.710609,-0.12638,99.826034,-106.289391,0.982055
2.0,1000,1000,30,88,3.468138,1978.473101,2e-06,1.468138,978.473101,-999.999998,0.847902
2.0,1000,1000,30,89,2.155057,1162.883068,1018.464749,0.155057,162.883068,18.464749,0.945757
2.0,1000,1000,30,90,1.714891,1048.256411,983.57094,-0.285109,48.256411,-16.42906,0.975797
2.0,1000,1000,30,91,2.12755,889.864037,1044.082551,0.12755,-110.135963,44.082551,0.974052
2.0,1000,1000,30,92,2.047148,1060.828775,890.375499,0.047148,60.828775,-109.624501,0.981999
2.0,1000,1000,30,93,1.475438,919.952942,1056.880743,-0.524562,-80.047058,56.880743,0.967957
2.0,1000,1000,30,94,2.042482,1046.066239,1052.623929,0.042482,46.066239,52.623929,0.94662
2.0,1000,1000,30,95,1.715578,856.718709,1170.635468,-0.284422,-143.281291,170.635468,0.975222
2.0,1000,1000,30,96,2.139762,990.97587,951.090225,0.139762,-9.02413,-48.909775,0.951966
2.0,1000,1000,30,97,1.802301,912.061806,1002.888261,-0.197699,-87.938194,2.888261,0.96517
2.0,1000,1000,30,98,2.179671,1212.847591,991.442047,0.179671,212.847591,-8.557953,0.969339
2.0,1000,1000,30,99,1.872494,887.401263,1121.092835,-0.127506,-112.598737,121.092835,0.976895
2.0,1000,1000,30,100,1.645039,837.698862,1034.158732,-0.354961,-162.301138,34.158732,0.976069
2.0,1000,1000,30,101,4.342745,1989.964387,2.6e-05,2.342745,989.964387,-999.999974,0.85832
2.0,1000,1000,30,102,2.645704,996.241904,826.625009,0.645704,-3.758096,-173.374991,0.966539
2.0,1000,1000,30,103,4.005279,2080.132806,0.000192,2.005279,1080.132806,-999.999808,0.852754
2.0,1000,1000,30,104,2.023737,864.000601,1048.181411,0.023737,-135.999399,48.181411,0.971493
2.0,1000,1000,30,105,1.750799,864.760196,1132.636498,-0.249201,-135.239804,132.636498,0.985856
