beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,1000,10,1,2.0,296.738492,926.91906,0.5,96.738492,-73.08094,0.946956
1.5,200,1000,10,2,2.0,330.228644,930.542447,0.5,130.228644,-69.457553,0.959056
1.5,200,1000,10,3,5.0,1182.231884,62.893702,3.5,982.231884,-937.106298,0.584061
1.5,200,1000,10,4,5.0,684.831498,608.879504,3.5,484.831498,-391.120496,0.857115
1.5,200,1000,10,5,5.078236,294.743464,878.729533,3.578236,94.743464,-121.270467,0.806478
1.5,200,1000,10,6,2.1,184.931683,963.165951,0.6,-15.068317,-36.834049,0.957214
1.5,200,1000,10,7,1.475471,253.800753,984.838721,-0.024529,53.800753,-15.161279,0.933766
1.5,200,1000,10,8,5.0,439.965137,729.427468,3.5,239.965137,-270.572532,0.773465
1.5,200,1000,10,9,5.0,662.825308,541.433838,3.5,462.825308,-458.566162,0.821441
1.5,200,1000,10,10,5.0,868.637756,395.755762,3.5,668.637756,-604.244238,0.687361
1.5,200,1000,10,11,1.341581,167.567017,995.539075,-0.158419,-32.432983,-4.460925,0.925239
1.5,200,1000,10,12,1.613755,300.981603,990.757014,0.113755,100.981603,-9.242986,0.940066
1.5,200,1000,10,13,1.40176,187.279689,979.111679,-0.09824,-12.720311,-20.888321,0.957868
1.5,200,1000,10,14,1.593872,85.48026,1059.597037,0.093872,-114.51974,59.597037,0.943022
1.5,200,1000,10,15,5.0,702.364958,545.027583,3.5,502.364958,-454.972417,0.885269
1.5,200,1000,10,16,2.1,170.487949,1009.280889,0.6,-29.512051,9.280889,0.95478
1.5,200,1000,10,17,5.0,854.530581,439.280654,3.5,654.530581,-560.719346,0.838673
1.5,200,1000,10,18,1.731935,177.947088,983.790606,0.231935,-22.052912,-16.209394,0.918411
1.5,200,1000,10,19,5.0,911.360714,414.39013,3.5,711.360714,-585.60987,0.756465
1.5,200,1000,10,20,1.91131,258.690546,987.805349,0.41131,58.690546,-12.194651,0.94832
1.5,200,1000,10,21,5.273204,273.291387,932.271076,3.773204,73.291387,-67.728924,0.62317
1.5,200,1000,10,22,4.9,495.908657,716.796646,3.4,295.908657,-283.203354,0.856944
1.5,200,1000,10,23,5.0,1089.126157,194.468431,3.5,889.126157,-805.531569,0.715494
