beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,1000,10,60,1.608934,5727.07628,0.000227,0.108934,727.07628,-999.999773,0.853587
1.5,5000,1000,10,61,2.378677,5450.501388,0.000173,0.878677,450.501388,-999.999827,0.958063
1.5,5000,1000,10,62,2.544356,6946.741596,1.7e-05,1.044356,1946.741596,-999.999983,0.883964
1.5,5000,1000,10,63,2.7,6005.97467,0.0001,1.2,1005.97467,-999.9999,0.948345
1.5,5000,1000,10,64,2.645336,6676.038846,1e-06,1.145336,1676.038846,-999.999999,0.878302
1.5,5000,1000,10,65,2.516017,7583.088237,399.622203,1.016017,2583.088237,-600.377797,0.912612
1.5,5000,1000,10,66,1.771232,6175.276173,2e-06,0.271232,1175.276173,-999.999998,0.887959
1.5,5000,1000,10,67,2.488171,7967.06236,1e-06,0.988171,2967.06236,-999.999999,0.936536
1.5,5000,1000,10,68,1.505014,4389.849017,395.065638,0.005014,-610.150983,-604.934362,0.911549
1.5,5000,1000,10,69,1.713632,5879.317441,459.583316,0.213632,879.317441,-540.416684,0.945672
1.5,5000,1000,10,70,1.6,6047.448847,156.486831,0.1,1047.448847,-843.513169,0.948975
1.5,5000,1000,10,71,1.150366,4658.698062,776.053044,-0.349634,-341.301938,-223.946956,0.956679
1.5,5000,1000,10,72,1.8,3855.779297,205.503115,0.3,-1144.220703,-794.496885,0.914085
1.5,5000,1000,10,73,1.207189,4849.747313,1484.330017,-0.292811,-150.252687,484.330017,0.951231
1.5,5000,1000,10,74,2.065761,7803.893234,5.1e-05,0.565761,2803.893234,-999.999949,0.85059
1.5,5000,1000,10,75,2.034069,7819.478478,9.2e-05,0.534069,2819.478478,-999.999908,0.891591
1.5,5000,1000,10,76,1.832774,3041.816694,2577.197999,0.332774,-1958.183306,1577.197999,0.927022
1.5,5000,1000,10,77,2.842621,6927.124681,2.2e-05,1.342621,1927.124681,-999.999978,0.97069
1.5,5000,1000,10,78,1.422723,4345.843347,463.329935,-0.077277,-654.156653,-536.670065,0.913156
1.5,5000,1000,10,79,1.343803,3475.728778,985.009022,-0.156197,-1524.271222,-14.990978,0.915779
1.5,5000,1000,10,80,1.834952,6476.978766,5.6e-05,0.334952,1476.978766,-999.999944,0.847032
1.5,5000,1000,10,81,2.65709,5034.332249,6e-06,1.15709,34.332249,-999.999994,0.947783
1.5,5000,1000,10,82,2.701769,7236.721255,9.3e-05,1.201769,2236.721255,-999.999907,0.81681
1.5,5000,1000,10,83,1.497872,5944.762268,1e-05,-0.002128,944.762268,-999.99999,0.871242
1.5,5000,1000,10,84,2.544915,5864.951718,0.000145,1.044915,864.951718,-999.999855,0.898261
1.5,5000,1000,10,85,1.423399,6090.217099,680.437843,-0.076601,1090.217099,-319.562157,0.945879
1.5,5000,1000,10,86,1.416344,4657.511045,702.622253,-0.083656,-342.488955,-297.377747,0.950868
1.5,5000,1000,10,87,2.808368,6037.424215,0.000107,1.308368,1037.424215,-999.999893,0.898017
1.5,5000,1000,10,88,1.182718,5603.282933,1469.927436,-0.317282,603.282933,469.927436,0.939308
1.5,5000,1000,10,89,1.685241,6301.655877,3e-06,0.185241,1301.655877,-999.999997,0.859721
1.5,5000,1000,10,90,2.109363,6205.488574,8.3e-05,0.609363,1205.488574,-999.999917,0.907789
1.5,5000,1000,10,91,2.7,5883.684986,149.813152,1.2,883.684986,-850.186848,0.967416
1.5,5000,1000,10,92,1.739961,3414.972612,1291.160025,0.239961,-1585.027388,291.160025,0.95272
1.5,5000,1000,10,93,1.451873,4846.675489,1669.253845,-0.048127,-153.324511,669.253845,0.929493
1.5,5000,1000,10,94,1.7,8130.6766,40.791897,0.2,3130.6766,-959.208103,0.918366
1.5,5000,1000,10,95,1.379944,5582.475334,1223.825009,-0.120056,582.475334,223.825009,0.979779
1.5,5000,1000,10,96,2.055714,7300.569216,3.9e-05,0.555714,2300.569216,-999.999961,0.721567
1.5,5000,1000,10,97,1.614274,6199.186329,989.978053,0.114274,1199.186329,-10.021947,0.91185
1.5,5000,1000,10,98,1.146063,6531.742566,1075.653876,-0.353937,1531.742566,75.653876,0.965252
1.5,5000,1000,10,99,2.17879,5996.923659,882.647294,0.67879,996.923659,-117.352706,0.898528
1.5,5000,1000,10,100,2.04076,5875.239092,1.2e-05,0.54076,875.239092,-999.999988,0.905861
1.5,5000,1000,10,101,2.345731,4718.768176,0.000233,0.845731,-281.231824,-999.999767,0.871651
1.5,5000,1000,10,102,2.338754,5284.444796,1.1e-05,0.838754,284.444796,-999.999989,0.891294
1.5,5000,1000,10,103,3.271112,5969.38366,5.9e-05,1.771112,969.38366,-999.999941,0.818039
1.5,5000,1000,10,104,1.518286,6302.490354,825.69622,0.018286,1302.490354,-174.30378,0.832413
1.5,5000,1000,10,105,2.276914,6730.720063,3e-06,0.776914,1730.720063,-999.999997,0.882807
1.5,5000,1000,10,106,1.604072,4791.193224,645.715187,0.104072,-208.806776,-354.284813,0.959823
1.5,5000,1000,10,107,2.072905,7227.215024,8e-06,0.572905,2227.215024,-999.999992,0.874914
1.5,5000,1000,10,108,1.897,5987.123332,3e-06,0.397,987.123332,-999.999997,0.857007
1.5,5000,1000,10,109,2.182107,6475.542664,4.5e-05,0.682107,1475.542664,-999.999955,0.835423
1.5,5000,1000,10,110,2.319979,6610.367252,5.545779,0.819979,1610.367252,-994.454221,0.905763
1.5,5000,1000,10,111,2.657435,5318.561575,3.7e-05,1.157435,318.561575,-999.999963,0.879516
1.5,5000,1000,10,112,3.850448,5578.065105,0.000101,2.350448,578.065105,-999.999899,0.859459
1.5,5000,1000,10,113,1.261998,4245.815449,976.445611,-0.238002,-754.184551,-23.554389,0.965967
1.5,5000,1000,10,114,2.12541,7685.913216,1e-05,0.62541,2685.913216,-999.99999,0.907517
1.5,5000,1000,10,115,2.140895,6040.699661,0.000124,0.640895,1040.699661,-999.999876,0.919202
1.5,5000,1000,10,116,2.401529,8332.094826,4.3e-05,0.901529,3332.094826,-999.999957,0.804816
1.5,5000,1000,10,117,1.709523,5364.79759,3e-06,0.209523,364.79759,-999.999997,0.870027
1.5,5000,1000,10,118,2.537349,7344.100709,2.9e-05,1.037349,2344.100709,-999.999971,0.97317
1.5,5000,1000,10,119,2.500085,7052.694514,0.000122,1.000085,2052.694514,-999.999878,0.864577
1.5,5000,1000,10,120,1.35069,4614.40853,841.231503,-0.14931,-385.59147,-158.768497,0.964712
1.5,5000,1000,10,121,2.579107,7051.624633,2e-06,1.079107,2051.624633,-999.999998,0.89992
1.5,5000,1000,10,122,1.814234,4853.142335,791.468154,0.314234,-146.857665,-208.531846,0.945614
1.5,5000,1000,10,123,3.337411,7511.668931,1e-05,1.837411,2511.668931,-999.99999,0.906897
1.5,5000,1000,10,124,2.597125,6240.795738,0.000212,1.097125,1240.795738,-999.999788,0.932087
1.5,5000,1000,10,125,1.897121,4593.27533,288.631646,0.397121,-406.72467,-711.368354,0.916842
1.5,5000,1000,10,126,2.579483,5544.88484,3e-05,1.079483,544.88484,-999.99997,0.92928
1.5,5000,1000,10,127,2.3,5447.869088,381.940517,0.8,447.869088,-618.059483,0.957509
1.5,5000,1000,10,128,1.267765,6288.204535,1086.801353,-0.232235,1288.204535,86.801353,0.897103
1.5,5000,1000,10,129,2.1,6181.554906,21.058473,0.6,1181.554906,-978.941527,0.930455
1.5,5000,1000,10,130,2.753714,5499.862159,354.401424,1.253714,499.862159,-645.598576,0.834267
1.5,5000,1000,10,131,1.3,6671.716564,33.010276,-0.2,1671.716564,-966.989724,0.877749
1.5,5000,1000,10,132,1.868511,6264.628394,0.000115,0.368511,1264.628394,-999.999885,0.896884
1.5,5000,1000,10,133,3.097076,4968.728596,3.3e-05,1.597076,-31.271404,-999.999967,0.894246
1.5,5000,1000,10,134,1.729921,6152.672208,7e-06,0.229921,1152.672208,-999.999993,0.912524
