n,beta,gamma_over_eta,qcp_vs_q_relative_rmsre_improvement,p_rmsre,p_signed_relative_bias,p_relative_error_sd,p_mae,p_mdape,p_p95_absolute_error,p_within_10pct,p_within_20pct,p_q025_signed_error,p_q975_signed_error,q_rmsre,q_signed_relative_bias,q_relative_error_sd,q_mae,q_mdape,q_p95_absolute_error,q_within_10pct,q_within_20pct,q_q025_signed_error,q_q975_signed_error,qcp_rmsre,qcp_signed_relative_bias,qcp_relative_error_sd,qcp_mae,qcp_mdape,qcp_p95_absolute_error,qcp_within_10pct,qcp_within_20pct,qcp_q025_signed_error,qcp_q975_signed_error
7,1.5,0.1,0.017981117360067238,0.6367910759240691,0.4080105279960553,0.48890723396255226,0.44945596918201774,0.30224913358688354,1.3440742075443262,0.206,0.3586666666666667,-0.23597142435610294,1.5826045602560062,0.5578216460838638,0.3357502441532415,0.44546241411678056,0.3996447899738608,0.2787899672985077,1.1377876043319697,0.209,0.387,-0.29791580364108083,1.3488966882228854,0.5477913895996439,0.36465377443424707,0.40878237646743787,0.3859787583671156,0.26644909381866455,1.141105842590331,0.22966666666666666,0.419,-0.13180251531302928,1.3154592365026476
7,1.5,0.25,-0.023956304215078612,0.3819479537327272,0.16934075593858142,0.3423564629721007,0.26993323104288236,0.17856860160827637,0.8137176901102053,0.27566666666666667,0.5496666666666666,-0.30853367000818255,1.1070994079113008,0.3109322139120366,0.06663944398066693,0.3037071387935885,0.21100234527968495,0.15088053792715073,0.6524500787258141,0.3456666666666667,0.6376666666666667,-0.3027976222336292,0.9369474604725838,0.3183810006187813,0.06572978627377112,0.31152216093148294,0.22123664313574165,0.16190366446971893,0.6572787523269649,0.31166666666666665,0.606,-0.3211934186518192,0.9408388093113905
7,1.5,0.5,0.04139789197910346,0.24391828723876827,0.025387146126896066,0.2425935359011569,0.1880126513687331,0.15994278341531754,0.49109515845775603,0.341,0.6143333333333333,-0.3227733217179775,0.5687245160341263,0.27817395492502317,-0.07710060361458454,0.2672755995613807,0.23263642898687006,0.20396238565444946,0.4701839402318001,0.183,0.48966666666666664,-0.43244965523481366,0.5803829193115234,0.26665813958763707,-0.07293732991089048,0.25648919921472263,0.22330387705032778,0.19997748732566833,0.4470715656876564,0.19233333333333333,0.5,-0.4072606913745403,0.5453321546316148
7,1.5,0.75,0.020576111845863145,0.1655688105573725,0.00799082953041064,0.16537586786710756,0.1332254182507886,0.11314622312784195,0.31538541316986074,0.438,0.748,-0.2773437030613422,0.33941755518317224,0.2004978875962446,-0.043212509860393766,0.1957858062325298,0.1640977095030127,0.15132416784763336,0.3773786321282382,0.35933333333333334,0.6313333333333333,-0.41082546710968015,0.32138265967369084,0.19637242063620497,-0.04359118424066886,0.19147306923695218,0.16197208858904197,0.1477622240781784,0.375535501539707,0.3556666666666667,0.641,-0.38597381189465524,0.3289730466902257
7,1.5,1.0,-0.003839254808945069,0.1094463450766022,-0.0376658419866914,0.10276082326480401,0.08814398172276257,0.0778467133641243,0.21494447290897367,0.6383333333333333,0.935,-0.22792281173169612,0.19090212881565102,0.13280879639967574,-0.05311606910427387,0.12172452342909595,0.10449770053623919,0.08595596626400948,0.26993527859449384,0.559,0.8753333333333333,-0.29065520167350767,0.19332483299076572,0.1333186832099234,-0.05622861741385956,0.120880990550846,0.10661544413960898,0.0896546058356762,0.261232857406139,0.544,0.864,-0.29689873978495596,0.19727878011763106
7,2.0,0.1,0.030019614229072136,0.438092563962376,0.20507307553301143,0.38713063465781195,0.3121402397722498,0.21417716145515442,0.9404264062643051,0.276,0.4786666666666667,-0.31760233268141747,1.1229316771030429,0.40709135193545165,0.18328309669991677,0.36349783394777296,0.29903312868941023,0.20721057057380676,0.8101463735103607,0.23166666666666666,0.485,-0.3646185651421547,1.010220551490785,0.39487062659435795,0.19401935729033995,0.3439175784162018,0.27801779158275924,0.17532864958047867,0.8280806601047512,0.3273333333333333,0.547,-0.2722898095846176,1.0222151935100559
7,2.0,0.25,-0.003601147189778314,0.2820869407726588,0.06081408968017786,0.2754536052602122,0.21306393990906267,0.16777987033128738,0.5418642371892926,0.31833333333333336,0.5876666666666667,-0.36113419011235237,0.7401163950562478,0.2552072494307222,0.006464218944572621,0.2551253692509459,0.19826594514418153,0.16722121089696884,0.44446113705635065,0.2816666666666667,0.6036666666666667,-0.34128985926508904,0.6030849486589432,0.2561262882998207,0.005443450042492865,0.25606843696535064,0.20063914205734423,0.1673216074705124,0.45097249746322626,0.2773333333333333,0.5896666666666667,-0.3466633751988411,0.5876673161983491
7,2.0,0.5,0.0531067998828394,0.20596593942626268,-0.004229315367182911,0.20592251235663336,0.16284399343798578,0.14342643320560455,0.3753475829958914,0.371,0.6596666666666666,-0.3326395370066166,0.41245506554842,0.2515805658183988,-0.08364736567770402,0.23726756902848348,0.20868644006791873,0.18850372731685638,0.43699868321418756,0.258,0.529,-0.4530628107488155,0.4099389344453814,0.2382199270550696,-0.0764854807760712,0.22560741316848595,0.19663069805020253,0.18510273098945618,0.41489737480878824,0.2773333333333333,0.5333333333333333,-0.42388410568237306,0.4015008188784123
7,2.0,0.75,0.002139174342949147,0.14986037200922708,-0.0074792946831439625,0.1496736157436795,0.12072241670950704,0.10093549638986588,0.2831532523036002,0.494,0.803,-0.2716847874224186,0.31698812544345867,0.17794128222109074,-0.037996928362546895,0.17383708854412325,0.14490228668376948,0.12384051084518433,0.3494511365890502,0.4053333333333333,0.7263333333333334,-0.3617506131529808,0.33261278122663496,0.1775606347956119,-0.03781986677112582,0.17348612828245075,0.14531312524366755,0.12696509808301926,0.3398150324821472,0.38566666666666666,0.7296666666666667,-0.3432263098657131,0.33299895897507675
7,2.0,1.0,0.010338335919978486,0.10190894231862253,-0.041533193261514195,0.09306141188485187,0.08311449502236429,0.07154407352209091,0.1858180813491343,0.656,0.963,-0.2144802127033472,0.15495162196457388,0.11557696417946264,-0.047287331278900335,0.10546062274356398,0.09263493458401233,0.07913031801581383,0.21798344328999494,0.613,0.926,-0.250470495223999,0.18473888859152796,0.11438209069916404,-0.04751493861665646,0.10404611132073681,0.09263492785426873,0.08011874184012413,0.21089678928256028,0.596,0.935,-0.24180584996938706,0.1668267607688904
7,2.5,0.1,0.027778532715736128,0.30146084415050406,0.09473039912997774,0.2861901326681435,0.2305470316719414,0.1826418712735176,0.640904080867767,0.291,0.54,-0.3820856511592865,0.7534618079662324,0.2865881562578796,0.08951549769632403,0.2722494205310091,0.21824381765613604,0.17647624015808105,0.5885611683130263,0.32033333333333336,0.547,-0.4009416289627552,0.7161161974072457,0.2786271577833276,0.10234628838383165,0.25914924331062383,0.21344188478875245,0.17504621297121048,0.5916366249322882,0.31366666666666665,0.5526666666666666,-0.3245680324733257,0.7034336283802988
