run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
F13_J_seed2026,confirm,2026,F13,J,"7,10,20","7,10,20",completed,102,46426,0.5308889374023182,0.4887114461420549,0.04217749126026332,0.1634961605248661,0.043004186265903924,0.006710314798124952,0.19058435046911246,0.45111111111111113,40.7,2026-07-19T21:46:38+00:00
F13_S_7to7_seed2026,confirm,2026,F13,S,7,7,completed,39,46426,0.6549593810253181,0.5864600855982591,0.06849929542705901,0.27051999202655613,0.08503635879315043,0.026417465979845785,0.3276104067185878,0.35933333333333334,5.4,2026-07-19T21:46:43+00:00
F13_S_10to10_seed2026,confirm,2026,F13,S,10,10,completed,120,46426,0.5269273625003338,0.4929447185511582,0.033982643949175606,0.16375318268807332,0.034657949804077645,0.0045873695003336434,0.1677342427240058,0.5033333333333333,16.0,2026-07-19T21:46:59+00:00
F13_S_20to20_seed2026,confirm,2026,F13,S,20,20,completed,160,46426,0.38716830142618647,0.3599815345588963,0.027186766867290157,0.0873655645031907,0.02031258840586054,0.0023764606383693005,0.095882400285184,0.5043333333333333,20.8,2026-07-19T21:47:20+00:00
F13_T_7to10-20_seed2026,confirm,2026,F13,T,7,"10,20",completed,39,46426,0.5200120087898314,0.4316139483212159,0.08839806046861554,0.4285718687034912,0.08412188890020654,0.03045028871966035,0.31272834329976623,0.2705,5.9,2026-07-19T21:47:26+00:00
F13_T_10to7-20_seed2026,confirm,2026,F13,T,10,"7,20",completed,120,46426,0.5802682065764178,0.4865809990244663,0.09368720755195148,0.482453637371252,0.09995012295176454,0.0308852974202007,0.3612494285181684,0.30366666666666664,16.3,2026-07-19T21:47:43+00:00
F13_T_20to7-10_seed2026,confirm,2026,F13,T,20,"7,10",completed,160,46426,0.7416870423791145,0.541724066083185,0.19996297629592952,0.4515186081910488,0.2566347050593794,0.07033845595825661,1.1090937015386395,0.2643333333333333,21.2,2026-07-19T21:48:04+00:00
F13_L_hold7_seed2026,confirm,2026,F13,L,"10,20",7,completed,149,46426,0.6419231768422496,0.5864600855982591,0.055463091243990514,0.24630635930493705,0.06812993296732864,0.005827053408154495,0.2758650055449046,0.516,38.3,2026-07-19T21:48:42+00:00
F13_L_hold10_seed2026,confirm,2026,F13,L,"7,20",10,completed,72,46426,0.5434453633760439,0.4929447185511582,0.0505006448248857,0.21202948323566434,0.05233836742743975,0.010368499560027899,0.20877445997505628,0.43666666666666665,19.2,2026-07-19T21:49:02+00:00
F13_L_hold20_seed2026,confirm,2026,F13,L,"7,10",20,completed,37,46426,0.45216682294849586,0.3599815345588963,0.09218528838959955,0.15831664287659486,0.07486813055195855,0.022162453979497145,0.3214020679200513,0.3473333333333333,10.1,2026-07-19T21:49:12+00:00
F12_J_seed2026,confirm,2026,F12,J,"7,10,20","7,10,20",completed,51,46452,0.542029919894041,0.4887114461420549,0.05331847375198612,0.18651460342972773,0.05495755647008193,0.015138781887302326,0.2191240693066479,0.37444444444444447,22.5,2026-07-19T21:49:34+00:00
F12_S_7to7_seed2026,confirm,2026,F12,S,7,7,completed,51,46452,0.6457287614418014,0.5864600855982591,0.05926867584354223,0.24574188345221645,0.0730302013532454,0.004834632491530447,0.2766644755318775,0.5246666666666666,7.5,2026-07-19T21:49:42+00:00
F12_S_10to10_seed2026,confirm,2026,F12,S,10,10,completed,81,46452,0.5314246746997845,0.4929447185511582,0.038479956148626315,0.15924312649899644,0.03941768933229122,0.006137765914851,0.17776163742439788,0.478,11.7,2026-07-19T21:49:54+00:00
F12_S_20to20_seed2026,confirm,2026,F12,S,20,20,completed,72,46452,0.3874426757543218,0.3599815345588963,0.027461141195425476,0.09040046140991413,0.020525121772290683,0.0034766241556494775,0.09361255851479462,0.4656666666666667,10.4,2026-07-19T21:50:04+00:00
F12_T_7to10-20_seed2026,confirm,2026,F12,T,7,"10,20",completed,51,46452,0.5004131924043761,0.4316139483212159,0.06879924408316018,0.49435625939935607,0.06412276274690984,0.013729106591261152,0.2438650806716818,0.3795,7.9,2026-07-19T21:50:12+00:00
