model,split,seed,J1,failure_rate,n_samples,J1_n7,J1_n10,J1_n15,J1_n20
Normalized-RAW-MLP,combo_holdout_pooled,42,0.5845531935428129,0.0,48000,0.701337127247328,0.6070629116585652,0.5293829329592756,0.47556735574356884
Normalized-RAW-MLP,combo_holdout_pooled,2026,0.5849135438096444,0.0,48000,0.7046301230888252,0.6040584564840132,0.528459939735167,0.47732093795360514
Normalized-RAW-MLP,combo_holdout_pooled,3407,0.5855203298807452,0.0,48000,0.7000233768643649,0.6111120313913262,0.5274425299180926,0.4792180728858278
Default,combo_holdout_pooled,n/a,0.6304091999323667,0.0,48000,,,,
L1,combo_holdout_pooled,n/a,0.6245182886884386,0.0,48000,,,,
L2,combo_holdout_pooled,n/a,0.6230353862087367,0.0,48000,,,,
L6-hindsight,combo_holdout_pooled,n/a,0.4922971152637208,0.0,48000,,,,
