beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,5000,10,1,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,2,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,3,1.860153,3363.585099,2638.613201,-0.139847,-1636.414901,1638.613201,0.872251
2.0,5000,10,4,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,5,2.884491,6418.087670,0.000000,0.884491,1418.087670,-1000.000000,0.740749
2.0,5000,10,6,4.068836,6135.276412,0.000000,2.068836,1135.276412,-1000.000000,0.859529
2.0,5000,10,7,2.949359,5950.436650,0.000000,0.949359,950.436650,-1000.000000,0.322566
2.0,5000,10,8,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,9,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,10,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,11,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,12,1.320899,2763.767729,1972.078827,-0.679101,-2236.232271,972.078827,0.767784
2.0,5000,10,13,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,14,2.748396,5112.694679,549.413797,0.748396,112.694679,-450.586203,0.912097
2.0,5000,10,15,3.002539,6490.842234,0.000000,1.002539,1490.842234,-1000.000000,0.636059
2.0,5000,10,16,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,17,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,18,1.856773,3856.464614,2008.824302,-0.143227,-1143.535386,1008.824302,0.777560
2.0,5000,10,19,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,20,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,21,2.433122,6811.463034,51.589891,0.433122,1811.463034,-948.410109,0.884841
2.0,5000,10,22,1.358709,3041.309800,2958.803225,-0.641291,-1958.690200,1958.803225,0.757325
2.0,5000,10,23,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,24,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,25,1.743441,4417.226792,1165.484460,-0.256559,-582.773208,165.484460,0.860054
2.0,5000,10,26,1.687946,6062.361008,698.581205,-0.312054,1062.361008,-301.418795,0.854428
2.0,5000,10,27,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,28,3.085086,5888.868895,0.000000,1.085086,888.868895,-1000.000000,0.804973
2.0,5000,10,29,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,30,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,31,2.199118,3800.740760,1283.096264,0.199118,-1199.259240,283.096264,0.854346
2.0,5000,10,32,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,33,2.172686,3846.592915,2164.945104,0.172686,-1153.407085,1164.945104,0.879044
2.0,5000,10,34,1.502548,4040.205111,1684.058016,-0.497452,-959.794889,684.058016,0.746132
2.0,5000,10,35,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,36,5.108432,6479.531193,0.000000,3.108432,1479.531193,-1000.000000,0.783137
2.0,5000,10,37,2.255544,4870.903532,2412.899188,0.255544,-129.096468,1412.899188,0.891029
2.0,5000,10,38,3.720120,5935.819779,0.000000,1.720120,935.819779,-1000.000000,0.892256
2.0,5000,10,39,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,40,0.000000,0.000000,0.000000,-2.000000,-5000.000000,-1000.000000,0.000000
2.0,5000,10,41,1.823357,4233.171544,1566.991148,-0.176643,-766.828456,566.991148,0.808655
2.0,5000,10,42,1.773259,4147.656286,1820.349669,-0.226741,-852.343714,820.349669,0.848727
2.0,5000,10,43,2.512966,6135.556694,410.990562,0.512966,1135.556694,-589.009438,0.865372
2.0,5000,10,44,2.574380,6463.014149,261.620829,0.574380,1463.014149,-738.379171,0.891824
2.0,5000,10,45,1.843755,4925.339591,1450.100284,-0.156245,-74.660409,450.100284,0.783489
2.0,5000,10,46,2.972994,6917.492609,0.000000,0.972994,1917.492609,-1000.000000,0.631136
