repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time,error,raw_status,sample_content_hash
20,3.286836610825329,2292.536172396762,4.596323321948148e-05,0.9328149950322461,True,0.0014040999813005328,,,627608a00de4ac6d
21,5.1094269737269915,1944.5461048239615,1.9395596240201485e-05,0.9497710143021607,True,0.0006891000084578991,,,73056814c3f41af4
22,4.095112274152683,1933.4212129000664,4.5274894944213884e-05,0.8943068814078139,True,0.0006576000014320016,,,55c463069960dfd1
23,4.998723291045271,1975.229725198496,1.971756091734278e-05,0.9473247277944946,True,0.0006081999745219946,,,ed362f100ff262ed
24,5.64918696943211,1991.2643650970151,0.0,0.9637593305718435,True,0.0004217000096105039,,,0d4ab2f2af7f54f6
25,4.045576343151991,2125.9090957384406,2.7111646261346323e-05,0.9348029769383093,True,0.0006267999997362494,,,67b2117f3367997b
26,4.525789503847362,2152.0840246716757,0.0,0.9703275939985011,True,0.000410800043027848,,,16144c223c5a5af8
27,4.2677679212713215,2132.512597349209,4.169997680492088e-05,0.9172071381903704,True,0.0005775000317953527,,,26a17f1641e55be3
28,4.750705190148939,2040.418727988204,1.1657341758564144e-05,0.9396776538394999,True,0.0005852999747730792,,,ccb0702ab20524ce
29,5.754010176077976,1998.4999572993622,2.3014923300479495e-05,0.9260000228786108,True,0.0005724999937228858,,,a9baebc5e8cd1440
30,4.581102399481703,2035.3276586018246,2.37476704967321e-05,0.9151169768795003,True,0.0005401999806053936,,,70474ff38d0bc491
31,4.3023941906459315,2228.6596990043795,1.2023715356690445e-05,0.9647520714482692,True,0.000507800024934113,,,d0ae8ea9857af895
32,4.719349897936211,2159.7763120276486,1.4910295220715852e-05,0.9243955819523864,True,0.0005442000110633671,,,490253f84e513a14
33,5.1163479938301055,2113.6580038239085,2.6512125828048738e-05,0.9226389614579351,True,0.000611600000411272,,,2662ce7d0ca15f17
34,4.524008956522545,2092.2010275213465,0.0,0.9771787685241106,True,0.000388299988117069,,,1d417cf03e29c5a9
35,5.931607069527616,2015.670049274943,2.3647750424515834e-05,0.9112014331141439,True,0.0007937999907881021,,,acb7871384895aef
36,3.9724839567865713,2084.4027733131843,3.220756994437579e-05,0.9138027728754335,True,0.0009720000089146197,,,5db87408b547a7fa
37,4.5160122725844625,2227.0177245723235,0.0,0.9478612465840305,True,0.0006853000377304852,,,94a9c1b1f843df48
38,3.9046844978203885,2045.6330039045786,3.547162563677375e-05,0.8978335475341468,True,0.0006557999877259135,,,ac222ce465d0ecfb
39,1.6655827738297129,816.2532827051322,1116.5722624941604,0.967019652505094,True,0.00504919997183606,,,90c9b6e6903b25b5
0,4.620443722820861,1989.503469254209,2.0583534876550402e-05,0.9500599649977,True,0.0014435999910347164,,,f9378b34729c5edf
1,4.362962497505357,1971.781454369593,4.363176486776865e-05,0.9127848634937555,True,0.0006984999636188149,,,a109a10f0ff07b78
2,4.633658241732978,2197.0332549537216,1.2989609388114332e-05,0.9418695568942512,True,0.0009928999934345484,,,989bec8971b9574f
3,5.332199146003347,2099.260528262501,2.8954616482224083e-05,0.9376553619800189,True,0.0009815000230446458,,,44e43c232bcd1242
4,5.430546568255417,2120.1209532185794,1.3533618670180658e-05,0.9573711385518,True,0.0009197999606840312,,,9d82449ec47e0d8a
5,6.842260310320604,2307.755603341912,0.0,0.9688695883389047,True,0.0006400999845936894,,,40ea0ca0b719b71f
6,5.223715525136333,2006.9073835736308,1.1290968160437842e-05,0.8893371755691944,True,0.0009261000086553395,,,12c55e85a9a9abcd
7,4.863736937699434,2069.8175783806237,1.8129941992128806e-05,0.9042702060305192,True,0.0009765999857336283,,,b7914d3cacbcfbfb
8,3.89023081482048,2022.6469029907475,3.0453417565468044e-05,0.887315595453996,True,0.0009062000317499042,,,0312b58eccf635af
9,3.817841420427735,2059.301377075589,3.375077994860476e-05,0.8416744442301299,True,0.0009341000113636255,,,d10d616fe11e074e
10,4.633338572687511,2353.8535666101498,3.228528555609955e-05,0.9454851439913604,True,0.0009199000196531415,,,deab71d90c4c1c75
11,1.2980645149171484,893.6818641800404,1135.4533007111686,0.9104933462983895,True,0.005365100048948079,,,984ea8fdb10f44e7
12,6.108040165769564,2017.710570004931,2.1860291354869332e-05,0.8794058731059792,True,0.0006814000080339611,,,18b0db34b976d5e7
13,4.618963823287302,2078.3516583942233,3.120836922221315e-05,0.9241314762257696,True,0.0006810000049881637,,,74f4bf08ef799934
14,5.166297562789412,1859.2297555426233,4.707345624410664e-05,0.869963831125434,True,0.0008172999951057136,,,3007d9c02dbf77d9
15,4.674271697824698,2068.4589389190487,1.979527652906654e-05,0.9698888949942088,True,0.0008573000086471438,,,31fff1d6da011716
16,4.975430745005877,1871.8370354422239,4.030109579389318e-05,0.9078007639742642,True,0.0005929999751970172,,,6670cace7cb82ad4
17,1.6715896302246132,894.9879753080139,1027.0731792482845,0.9742887531554153,True,0.00346839998383075,,,03302892c1042cf4
18,5.716517697743374,2158.617959059169,0.0,0.9348044358029395,True,0.0004759999574162066,,,077eb79eda1037fb
19,4.822375939568048,2172.763169342109,1.7930101847696278e-05,0.9401106210712209,True,0.0005947999889031053,,,6582e387ad89525f
60,5.455985313234323,2124.538399216187,2.4480417692984702e-05,0.951394719974051,True,0.0006612999713979661,,,de016e9cd6e0da4b
61,4.668426901527061,2053.333636762657,2.609024107869118e-05,0.956525326612286,True,0.000859699968714267,,,463c51faeab8c39e
62,4.095060877636023,2248.783571781646,3.737010700888277e-05,0.9348818473320423,True,0.0006017000414431095,,,b5902fc4f88e252e
63,5.57472977561192,1851.917743727713,0.0,0.9532957219256886,True,0.0004495999892242253,,,8573713787bd90d6
64,5.003698490010005,2270.2820132263687,1.2467804566540508e-05,0.9607993662029138,True,0.0008002999820746481,,,33cb6298ef9fc95a
65,4.569828512333488,1986.2760636351802,1.2922996006636822e-05,0.9610382946152675,True,0.0005620000301860273,,,7c7848db76817481
66,4.694788139969224,1930.2427094664504,0.0,0.9730108065348758,True,0.0004186000442132354,,,15bad78d863f14aa
67,4.353591566970216,1997.3086107919787,1.7541523789077473e-05,0.9703909024057883,True,0.0005292000132612884,,,26f81da39bec2f56
68,4.627533107663595,2077.443604684494,2.9043434324194095e-05,0.9403547903760443,True,0.0005024999845772982,,,57bdf8727bd9960e
69,4.418759789229626,1940.6701645482922,3.792521852119535e-05,0.9186393812459069,True,0.000528500007931143,,,200accc4dc3beab0
70,5.164736992553704,1947.8587237235433,2.55351295663786e-05,0.947955240122426,True,0.0005250000394880772,,,927db5b3f21782fe
71,4.465366526350341,1866.7276781913465,3.5860203695392556e-05,0.8633419177711068,True,0.0005739000043831766,,,5bba480777d89606
72,4.363402773592479,2113.5995566338943,3.289590821964339e-05,0.9226695765225005,True,0.0005093999789096415,,,95ce0640915d6a1b
73,4.698930886496968,1842.3943878336404,2.744471316873387e-05,0.8623964333916218,True,0.0007245999877341092,,,1091ab52090156d2
74,4.986550537878488,2008.2357493145892,0.0,0.9812139157709028,True,0.0004844000213779509,,,1b488c800a610ac8
75,4.255322055369397,2026.2515566571446,2.539080057317733e-05,0.9292926675789406,True,0.0006673000170849264,,,6c26a06cddf34368
76,5.10150844939413,2007.6957576337045,4.047873147783321e-05,0.8705162090331555,True,0.0007800000021234155,,,08d21d90c8eff7b7
77,5.081787921732183,2020.9549899546184,1.5587531265737198e-05,0.9603763493838979,True,0.0009375999798066914,,,b40c3a3401fb7209
78,4.0482336842927555,2094.8699301311876,1.7130741269966165e-05,0.9498507034284228,True,0.0008802999509498477,,,e0a2a44ccbad4533
79,4.0825367700502335,2094.247169631821,4.3931525084417444e-05,0.9372434297518928,True,0.0009443999733775854,,,07292d0a09fc208c
40,5.250381212499496,1945.477146355508,2.065014825802791e-05,0.940228873846282,True,0.000992199988104403,,,0501524b85a9fb94
41,4.51396347545434,2097.1557896617683,2.1094237467877974e-05,0.93569525588093,True,0.0008778999908827245,,,60c85228b8108000
42,1.7337233699513175,690.1772389041879,1078.9406274050255,0.9538409045285241,True,0.0058667000266723335,,,15170bf51bc2163a
43,4.089981160272216,2030.6525863124652,2.8321789358187743e-05,0.9369927407055126,True,0.0007087999838404357,,,425bb78910e5de01
44,4.04493078684508,2036.347096729667,2.6212365611399946e-05,0.8450201364447567,True,0.0006275000050663948,,,89356663f96b9563
45,4.175292969537062,2280.688010352702,3.036459972349803e-05,0.9183360259224644,True,0.0006481999880634248,,,a1a34cc0e8d511c6
46,3.6840792590791964,2113.6038717092188,4.390932062392494e-05,0.9407442471252332,True,0.000629899965133518,,,40f2b5d4e10875a5
47,5.139996286296647,2151.509710704741,1.7474910407599964e-05,0.9417664155489787,True,0.0009015000541694462,,,b0040b796164f159
