reliability,n,beta,gamma_over_eta,p_rmsre,q_rmsre,qcp_rmsre,qcp_vs_q_relative_rmsre_improvement,delta
0.95,7,1.5,0.1,0.636791077281056,0.5578216475192304,0.5477913899310654,0.0179811192928277,0.10542746922215934
0.95,10,1.5,0.1,0.537657732351106,0.4571293481095499,0.4508699626981648,0.0136928102237816,0.08579211389348904
0.95,7,1.5,0.25,0.3819479546925787,0.3109322140156854,0.318381000090966,-0.0239563021762191,0.04451777887492048
0.95,15,1.5,0.1,0.4307019394354354,0.3822678304328238,0.3793387479804986,0.0076623828089555,0.04160627491403324
0.95,7,2.0,0.1,0.438092562869467,0.4070913525405584,0.3948706255999492,0.030019618113582,0.03600228267984265
