reliability,route,favorable,median_effect
0.9,Q,8,-61.91539802214652
0.95,Q,42,-5.165362658237749
0.99,Q,13,-52.520972182857804
0.9,QCP,74,-0.6725480368623971
0.95,QCP,76,-0.2567314538542975
0.99,QCP,77,-0.08023993286381259
