beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,10,1,3.135215,1213.684476,883.275696,1.135215,213.684476,-116.724304,0.890653
2.0,1000,10,2,5.281148,2328.801330,0.000060,3.281148,1328.801330,-999.999940,0.938525
2.0,1000,10,3,3.049692,1535.757889,756.202950,1.049692,535.757889,-243.797050,0.905753
2.0,1000,10,4,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,5,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,6,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,7,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,8,1.297057,629.180703,1051.023554,-0.702943,-370.819297,51.023554,0.751632
2.0,1000,10,9,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,10,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,11,4.200668,1907.576931,148.088195,2.200668,907.576931,-851.911805,0.921069
2.0,1000,10,12,1.554648,898.108686,1053.984011,-0.445352,-101.891314,53.984011,0.809160
2.0,1000,10,13,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,14,1.399984,597.052083,1592.767861,-0.600016,-402.947917,592.767861,0.786573
2.0,1000,10,15,4.849526,2071.605558,0.000049,2.849526,1071.605558,-999.999951,0.908665
2.0,1000,10,16,5.394380,1991.309250,0.000000,3.394380,991.309250,-1000.000000,0.805847
2.0,1000,10,17,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,18,8.688095,2013.035974,0.000000,6.688095,1013.035974,-1000.000000,0.175906
2.0,1000,10,19,7.844239,1739.359168,0.000072,5.844239,739.359168,-999.999928,0.962783
2.0,1000,10,20,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,21,1.171963,579.699384,1050.859678,-0.828037,-420.300616,50.859678,0.633095
2.0,1000,10,22,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,10,23,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
