beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,3,64,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,65,12.048440,1493.257536,0.000290,10.048440,493.257536,-999.999710,0.787466
2.0,1000,3,66,8.930955,1589.379039,0.000176,6.930955,589.379039,-999.999824,0.701918
2.0,1000,3,67,8.572169,2232.643588,0.000206,6.572169,1232.643588,-999.999794,0.636629
2.0,1000,3,68,5.952008,2546.666327,0.000000,3.952008,1546.666327,-1000.000000,-0.256970
2.0,1000,3,69,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,70,5.546074,2108.554847,0.000544,3.546074,1108.554847,-999.999456,0.503746
2.0,1000,3,71,5.051858,2193.011030,0.000000,3.051858,1193.011030,-1000.000000,-0.238582
2.0,1000,3,72,9.307111,2256.651065,0.000000,7.307111,1256.651065,-1000.000000,0.390263
2.0,1000,3,73,9.808138,2089.518861,0.000000,7.808138,1089.518861,-1000.000000,-0.142109
2.0,1000,3,74,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,75,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,76,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,77,4.817979,2471.118101,0.000636,2.817979,1471.118101,-999.999364,0.299095
2.0,1000,3,78,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,79,0.000000,0.000000,0.000000,-2.000000,-1000.000000,-1000.000000,0.000000
2.0,1000,3,80,8.579979,2149.150544,0.000000,6.579979,1149.150544,-1000.000000,0.429084
2.0,1000,3,81,5.167465,2226.015757,0.000000,3.167465,1226.015757,-1000.000000,0.063799
2.0,1000,3,82,11.341852,1729.971002,0.000000,9.341852,729.971002,-1000.000000,-0.128665
2.0,1000,3,83,7.124675,1785.971331,0.000482,5.124675,785.971331,-999.999518,0.574012
2.0,1000,3,84,14.053389,1452.706174,0.000445,12.053389,452.706174,-999.999555,0.623408
2.0,1000,3,85,15.383709,2096.397717,0.000225,13.383709,1096.397717,-999.999775,0.662081
