method,n,repeat_id,scale,scale_factor,beta_hat,eta_hat,gamma_hat,e_beta,e_eta,e_gamma,L_i,converged
mle,7,0,norm,1.000000000000,14.786706111321,1.989351015511,0.000000000000,6.393353055661,0.989351015511,-1.000000000000,42.853778726217,True
mle,7,0,display,1000.000000000000,14.786757508644,1989.349161384333,0.000373265880,-0.992606621246,0.989349161384,-0.999999626734,2.964078921141,True
mle,7,1,norm,1.000000000000,,,,,,,,False
mle,7,1,display,1000.000000000000,,,,,,,,False
mle,7,2,norm,1.000000000000,7.527363255231,2.181134936713,0.000000000000,2.763681627616,1.181134936713,-1.000000000000,10.033015877545,True
mle,7,2,display,1000.000000000000,7.527471113093,2181.142584502610,0.000293202659,-0.996236264443,1.181142584503,-0.999999706797,3.387583913113,True
mle,7,3,norm,1.000000000000,,,,,,,,False
mle,7,3,display,1000.000000000000,,,,,,,,False
mle,7,4,norm,1.000000000000,1.791869877551,0.467657864408,1.414782039802,-0.104065061224,-0.532342135592,0.414782039802,0.466261826836,True
mle,7,4,display,1000.000000000000,1.791906789649,467.660797669175,1414.777770953820,-0.999104046605,-0.532339202331,0.414777770954,1.453634521558,True
mle,10,0,norm,1.000000000000,1.312378417215,0.972790290510,1.153191735308,-0.343810791392,-0.027209709490,0.153191735308,0.142413936335,True
mle,10,0,display,1000.000000000000,1.312335121082,972.786422884073,1153.196864872698,-0.999343832439,-0.027213577116,0.153196864873,1.022897953621,True
mle,10,1,norm,1.000000000000,,,,,,,,False
mle,10,1,display,1000.000000000000,,,,,,,,False
mle,10,2,norm,1.000000000000,1.756486426059,0.966411909626,1.124081932142,-0.121756786970,-0.033588090374,0.124081932142,0.031349200872,True
mle,10,2,display,1000.000000000000,1.756495288810,966.404334156657,1124.078934851915,-0.999121752356,-0.033595665843,0.124078934852,1.014768526868,True
mle,10,3,norm,1.000000000000,,,,,,,,False
mle,10,3,display,1000.000000000000,,,,,,,,False
mle,10,4,norm,1.000000000000,3.715952161153,1.297350907941,0.810535258526,0.857976080577,0.297350907941,-0.189464741474,0.860437405557,True
mle,10,4,display,1000.000000000000,6.341381502616,2128.372415803356,0.000111572234,-0.996829309249,1.128372415803,-0.999999888428,3.266892757379,True
mle,20,0,norm,1.000000000000,1.828503162284,0.870408715311,1.044297063338,-0.085748418858,-0.129591284689,0.044297063338,0.026108922224,True
mle,20,0,display,1000.000000000000,1.828536544254,870.421924003023,1044.287817882546,-0.999085731728,-0.129578075997,0.044287817883,1.016924187934,True
mle,20,1,norm,1.000000000000,1.825355714297,0.929193438794,0.970718093159,-0.087322142851,-0.070806561206,-0.029281906841,0.013496155810,True
mle,20,1,display,1000.000000000000,1.825352778579,929.203140253269,970.714033399013,-0.999087323611,-0.070796859747,-0.029285966601,1.004045343389,True
mle,20,2,norm,1.000000000000,1.800180916313,0.932438750401,1.177171717403,-0.099909541844,-0.067561249599,0.177171717403,0.045936256446,True
mle,20,2,display,1000.000000000000,1.800182030383,932.436731488144,1177.166878834130,-0.999099908985,-0.067563268512,0.177166878834,1.034153526341,True
mle,20,3,norm,1.000000000000,2.166450349389,0.956365095383,1.088256657339,0.083225174695,-0.043634904617,0.088256657339,0.016619672168,True
mle,20,3,display,1000.000000000000,2.166471084339,956.368581719672,1088.257359299621,-0.998916764458,-0.043631418280,0.088257359300,1.007527764447,True
mle,20,4,norm,1.000000000000,2.295805090503,0.956329461555,1.111070054925,0.147902545251,-0.043670538445,0.111070054925,0.036118835921,True
mle,20,4,display,1000.000000000000,2.295741929439,956.310407550998,1111.086446791715,-0.998852129035,-0.043689592449,0.111086446792,1.011954554827,True
wmle,7,0,norm,1.000000000000,5.116620734919,0.886826908359,1.095267636957,1.558310367460,-0.113173091641,0.095267636957,2.450215272655,True
wmle,7,0,display,1000.000000000000,5.116665003747,886.828295120861,1095.266545287550,-0.997441667498,-0.113171704879,0.095266545288,1.016773429498,True
wmle,7,1,norm,1.000000000000,2.100021008926,0.804403128967,1.209647193932,0.050010504463,-0.195596871033,0.209647193932,0.084711132438,True
wmle,7,1,display,1000.000000000000,2.099999999912,804.330934357140,1209.724430138850,-0.998950000000,-0.195669065643,0.209724430139,1.080171822347,True
wmle,7,2,norm,1.000000000000,2.026472627523,0.818605618886,1.315586915922,0.013236313762,-0.181394381114,0.315586915922,0.132674223003,True
wmle,7,2,display,1000.000000000000,2.026423027459,818.592516777991,1315.598256942096,-0.998986788486,-0.181407483222,0.315598256942,1.130485538324,True
wmle,7,3,norm,1.000000000000,3.019703902500,1.797022331643,0.000000034252,0.509851951250,0.797022331643,-0.999999965748,1.895193540827,True
wmle,7,3,display,1000.000000000000,3.019703902500,1797.022331642984,0.000034251810,-0.998490148049,0.797022331643,-0.999999965748,2.632227104384,True
wmle,7,4,norm,1.000000000000,1.669333264882,0.496327096290,1.390930901850,-0.165333367559,-0.503672903710,0.390930901850,0.433848486382,True
wmle,7,4,display,1000.000000000000,1.669358628093,496.331659860889,1390.927344183258,-0.999165320686,-0.503668340139,0.390927344183,1.404837323350,True
wmle,10,0,norm,1.000000000000,3.207139415933,2.315728488732,0.000000061851,0.603569707966,1.315728488732,-0.999999938149,3.095437724735,True
