route,parameter,p01,q25,median,q75,p99
P,beta_hat,1.4731444561481475,2.1527077555656433,3.025784492492676,3.7333462834358215,4.734776830673218
P,eta_hat,971.7258770751953,990.5082244873047,996.91650390625,1002.4897613525391,1033.9350329589845
P,gamma_hat,67.68841537475586,210.0658073425293,498.7048645019531,801.7398681640625,1037.2701879882814
Q,beta_hat,3.1655622124671936,11.502963542938232,20.390825271606445,30.157633781433105,51.5080994796753
Q,eta_hat,8.215924053192138,34.454315185546875,66.99578475952148,105.24281883239746,192.0546128845215
Q,gamma_hat,144.12606170654297,497.8942413330078,784.8807983398438,1103.0315551757812,1468.8275244140625
QCP,beta_hat,1.4390625834465027,2.161322593688965,3.024825692176819,3.730084776878357,4.730287637710571
QCP,eta_hat,927.6143078613281,981.4890594482422,994.238037109375,1003.1298522949219,1052.9034631347658
QCP,gamma_hat,69.9775316619873,200.1516227722168,490.0245666503906,804.0748596191406,1051.1437390136718
