route,rmsre,over_10,over_20,gamma_gap_le_1e_3,gamma_gap_le_1e_2,gamma_gap_median
P,0.16432041622760352,0.14285833333333334,0.06847291666666666,0.0,0.0,0.4416568875312805
Q,0.1609206144204703,0.13250625,0.0602,0.00013541666666666666,0.015625,0.12128821760416031
QCP,0.1584063841656815,0.13194375,0.0607,0.0,0.0,0.45688003301620483
