sample_id,gamma,objective,beta,eta
Sample-1-1,663.4325,2.434431549627221e-11,1.0000150283945166,1206.097853088022
Sample-1-1,664.7620240480962,6.460365773352059e-09,1.0000146297088819,1204.7682848899965
Sample-1-1,666.0915480961924,3.910089149027551e-10,1.0000142228978608,1203.4387133270302
Sample-1-1,667.4210721442886,3.462468507285344e-09,1.0000138385895108,1202.1091461752123
Sample-1-1,668.7505961923848,1.0978633129162652e-09,1.000013342353528,1200.7795645233673
Sample-1-1,670.0801202404809,2.125654276688862e-09,1.0000128259146075,1199.4499809124084
Sample-1-1,671.4096442885772,2.7155661309994917e-09,1.0000123142519195,1198.1203976579297
Sample-1-1,674.0686923847695,9.44081936328419e-12,1.0000113109111128,1195.461232459562
Sample-1-1,675.3982164328658,1.6201806818158374e-12,1.0000108139462642,1194.1316504557576
Sample-1-1,676.727740480962,7.582496997615679e-11,1.0000103152410784,1192.8020680931697
Sample-1-1,679.3867885771543,7.507691159995611e-10,1.0000094099721757,1190.1429142034647
Sample-1-1,683.3753607214429,7.0319163335711495e-12,1.0000075098279055,1186.154116682565
Sample-1-1,684.704884769539,3.498399143211104e-11,1.0000070169802653,1184.8245341683235
Sample-1-1,687.3639328657315,3.3901853759612004e-09,1.000006158469692,1182.1653847125249
Sample-1-1,691.3525050100201,2.70216091067243e-10,1.0000039682229773,1178.1765484923792
Sample-1-1,696.6706012024048,4.748737481509018e-09,1.0000016470246003,1172.8581720791258
Sample-1-1,700.6591733466934,7.078718404946047e-10,0.999999891557807,1168.8693849147814
Sample-1-1,701.9886973947896,2.2375600543743688e-09,0.9999992437716665,1167.5397816503316
Sample-1-1,703.3182214428857,2.670502206445995e-11,0.9999985585681965,1166.2101729678716
Sample-1-1,704.647745490982,2.3292283079341697e-09,0.9999978372265721,1164.880560409795
Sample-1-1,707.3067935871743,1.995798449747756e-09,0.9999962694205546,1162.2213183908502
Sample-1-1,708.6363176352705,4.1472768348336207e-13,0.9999954229591352,1160.8916890084508
Sample-1-1,715.2839378757515,9.919123128193904e-10,0.9999921862030168,1154.2436636882992
