method,J1,J1_complete_case,n_total,n_failed,n_valid,failure_rate,J1_n7,J1_n7_cc,failure_n7,J1_n10,J1_n10_cc,failure_n10,J1_n15,J1_n15_cc,failure_n15,J1_n20,J1_n20_cc,failure_n20
LSE,0.8725202865322925,0.8725202865322925,48000,0,48000,0.0,1.041654295665714,1.041654295665714,0.0,0.9117733432982091,0.9117733432982091,0.0,0.785843942131603,0.785843942131603,0.0,0.7150116076180919,0.7150116076180919,0.0
WMLE,0.7288417301496498,0.7288126976046649,48000,1,47999,2.0833333333333333e-05,0.8124699073795644,0.8123723311785037,8.333333333333333e-05,0.7573239499632581,0.7573239499632581,0.0,0.6901929495241289,0.6901929495241289,0.0,0.6440713060461657,0.6440713060461657,0.0
