method,n_total,n_valid,bias_beta,rmse_beta,mae_beta,bias_eta,rmse_eta,mae_eta,bias_gamma,rmse_gamma,mae_gamma,bias_beta_cc,rmse_beta_cc,mae_beta_cc,bias_eta_cc,rmse_eta_cc,mae_eta_cc,bias_gamma_cc,rmse_gamma_cc,mae_gamma_cc
LSE,48000,48000,-0.07987664320746922,2.161890138357821,1.5581432398871178,-37.53338833972396,460.5690359813233,376.80219827852505,32.66430200296007,419.9131396104476,335.5220089002014,-0.07987664320746922,2.161890138357821,1.5581432398871178,-37.53338833972396,460.5690359813233,376.80219827852505,32.66430200296007,419.9131396104476,335.5220089002014
WMLE,48000,47999,-0.35049609762872375,1.4180075369353442,1.1337650391598044,-47.60246280645501,416.56793573586054,330.5437090175151,46.74406874841479,374.19307232496277,295.7909065293723,-0.3504721491318306,1.4180057793359795,1.1337574091058273,-47.58262077772122,416.54726811666455,330.52976172088427,46.76066792899664,374.18131104511815,295.7814436427816
