oracle_delta,selected_delta,row_percent
0.0,0.0,31.792325056433405
0.02,0.0,1.4679872656526352
0.04,0.0,2.080957810718358
0.06,0.0,1.7304860088365244
0.08,0.0,2.0544672718585764
0.1,0.0,3.435114503816794
0.12,0.0,3.150242326332795
0.14,0.0,4.804804804804805
0.16,0.0,4.5743329097839895
0.18,0.0,5.8912386706948645
0.2,0.0,4.674457429048414
0.22,0.0,7.584830339321358
0.24,0.0,7.966457023060797
0.26,0.0,6.933333333333333
0.28,0.0,9.144542772861357
0.3,0.0,5.952380952380952
0.32,0.0,8.118081180811808
0.34,0.0,10.150375939849624
0.36,0.0,10.204081632653061
0.38,0.0,8.91089108910891
0.4,0.0,10.99476439790576
0.42,0.0,6.598984771573605
0.44,0.0,12.359550561797752
0.46,0.0,9.740259740259742
0.48,0.0,12.101910828025478
0.5,0.0,14.940421631530706
0.0,0.02,30.735891647855528
0.02,0.02,36.752741422002124
0.04,0.02,9.692132269099202
0.06,0.02,5.265095729013255
0.08,0.02,5.016722408026756
0.1,0.02,3.689567430025445
0.12,0.02,3.0694668820678515
0.14,0.02,4.404404404404405
0.16,0.02,2.0330368487928845
0.18,0.02,3.7764350453172204
0.2,0.02,4.340567612687813
0.22,0.02,4.590818363273453
0.24,0.02,4.40251572327044
0.26,0.02,4.533333333333333
0.28,0.02,5.3097345132743365
0.3,0.02,2.6785714285714284
0.32,0.02,5.535055350553505
0.34,0.02,5.639097744360902
0.36,0.02,5.1020408163265305
0.38,0.02,4.9504950495049505
0.4,0.02,6.282722513089005
0.42,0.02,6.091370558375635
0.44,0.02,5.056179775280898
0.46,0.02,6.493506493506493
0.48,0.02,10.828025477707007
0.5,0.02,4.812098991750688
0.0,0.04,7.63882618510158
0.02,0.04,27.67951892465511
0.04,0.04,24.458380843785633
0.06,0.04,15.427098674521355
0.08,0.04,12.470138557095078
0.1,0.04,7.315521628498728
0.12,0.04,6.462035541195476
0.14,0.04,6.306306306306306
0.16,0.04,6.226175349428209
0.18,0.04,4.380664652567976
0.2,0.04,3.672787979966611
0.22,0.04,2.9940119760479043
0.24,0.04,3.7735849056603774
0.26,0.04,6.4
0.28,0.04,3.2448377581120944
0.3,0.04,4.761904761904762
0.32,0.04,4.797047970479705
0.34,0.04,3.007518796992481
0.36,0.04,3.061224489795918
0.38,0.04,3.4653465346534658
0.4,0.04,3.1413612565445024
0.42,0.04,3.5532994923857872
0.44,0.04,3.3707865168539324
0.46,0.04,1.2987012987012987
0.48,0.04,1.910828025477707
0.5,0.04,3.1622364802933087
0.0,0.06,4.225733634311513
0.02,0.06,9.426954368588609
0.04,0.06,13.369441277080957
0.06,0.06,9.241531664212078
0.08,0.06,8.361204013377927
0.1,0.06,8.269720101781171
0.12,0.06,6.78513731825525
0.14,0.06,8.90890890890891
0.16,0.06,7.369758576874205
0.18,0.06,7.250755287009064
0.2,0.06,7.846410684474124
0.22,0.06,5.389221556886228
0.24,0.06,6.918238993710692
0.26,0.06,5.333333333333334
0.28,0.06,7.669616519174041
0.3,0.06,4.166666666666666
0.32,0.06,4.428044280442804
0.34,0.06,3.7593984962406015
0.36,0.06,4.591836734693878
0.38,0.06,5.445544554455446
0.4,0.06,4.712041884816754
0.42,0.06,6.598984771573605
0.44,0.06,5.617977528089887
0.46,0.06,5.844155844155844
0.48,0.06,4.45859872611465
0.5,0.06,5.453712190650779
0.0,0.08,3.5349887133182842
0.02,0.08,6.791651927838699
0.04,0.08,12.770809578107183
0.06,0.08,15.832106038291604
0.08,0.08,14.906832298136646
0.1,0.08,15.839694656488549
0.12,0.08,15.508885298869144
0.14,0.08,12.912912912912914
0.16,0.08,11.81702668360864
0.18,0.08,11.027190332326283
0.2,0.08,10.51752921535893
0.22,0.08,8.383233532934131
0.24,0.08,9.643605870020965
0.26,0.08,10.4
0.28,0.08,8.259587020648967
0.3,0.08,8.035714285714286
0.32,0.08,8.856088560885608
0.34,0.08,6.7669172932330826
0.36,0.08,5.612244897959184
0.38,0.08,8.415841584158416
0.4,0.08,7.853403141361256
0.42,0.08,8.121827411167512
0.44,0.08,6.741573033707865
0.46,0.08,1.948051948051948
0.48,0.08,3.821656050955414
0.5,0.08,4.5371219065077915
0.0,0.1,2.659142212189616
0.02,0.1,3.9617969579059076
0.04,0.1,7.069555302166476
0.06,0.1,8.321060382916052
0.08,0.1,7.835642618251313
0.1,0.1,8.524173027989821
0.12,0.1,8.804523424878836
0.14,0.1,8.408408408408409
0.16,0.1,11.435832274459974
0.18,0.1,10.27190332326284
0.2,0.1,10.35058430717863
0.22,0.1,10.578842315369261
0.24,0.1,10.062893081761008
0.26,0.1,13.333333333333334
0.28,0.1,9.734513274336283
0.3,0.1,10.714285714285714
0.32,0.1,9.96309963099631
0.34,0.1,11.654135338345863
0.36,0.1,10.204081632653061
0.38,0.1,8.415841584158416
0.4,0.1,8.37696335078534
0.42,0.1,11.6751269035533
0.44,0.1,5.617977528089887
0.46,0.1,12.337662337662337
0.48,0.1,7.006369426751593
0.5,0.1,8.065994500458295
0.0,0.12,2.2618510158013545
0.02,0.12,3.09515387336399
0.04,0.12,7.155074116305587
0.06,0.12,8.026509572901325
0.08,0.12,7.023411371237458
0.1,0.12,7.442748091603053
0.12,0.12,9.450726978998384
0.14,0.12,7.207207207207207
0.16,0.12,8.767471410419315
0.18,0.12,7.552870090634441
0.2,0.12,9.348914858096828
