beta,gamma_over_eta,n,L1_group,L2_group,L3_group,L4_group,L5_group
4.5,0.10,7,all,n=7,beta=4.5,beta=4.5|n=7,beta=4.5|gamma_over_eta=0.10|n=7
4.5,0.10,10,all,n=10,beta=4.5,beta=4.5|n=10,beta=4.5|gamma_over_eta=0.10|n=10
4.5,0.10,15,all,n=15,beta=4.5,beta=4.5|n=15,beta=4.5|gamma_over_eta=0.10|n=15
4.5,0.10,20,all,n=20,beta=4.5,beta=4.5|n=20,beta=4.5|gamma_over_eta=0.10|n=20
4.5,0.25,7,all,n=7,beta=4.5,beta=4.5|n=7,beta=4.5|gamma_over_eta=0.25|n=7
4.5,0.25,10,all,n=10,beta=4.5,beta=4.5|n=10,beta=4.5|gamma_over_eta=0.25|n=10
4.5,0.25,15,all,n=15,beta=4.5,beta=4.5|n=15,beta=4.5|gamma_over_eta=0.25|n=15
4.5,0.25,20,all,n=20,beta=4.5,beta=4.5|n=20,beta=4.5|gamma_over_eta=0.25|n=20
4.5,0.50,7,all,n=7,beta=4.5,beta=4.5|n=7,beta=4.5|gamma_over_eta=0.50|n=7
4.5,0.50,10,all,n=10,beta=4.5,beta=4.5|n=10,beta=4.5|gamma_over_eta=0.50|n=10
4.5,0.50,15,all,n=15,beta=4.5,beta=4.5|n=15,beta=4.5|gamma_over_eta=0.50|n=15
4.5,0.50,20,all,n=20,beta=4.5,beta=4.5|n=20,beta=4.5|gamma_over_eta=0.50|n=20
4.5,0.75,7,all,n=7,beta=4.5,beta=4.5|n=7,beta=4.5|gamma_over_eta=0.75|n=7
4.5,0.75,10,all,n=10,beta=4.5,beta=4.5|n=10,beta=4.5|gamma_over_eta=0.75|n=10
4.5,0.75,15,all,n=15,beta=4.5,beta=4.5|n=15,beta=4.5|gamma_over_eta=0.75|n=15
4.5,0.75,20,all,n=20,beta=4.5,beta=4.5|n=20,beta=4.5|gamma_over_eta=0.75|n=20
4.5,1.00,7,all,n=7,beta=4.5,beta=4.5|n=7,beta=4.5|gamma_over_eta=1.00|n=7
4.5,1.00,10,all,n=10,beta=4.5,beta=4.5|n=10,beta=4.5|gamma_over_eta=1.00|n=10
4.5,1.00,15,all,n=15,beta=4.5,beta=4.5|n=15,beta=4.5|gamma_over_eta=1.00|n=15
4.5,1.00,20,all,n=20,beta=4.5,beta=4.5|n=20,beta=4.5|gamma_over_eta=1.00|n=20
5.0,0.10,7,all,n=7,beta=5.0,beta=5.0|n=7,beta=5.0|gamma_over_eta=0.10|n=7
5.0,0.10,10,all,n=10,beta=5.0,beta=5.0|n=10,beta=5.0|gamma_over_eta=0.10|n=10
5.0,0.10,15,all,n=15,beta=5.0,beta=5.0|n=15,beta=5.0|gamma_over_eta=0.10|n=15
5.0,0.10,20,all,n=20,beta=5.0,beta=5.0|n=20,beta=5.0|gamma_over_eta=0.10|n=20
5.0,0.25,7,all,n=7,beta=5.0,beta=5.0|n=7,beta=5.0|gamma_over_eta=0.25|n=7
