seed,pooled_J1,J1_n7,J1_n10,J1_n15,J1_n20,n_samples,endpoint_rate,failure_rate
42,0.5544825870269607,0.686794108083444,0.5790495900266733,0.4856822234699757,0.432356288796073,48000,0.44233333333333336,0.0
2026,0.5523016453498383,0.6904597007560573,0.5739089955594948,0.4817450753166671,0.42657236042720853,48000,0.462875,0.0
3407,0.5560411654514772,0.6931663078450845,0.5753248300227926,0.489222293527367,0.4311733617120025,48000,0.40325,0.0
