method,beta_group,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Direct-P,in_domain_unseen,15,10500,10500,0.0,0.3388813908106497,0.5888970793870117,0.6885640247803896,-0.0600133643081949,0.22559711802450366,0.23343268088091032,-0.034642283621086116,0.18099611626322656,0.18427306356467868,0.02577352113253973,0.16041008321317604,0.162459898371873,-0.004067240093658283,0.14687569936750255,0.14692501143651027,-0.3066451564821686,0.7121993026874099,0.7753778377851862,-34.642283621086115,180.99611626322658,184.27306356467872,25.773521132539734,160.41008321317605,162.459898371873
Direct-P,in_domain_unseen,20,10500,10500,0.0,0.31862065660699057,0.5674321464551824,0.664669033406924,-0.04247579230739811,0.21250667704287027,0.21670020732440565,-0.0331596860226487,0.17148509260728048,0.17465366037943553,0.022065176863367286,0.15353050108683403,0.15510074751043018,0.0018676323784848122,0.12804965413575142,0.12805717622681057,-0.23632695436834758,0.6746999502408282,0.7148615935466838,-33.159686022648714,171.4850926072805,174.65366037943556,22.065176863367288,153.53050108683405,155.1007475104302
Direct-P,near_ood,7,3000,3000,0.0,0.5723012248778474,0.9579235772260157,1.217388646415187,0.06582921280741091,0.4589152262293366,0.4635369122975482,0.0017522063957542096,0.2751685041508499,0.27512821859751885,0.01178738297493379,0.1919375520221523,0.19226722618713626,0.05924566107483258,0.36127991516035246,0.36604605957278924,-0.6047830690369168,1.2717927888222305,1.4080768111131954,1.7522063957542027,275.16850415084997,275.12821859751887,11.787382974933784,191.9375520221523,192.26722618713632
Direct-P,near_ood,10,3000,3000,0.0,0.5018028451219366,0.8273418405858911,1.0479497648707725,0.022402652511016526,0.38925225504738775,0.38983161894120316,-0.00046626515823634427,0.25504572398467784,0.25500363909617435,-0.001605532138475136,0.18660004578270226,0.18657585131484428,-0.007607236658486684,0.2709062865482706,0.27096793672976904,-0.5782742354067092,1.1029746559856906,1.2452102896236916,-0.4662651582363372,255.04572398467784,255.0036390961744,-1.6055321384751393,186.60004578270227,186.57585131484433
Direct-P,near_ood,15,3000,3000,0.0,0.4516975041290117,0.7542993657955472,0.976256160413211,0.019667865224875188,0.333865846203506,0.33438910376376385,0.006962760546589086,0.24672269781175893,0.2467798187725308,0.007933248528729696,0.176809976313739,0.17695842327236697,-0.025838071495641757,0.1997504183193112,0.20138156688439518,-0.48912228677969444,0.9548694785702351,1.0727126396613502,6.962760546589096,246.72269781175893,246.77981877253083,7.933248528729697,176.809976313739,176.95842327236699
Direct-P,near_ood,20,3000,3000,0.0,0.40780481114850825,0.6529383035318266,0.7946347811022787,0.03856871000106196,0.3018057359178687,0.3042102650963551,-0.0031388690128743234,0.21987615777985373,0.2198619159467849,0.017694771143757254,0.158483071306954,0.15944157714374477,0.005942175981126378,0.16426458751178477,0.16434466794181063,-0.4092731169576276,0.8809998510950191,0.9712911518426292,-3.138869012874328,219.87615777985374,219.8619159467849,17.694771143757244,158.483071306954,159.44157714374478
Direct-P,seen_grid,7,12000,12000,0.0,0.40763086937490384,0.6464405129148653,0.8025256632180672,-0.0794044845352551,0.2800754384556343,0.2911027078818686,-0.047126388117853815,0.2124729166043066,0.21762783527316618,0.03769342573268676,0.18067149826288928,0.18455423171929453,0.013134280568038881,0.2281860611340975,0.2285542577785985,-0.4831330486604562,0.8672601577091636,0.9927210310602073,-47.12638811785382,212.4729166043066,217.6278352731662,37.69342573268677,180.6714982628893,184.55423171929456
Direct-P,seen_grid,10,12000,12000,0.0,0.37653214087211506,0.6207634025363269,0.7397216716138971,-0.07296760803966817,0.25477612163062413,0.2650089333151378,-0.04378051700142136,0.19847340531908716,0.203236669050678,0.02518261874542888,0.17207521009444132,0.17390104866301506,-0.006202241747427683,0.1882562139421907,0.18835051506088524,-0.4223744921144026,0.7982263163593412,0.9030572332987309,-43.78051700142137,198.4734053190872,203.23666905067805,25.18261874542887,172.07521009444136,173.9010486630151
Direct-P,seen_grid,15,12000,12000,0.0,0.3487825832353885,0.597201451248871,0.7156583427286868,-0.05334991099489267,0.23710051854788167,0.24301889674984684,-0.032210092782726484,0.18658797167977936,0.18934006442566426,0.025011678688147288,0.1616107627187715,0.16352812049957433,-0.004303699512663292,0.15339062842954074,0.15344460236764243,-0.32773998462382203,0.73788998742027,0.8073721307964797,-32.21009278272651,186.58797167977937,189.3400644256643,25.0116786881473,161.61076271877153,163.52812049957438
Direct-P,seen_grid,20,12000,11999,8.333333333332416e-05,0.32507683792595893,0.5732015999754151,0.6761544924243986,-0.03490907052432177,0.2202861383502972,0.22302596661655452,-0.03060189029599935,0.1759843052599741,0.1786179450656026,0.02303619132018403,0.1526025080358845,0.15432514630003866,0.005180538073605145,0.1346784914705094,0.13477248379718018,-0.2492601478960585,0.6963719400475278,0.7396107663428593,-30.60189029599935,175.98430525997412,178.61794506560264,23.036191320184027,152.60250803588454,154.32514630003868
MDM-0.1,far_ood,7,6000,5984,0.002666666666666706,0.9328395206783614,1.5062935505649202,1.961683027897845,-0.19973626939523853,0.5691873092398344,0.6031704819031272,-0.19017757066976368,0.5508105564998812,0.5826740743827752,0.22560655765286336,0.3334256096708209,0.40255729744384944,0.07755263845527627,0.35381518897873165,0.3621859739123159,-1.5469263308324541,1.8590715001095761,2.418377627852252,-190.17757066976367,550.8105564998812,582.6740743827752,225.60655765286336,333.4256096708209,402.55729744384945
MDM-0.1,far_ood,10,6000,5998,0.0003333333333332966,0.7960083128838797,1.3192353088225102,1.6472504477702035,-0.18764937691812156,0.4842105407629639,0.5192620213076757,-0.18330127093033885,0.45452667100093,0.49006061531079087,0.20235613344765968,0.28674609553105534,0.35093819910276164,0.057024049826487254,0.27069858600697816,0.2766175151691795,-1.3970743481605616,1.690046047125574,2.192623126383637,-183.30127093033886,454.52667100093004,490.06061531079087,202.35613344765972,286.7460955310554,350.9381991027617
MDM-0.1,far_ood,15,6000,6000,0.0,0.6665457238942951,1.1776480473830238,1.315570406298325,-0.18290960895342123,0.3867287251298829,0.4277734276112428,-0.17431632135779615,0.3663085899296419,0.4056424525171327,0.18705709372979532,0.24853015030779624,0.31104227588446,0.041681419857769055,0.17839969000715322,0.18318975339187382,-1.272137283310609,1.5255572226674061,1.98627042966166,-174.31632135779617,366.3085899296419,405.64245251713277,187.05709372979527,248.53015030779625,311.04227588446
MDM-0.1,far_ood,20,6000,6000,0.0,0.5941675206901085,1.05931964194455,1.1861651916101097,-0.17787078948759125,0.3370428986981401,0.3810734841600194,-0.16111642219258515,0.3201167925048199,0.3583520381090444,0.17207836637077473,0.22315733191905543,0.28178335489568546,0.028859352571159833,0.12864235590185708,0.1318292828630444,-1.1805233729818938,1.4129630909802398,1.8411320937164997,-161.11642219258516,320.11679250481984,358.3520381090444,172.07836637077472,223.15733191905542,281.7833548956855
MDM-0.1,in_domain_unseen,7,10500,10478,0.00209523809523815,0.7443655960700409,1.2441671522900417,1.3568973287200148,-0.31486850291670676,0.32805179359702785,0.4546975726348186,-0.26764545106444104,0.3436641784459907,0.4355776432552989,0.24858165738355373,0.3022824514814499,0.39135508204045116,0.0788230922606467,0.2536568476873662,0.26561011952851843,-1.172239884925128,1.1520214733322258,1.6435246155363554,-267.6454510644411,343.6641784459906,435.577643255299,248.5816573835538,302.2824514814499,391.3550820404512
MDM-0.1,in_domain_unseen,10,10500,10498,0.00019047619047618536,0.6461227264500774,1.1287906950297975,1.2337804466478952,-0.2590164765072727,0.31099042053003534,0.40471639953495825,-0.21889142258282682,0.3042381187419383,0.3747872340130075,0.20146745604284297,0.26870479692219124,0.33583407512767977,0.052953558003468265,0.20739249080924244,0.2140365095531999,-0.9884509741759631,1.0884547503293622,1.4702571947054044,-218.8914225828268,304.2381187419383,374.7872340130075,201.467456042843,268.7047969221913,335.83407512767974
MDM-0.1,in_domain_unseen,15,10500,10499,9.523809523814819e-05,0.5605937862351038,1.0174998374970257,1.1243716934232553,-0.2061686422839816,0.2926897633645665,0.35800090373109267,-0.17239769319364753,0.27047967962816866,0.32073860618627453,0.16045876920243204,0.23929377685740255,0.288102541224322,0.03619010754318258,0.16304931120445512,0.16700978897926153,-0.8095498639823303,1.0216565218520932,1.3034775079126824,-172.39769319364754,270.4796796281687,320.7386061862745,160.45876920243205,239.29377685740258,288.102541224322
MDM-0.1,in_domain_unseen,20,10500,10500,0.0,0.5029841561754945,0.9215769582614336,1.0381910024717937,-0.17657788490912227,0.2722027048178183,0.3244487715309215,-0.14792716795447375,0.244375972150469,0.28565079240405433,0.13705248833295888,0.21760240315053522,0.25715691865976714,0.027874757359961373,0.14007191468950944,0.14281202609646593,-0.7051583538159018,0.9535424764152709,1.1859194591914197,-147.9271679544738,244.37597215046904,285.65079240405436,137.05248833295894,217.60240315053522,257.15691865976714
MDM-0.1,near_ood,7,3000,2987,0.0043333333333333,0.8282053218337164,1.3788511611236964,1.5715994948597667,-0.24092300546141485,0.4810804816619287,0.5379636070390482,-0.22328734091421143,0.42590691120269747,0.4808255451817114,0.22827611600372508,0.3234409960934171,0.39583966446712976,0.09944232324021571,0.3726057669605408,0.385587024494894,-1.3884941285884187,1.6641691140699402,2.167128887413589,-223.28734091421146,425.9069112026975,480.8255451817114,228.27611600372506,323.4409960934171,395.8396644671297
MDM-0.1,near_ood,10,3000,2999,0.0003333333333332966,0.7318518800619432,1.2593864381606867,1.409290237661269,-0.2096396668199911,0.4303366364007676,0.4786195358278794,-0.205336896408933,0.3713024770043247,0.4242437977819163,0.1991522087142302,0.2936034910309121,0.35473351725392493,0.062304033175968006,0.2639723482511866,0.2711825184497173,-1.2593471370370946,1.5509023114765428,1.997611363095714,-205.33689640893297,371.30247700432477,424.24379778191627,199.1522087142302,293.6034910309121,354.73351725392496
MDM-0.1,near_ood,15,3000,3000,0.0,0.6349007575585894,1.1351463106376218,1.2998679329111442,-0.18097976743848407,0.37730933296395514,0.41841194396536846,-0.17581945076843822,0.31995976621848204,0.3650378151869128,0.17416457890876352,0.25390155316366897,0.3078600503137056,0.04325900586768684,0.1959138825103685,0.20060108889491837,-1.0984965536568876,1.3958939087884623,1.7761095057420475,-175.81945076843826,319.95976621848206,365.03781518691284,174.16457890876356,253.90155316366898,307.86005031370564
MDM-0.1,near_ood,20,3000,3000,0.0,0.5654718483120136,1.03907713937434,1.1632404908500442,-0.16734076492644695,0.332024766760845,0.3717615237400374,-0.16185988257821493,0.28020333397684705,0.3235527138770179,0.15817124843330246,0.22773793360035086,0.2772461398157008,0.032288643866296034,0.1473784791621905,0.15085003315935328,-1.0194510120069764,1.302315915275324,1.6537054655571914,-161.85988257821495,280.20333397684703,323.55271387701794,158.17124843330248,227.73793360035086,277.2461398157008
MDM-0.1,seen_grid,7,12000,11981,0.001583333333333381,0.7550642910373094,1.2716516227471337,1.392816991708022,-0.30587607502594155,0.354109284868542,0.4679135527887441,-0.263689572928612,0.3520822378773689,0.43986787397975363,0.24628941174915697,0.30612713847488865,0.39289245014447993,0.08298681321463888,0.2718296441950766,0.28420415066070537,-1.197345625438619,1.2305289922851455,1.716890143264044,-263.68957292861205,352.0822378773689,439.8678739797536,246.28941174915698,306.1271384748886,392.89245014447994
MDM-0.1,seen_grid,10,12000,11996,0.0003333333333332966,0.6565025690096857,1.1443852342248388,1.26595267644969,-0.2503075008862851,0.33011134301021083,0.41426834254018613,-0.21633562790623106,0.31032341393496,0.3782772758310402,0.2033420430755422,0.27238784184307757,0.33990724893177826,0.05924825465476545,0.2165228053959229,0.22447399134347337,-1.0042313226348694,1.1505566680409138,1.527138122075596,-216.33562790623108,310.32341393496,378.2772758310402,203.34204307554222,272.3878418430776,339.90724893177827
MDM-0.1,seen_grid,15,12000,11999,8.333333333332416e-05,0.5688066809463889,1.0225773425901288,1.1394749945290352,-0.20512939332589186,0.29963146967088145,0.36311100701446936,-0.174227789680274,0.27534097330741164,0.32582457861748365,0.16340385354258838,0.24215337649708257,0.292120163927077,0.03813806302210744,0.16835604044569227,0.17261490674065655,-0.8446000408108961,1.0582380230777724,1.3539289539478632,-174.227789680274,275.3409733074117,325.82457861748367,163.4038535425884,242.15337649708258,292.12016392707704
MDM-0.1,seen_grid,20,12000,12000,0.0,0.505509045096821,0.925701670602795,1.03036500931525,-0.178798450652651,0.2718272487261337,0.3253502445079436,-0.1497161509101363,0.24628076100464805,0.28820840474664366,0.14144146861155965,0.2159183283653756,0.2581134024159071,0.02966462744849387,0.14389783437342135,0.1469178386382122,-0.7404481577636038,0.9808416873863309,1.228915668051475,-149.71615091013632,246.28076100464804,288.20840474664374,141.44146861155969,215.91832836537566,258.1134024159071
