method,beta_group,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,far_ood,7,6000,5999,0.0001666666666666483,0.843175031196895,1.4461347471742005,1.805381485474077,-0.16470349276525284,0.5146233570988921,0.5402964864865527,-0.1605722786451595,0.515414280139667,0.5398064969480998,0.19624577915298022,0.2980076304968917,0.3567998735674914,0.07868371481411171,0.3564611638446279,0.3650130235339109,-1.2797047377518782,1.686794947412886,2.117179047347631,-160.57227864515954,515.414280139667,539.8064969480998,196.24577915298022,298.0076304968917,356.7998735674914
Adaptive-MDM,far_ood,10,6000,5996,0.0006666666666667043,0.7193364856403783,1.2800448091037022,1.5498142816862635,-0.14277379068830473,0.4424403368191118,0.46487112150783194,-0.14830152521392054,0.4291595189873077,0.45402700175746596,0.16868161082359903,0.25557861141024346,0.30620747613341676,0.05435184466541057,0.2697348291399594,0.2751342705550575,-1.130939739225045,1.5072922468201488,1.8842971377920374,-148.30152521392054,429.1595189873077,454.027001757466,168.68161082359904,255.57861141024347,306.2074761334168
Adaptive-MDM,far_ood,15,6000,5998,0.0003333333333332966,0.6032956436526022,1.1368569799313961,1.3021738236945553,-0.1318617939716189,0.36536306575824573,0.388401141539836,-0.13669785967866765,0.3479293217379733,0.37379263667989876,0.15093778159276738,0.22326278072111067,0.2694813030356013,0.03867628182182451,0.17875090883547867,0.18287267454380873,-1.0051570103697915,1.3402362738545677,1.6751938434746814,-136.69785967866764,347.9293217379733,373.79263667989875,150.93778159276738,223.2627807211107,269.48130303560134
Adaptive-MDM,far_ood,20,6000,5997,0.0004999999999999449,0.5285045712719788,0.9835941100099925,1.145522428696437,-0.13912452839071093,0.3065112110874044,0.3365844483961017,-0.13107511991230453,0.2982261665815067,0.3257371684925979,0.14254175389112617,0.19599843340614215,0.24233681464610457,0.02792407431336887,0.12897731490998132,0.13195502179176186,-0.9516661021605191,1.2281156413199177,1.553603840977296,-131.0751199123046,298.2261665815067,325.73716849259785,142.54175389112615,195.99843340614217,242.33681464610456
Adaptive-MDM,in_domain_unseen,7,10500,10499,9.523809523814819e-05,0.6875922720884999,1.2258838095831381,1.354435272962342,-0.27151296827925553,0.33710377868061026,0.4328364884755606,-0.2456253031725221,0.31326319427766164,0.3980656622700683,0.22720813392808034,0.27414182003030363,0.356047911708618,0.07992089573180744,0.24727582959426905,0.25985931108221894,-0.98939854316748,1.1549538296059534,1.5207566451607202,-245.62530317252214,313.2631942776616,398.06566227006823,227.20813392808037,274.1418200303037,356.0479117086181
Adaptive-MDM,in_domain_unseen,10,10500,10497,0.00028571428571433355,0.5852348713667931,1.0990389072627218,1.2097401167003845,-0.22515609050059623,0.29483940236928463,0.3709679997509581,-0.20138101455456864,0.2705445911408407,0.3372561577397901,0.18458077460346756,0.23750974622551232,0.30079156887315756,0.05446200572167425,0.20334703418124098,0.2105046012685968,-0.8415559024089941,1.0259111200577777,1.3268796844484199,-201.38101455456865,270.5445911408407,337.2561577397901,184.58077460346757,237.50974622551232,300.7915688731576
Adaptive-MDM,in_domain_unseen,15,10500,10496,0.0003809523809523707,0.5040974471429678,0.9626909354191692,1.0915125251231617,-0.17136298697621452,0.2735904620717877,0.32281555536883305,-0.15193805081815975,0.24494480692161727,0.2882315275180423,0.14066119204725952,0.21476710682146286,0.25672180779576537,0.03673359367969929,0.1614014120248971,0.16552126984401294,-0.6635949787795378,0.9447315240572914,1.1544656401703342,-151.93805081815978,244.94480692161727,288.23152751804236,140.66119204725953,214.76710682146285,256.7218077957654
Adaptive-MDM,in_domain_unseen,20,10500,10494,0.0005714285714285561,0.45431598292794223,0.8683293556502133,1.0073725611979496,-0.15119435738956866,0.24972376311282735,0.2919173666293347,-0.13332660646267022,0.22087083298108887,0.2579830616689869,0.12259215156979202,0.1954430484687056,0.2307014972597909,0.029432832769763807,0.13940092039796306,0.14246773834485782,-0.5925300699788167,0.8594736811070548,1.0438948702887498,-133.3266064626702,220.87083298108888,257.9830616689869,122.59215156979205,195.4430484687056,230.7014972597909
Adaptive-MDM,near_ood,7,3000,3000,0.0,0.7365058104138352,1.3223163700471305,1.480202770983369,-0.20874225168285535,0.4330323809731748,0.4806535809998037,-0.19745733897274556,0.38625767505175157,0.43374492571871864,0.20259752822319677,0.28680994543097516,0.3511100728527573,0.10256130804117225,0.37337597578902654,0.3871459302774926,-1.149240161807427,1.51279995671237,1.8996193839741775,-197.45733897274553,386.2576750517515,433.74492571871866,202.59752822319675,286.8099454309752,351.11007285275736
Adaptive-MDM,near_ood,10,3000,2999,0.0003333333333332966,0.6485394904841197,1.195002202109462,1.3292836465885545,-0.17244110499559331,0.3847285608589992,0.42154791553572046,-0.1780350298834521,0.3364260824872799,0.3805801371069167,0.17276106706946243,0.2597797294538023,0.31194453266550703,0.06229417762112991,0.2666676134328353,0.2738037049484789,-1.0320287103396426,1.3927527894708056,1.7332618928383838,-178.03502988345213,336.4260824872799,380.5801371069167,172.76106706946243,259.77972945380225,311.944532665507
Adaptive-MDM,near_ood,15,3000,3000,0.0,0.5598213205868824,1.0735814930207717,1.2192664692590975,-0.1348958393666234,0.3416053576853321,0.36722228936201995,-0.14231977623265157,0.29478826950623904,0.3273012004827493,0.1419794118720398,0.22645212621700297,0.26724824665825037,0.04064481689169206,0.19641917300563264,0.20054832958799337,-0.8587723262697221,1.2298986516528225,1.4998787900381687,-142.31977623265158,294.78826950623903,327.3012004827493,141.97941187203983,226.45212621700298,267.24824665825037
Adaptive-MDM,near_ood,20,3000,2999,0.0003333333333332966,0.5052817261101232,0.9739900783084862,1.139538715775797,-0.13176039599139147,0.30400548630003865,0.331284350573429,-0.13542962534252767,0.2591441199541296,0.2923601642461214,0.13213189879598627,0.20453761909465124,0.24347592579523258,0.0320113360166019,0.1480258436573054,0.15142347805119816,-0.8207392463048008,1.1535030851911454,1.4155347424057139,-135.42962534252766,259.1441199541296,292.36016424612137,132.13189879598633,204.53761909465126,243.4759257952326
Adaptive-MDM,seen_grid,7,12000,11999,8.333333333332416e-05,0.6944721217876271,1.2456700900914848,1.374193324698237,-0.265831053459173,0.3515029525151392,0.4406928381062982,-0.24245544080977194,0.31920518237249074,0.4008342519400874,0.22571635668242152,0.2762053163812298,0.35669439649837986,0.08445438913558834,0.2674299229726764,0.2804377776829692,-1.0156548687345979,1.2042175448157397,1.5753011942367774,-242.45544080977191,319.2051823724908,400.8342519400874,225.71635668242155,276.2053163812298,356.6943964983799
Adaptive-MDM,seen_grid,10,12000,11996,0.0003333333333332966,0.5907127135134514,1.1046426109782512,1.2295319629711505,-0.21558395495128782,0.3071403967326262,0.37523832566464815,-0.19722390616946425,0.27675253973961045,0.33982768078068804,0.18486679065298323,0.24022874102665848,0.3031184051554774,0.06063592386175774,0.2133046033846558,0.22174709976056875,-0.8454442948420141,1.0675123084479985,1.3617134748149242,-197.22390616946427,276.7525397396105,339.827680780688,184.8667906529832,240.2287410266585,303.1184051554774
Adaptive-MDM,seen_grid,15,12000,11997,0.00024999999999997247,0.5107374027251019,0.9662465273174857,1.1037485396627995,-0.1689601490429164,0.2805799244931077,0.3275149827536809,-0.1524810327716481,0.24950593717337252,0.29240124653441774,0.1423159534426264,0.21733776131239682,0.25977989876759894,0.03859019588408641,0.16717487172988776,0.17156430695441252,-0.6880362520182464,0.9675326166496085,1.1871963691478202,-152.48103277164807,249.50593717337253,292.4012465344178,142.3159534426264,217.33776131239682,259.7798987675989
Adaptive-MDM,seen_grid,20,12000,11998,0.0001666666666666483,0.45347519699325,0.8601750250734049,0.994259747047632,-0.1509512018862343,0.24962211280864025,0.2917057954316935,-0.13309233767729114,0.2227797492557721,0.2595000008401716,0.1250106398010071,0.1927999051677486,0.22977459678890272,0.03099340279827715,0.14345053255260448,0.1467546632405503,-0.613602888329776,0.8795106763340388,1.0723726320738505,-133.09233767729114,222.7797492557721,259.50000084017165,125.01063980100714,192.7999051677486,229.77459678890273
Direct-P,far_ood,7,6000,6000,0.0,0.8988688744294537,1.6590714933320734,2.013820555340034,0.2560136855393363,0.6921921311909653,0.7379655132016971,0.09862829710614854,0.4598167101037193,0.4702379284073664,-0.013123571227236066,0.20514197810366414,0.20554426635198844,0.05400573436137814,0.39854783142035705,0.4021573322446404,-0.6680300355455306,1.476439023638782,1.6204237121452678,98.62829710614852,459.81671010371934,470.23792840736644,-13.123571227236088,205.14197810366414,205.54426635198845
Direct-P,far_ood,10,6000,6000,0.0,0.7509643541514626,1.420624701827454,1.756067502930181,0.10554662384610185,0.5556285130976385,0.5655189479863976,0.10615866906625744,0.43711551489652234,0.44978638417098665,-0.028840124483035273,0.20249214886936437,0.20451892159130616,-0.08585969909980273,0.29812840630061954,0.3102218901825199,-0.7071258979648986,1.260002540667262,1.444772936136865,106.15866906625746,437.1155148965223,449.78638417098665,-28.840124483035275,202.4921488693644,204.5189215913062
Direct-P,far_ood,15,6000,5963,0.006166666666666654,0.6859303637321097,1.3055098079092162,1.5932278435447826,0.10792096521691212,0.4768176193136482,0.4888392876947407,0.11202335305145485,0.40911561170701694,0.42414236566083063,-0.008317886853513512,0.19474755479939274,0.1949087915368902,-0.08137968177683255,0.20901691359940958,0.22428418636063932,-0.5989129999069314,1.1021266161753487,1.2542631925514294,112.02335305145485,409.11561170701697,424.14236566083065,-8.317886853513512,194.7475547993928,194.9087915368902
Direct-P,far_ood,20,6000,5969,0.005166666666666653,0.6782733956275623,1.2809999372132583,1.52294072796529,0.13710921375886476,0.466492367710509,0.4861868036850881,0.12487265647585527,0.40486489908368856,0.4236523406029655,-0.00031420710195296457,0.18089131396154712,0.18087643367300463,-0.054123299717278764,0.19108575874493522,0.19858746570174396,-0.5130768458397953,1.0471952736557035,1.166054060510373,124.87265647585525,404.86489908368856,423.65234060296547,-0.31420710195296664,180.89131396154713,180.87643367300464
Direct-P,in_domain_unseen,7,10500,10500,0.0,0.38755048932311714,0.6175848670709254,0.7209837579328805,-0.09469272142790619,0.24997141063665168,0.26729471862995835,-0.05128280737996386,0.20646825878868016,0.2127322455617035,0.040453311290076066,0.17849501618144617,0.18301340624499066,0.006293720672827641,0.20368848519743263,0.20377600101261684,-0.4664732789280348,0.8034149674739117,0.9289840989206238,-51.28280737996388,206.4682587886802,212.7322455617035,40.453311290076066,178.4950161814462,183.0134062449907
Direct-P,in_domain_unseen,10,10500,10500,0.0,0.364003285057399,0.5995851377678306,0.7019293932121876,-0.08694065236266338,0.23629482151733489,0.251770931735566,-0.04971229361239955,0.19145988614847895,0.19779966887738484,0.025980913187006686,0.1712100006101043,0.17316200639164453,-0.012082424821926327,0.17780895908096772,0.17821054926391489,-0.41586676677575113,0.7573750950110036,0.8640066967666846,-49.71229361239956,191.45988614847897,197.79966887738487,25.980913187006692,171.21000061010434,173.16200639164455
