method,beta_group,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,far_ood,0.75,6000,6000,0.0,0.6780926081520199,1.383435295837625,1.8550861501196794,0.12779661806884465,0.42270394840224035,0.44156633002680984,0.09257896753442675,0.4949479213972605,0.5034912920972185,-0.010414107700587403,0.10591834752705026,0.10642029975214606,0.06903741287095144,0.33173955927820903,0.3388199488078433,0.0958474635516335,0.31702796130168026,0.3311747475201074,92.57896753442675,494.94792139726053,503.49129209721855,-10.414107700587406,105.91834752705027,106.42029975214608
Adaptive-MDM,far_ood,1.0,6000,6000,0.0,0.5721398236873139,1.0805603625239968,1.437362872245443,0.10562183540533496,0.3955866597842491,0.40941262321292,0.029713896396509273,0.375629039606101,0.3767712500159282,-0.006267591310323116,0.13316298156799417,0.1332993134427225,0.08162196538364967,0.33713979733448557,0.3468521937454097,0.10562183540533493,0.3955866597842491,0.40941262321292,29.713896396509274,375.62903960610106,376.7712500159282,-6.267591310323117,133.1629815679942,133.29931344272254
Adaptive-MDM,far_ood,5.5,6000,5995,0.0008333333333333526,0.7271011906409883,1.2702452382299043,1.3705515591712207,-0.3995538546984678,0.2000676183469315,0.44683739545403967,-0.3422932170986864,0.22861922283561278,0.4116098603429723,0.33058403902140776,0.2202857405382309,0.39724491181170224,0.02552754357516224,0.11007224911709607,0.11298466491448984,-2.197546200841573,1.1003719009081232,2.4576056749972186,-342.29321709868634,228.6192228356128,411.60986034297235,330.58403902140776,220.28574053823093,397.24491181170225
Adaptive-MDM,far_ood,5.75,6000,5995,0.0008333333333333526,0.7455482035401994,1.272964880105899,1.37619078706496,-0.4127689909915686,0.19893934940941507,0.45820137824120943,-0.3569924350826872,0.22592851263925387,0.42246748650304483,0.3448006605250466,0.2162672437522122,0.40700272046237157,0.023413575404091762,0.10629512335538699,0.1088345720940684,-2.3734216982015197,1.1439012591041364,2.634657924886954,-356.9924350826873,225.92851263925385,422.4674865030448,344.8006605250466,216.2672437522122,407.0027204623716
Adaptive-MDM,in_domain_unseen,1.75,6000,5999,0.0001666666666666483,0.4832707140333245,0.8914914193430358,1.0677903694617923,-0.026762149049583888,0.33683079272031824,0.33786429706389026,-0.05425945206575025,0.2767895075475469,0.28203501335796893,0.04358405280491533,0.19379119369494166,0.1986160522166256,0.07626045333574412,0.27612735829793716,0.2864424286058151,-0.046833760836771814,0.5894538872605568,0.591262519861808,-54.25945206575025,276.7895075475469,282.0350133579689,43.58405280491534,193.7911936949417,198.61605221662566
Adaptive-MDM,in_domain_unseen,2.25,6000,6000,0.0,0.49014615508902004,0.9176747070729002,1.0670218223796755,-0.10382441322867073,0.3091291975900956,0.32607429026962614,-0.10392532276740754,0.2646447604434168,0.2842985211608711,0.0872138853961992,0.21329435540403835,0.2304195335457718,0.06390046760857954,0.23337696381723347,0.24194834062930046,-0.23360492976450914,0.6955406945777152,0.7336671531066589,-103.92532276740755,264.6447604434168,284.2985211608711,87.21388539619922,213.29435540403836,230.4195335457718
Adaptive-MDM,in_domain_unseen,2.75,6000,5998,0.0003333333333332966,0.5187630880944682,0.9660042602176527,1.1121069343453607,-0.16208021142222256,0.2890593296980401,0.33137797225217464,-0.1498139554887961,0.25923301361044226,0.29939066882172094,0.13411566320292603,0.2255876226366008,0.2624277084185163,0.0596558622063,0.20099310167208678,0.2096433007096306,-0.44572058141111204,0.7949131566696105,0.9112894236934802,-149.81395548879613,259.2330136104423,299.390668821721,134.11566320292607,225.58762263660083,262.4277084185164
Adaptive-MDM,in_domain_unseen,3.25,6000,5998,0.0003333333333332966,0.546780967180875,1.054122018090549,1.179483916928944,-0.21489421729879937,0.26666926307898314,0.34246191680958454,-0.18654691235614593,0.25504199853820697,0.3159672876152049,0.16937326841995728,0.22887685069179634,0.28471596927083304,0.0443929227994406,0.17379973957108183,0.1793656739718715,-0.6984062062210982,0.8666751050066952,1.1130012296311498,-186.54691235614595,255.041998538207,315.9672876152049,169.3732684199573,228.87685069179634,284.7159692708331
Adaptive-MDM,in_domain_unseen,3.75,6000,5997,0.0004999999999999449,0.5899921684854007,1.1154151581134955,1.2388905902017517,-0.26640478054096545,0.2492997834389919,0.36484452241881754,-0.22534512664915984,0.2522087217599923,0.3381997318050753,0.21153222295624985,0.23388386574416872,0.31533858390580866,0.04035576056528412,0.15315438168980489,0.1583696331639496,-0.9990179270286202,0.9348741878962197,1.3681669590705656,-225.34512664915982,252.20872175999236,338.19973180507526,211.53222295624988,233.88386574416873,315.3385839058087
Adaptive-MDM,in_domain_unseen,4.25,6000,5998,0.0003333333333332966,0.6262284507349709,1.1617384689313344,1.2801496615840082,-0.3094001810914464,0.23046226293761735,0.38578811749924274,-0.2616728155700248,0.24416045042608234,0.35787853934914143,0.2489228576188389,0.2292139728069056,0.3383679579210914,0.035704719576584235,0.1387412822613738,0.14325069334300627,-1.3149507696386473,0.9794646174848736,1.6395994993717817,-261.6728155700248,244.16045042608235,357.8785393491414,248.9228576188389,229.21397280690562,338.36795792109143
Adaptive-MDM,in_domain_unseen,4.75,6000,5996,0.0006666666666667043,0.671207253639651,1.211093664879946,1.322822721755435,-0.35045707865532205,0.21892607324858432,0.41320793324239746,-0.3000554720162473,0.2365427874258439,0.38206863903485067,0.2867237827435933,0.22387236825599166,0.36375954440718417,0.030696601549247245,0.12621092067310077,0.12988002620361097,-1.6646711236127796,1.0398988479307756,1.962737682901388,-300.0554720162474,236.54278742584384,382.06863903485066,286.72378274359323,223.87236825599166,363.75954440718414
Adaptive-MDM,near_ood,1.25,6000,6000,0.0,0.5131235228977428,0.9428757054583571,1.2270142139758866,0.05744216872975062,0.366111307442124,0.3705600526281614,0.00044694744758326505,0.31744177250908756,0.3174156325953558,0.008871313373512517,0.15859951270804343,0.1588342322400769,0.0905631842723172,0.34859722354853917,0.36014089086621953,0.07180271091218829,0.45763913430265496,0.4632000657852018,0.4469474475832649,317.44177250908757,317.4156325953558,8.871313373512521,158.59951270804345,158.83423224007691
Adaptive-MDM,near_ood,5.25,6000,5998,0.0003333333333332966,0.7089295852597872,1.248221970160522,1.3449271732860446,-0.3814384106346961,0.20947204036743763,0.4351625917693622,-0.3271246300974332,0.23462698718177985,0.40255579576068623,0.31591813015590453,0.22504405599994248,0.38786679218907755,0.028186312864996243,0.11616512995726523,0.11952638137557772,-2.0025516558321548,1.0997282119290477,2.2846036067891515,-327.1246300974332,234.62698718177987,402.55579576068624,315.9181301559046,225.04405599994246,387.8667921890776
Adaptive-MDM,seen_grid,1.5,6000,6000,0.0,0.4869063524869603,0.8775744144871662,1.102925387198243,0.013488460855068055,0.3476836342723916,0.3479162266966576,-0.029534984139470664,0.2873380621292424,0.28882817852369563,0.02899681231323694,0.178255039955535,0.1805834393957547,0.091409662112861,0.3148626343110772,0.32783788941053016,0.020232691282602088,0.5215254514085874,0.5218743400449865,-29.534984139470673,287.3380621292424,288.8281785236956,28.99681231323694,178.255039955535,180.5834393957547
Adaptive-MDM,seen_grid,2.0,6000,6000,0.0,0.489874088429476,0.909198243480931,1.085969236430934,-0.06430545501175944,0.3289580354521542,0.33515749293125174,-0.08050149871131389,0.2689806144167265,0.2807472240259531,0.07004002760152386,0.20959195988130902,0.22096849017081446,0.07968357735281856,0.2657938246559599,0.2774600067255007,-0.1286109100235189,0.6579160709043085,0.6703149858625036,-80.50149871131387,268.9806144167265,280.7472240259531,70.04002760152387,209.59195988130904,220.96849017081448
Adaptive-MDM,seen_grid,2.5,6000,6000,0.0,0.5026530696456684,0.936596794250531,1.0750673596820681,-0.13129592160059558,0.30184565451419115,0.32914166105927495,-0.12770927947072575,0.2610339345815854,0.2905804856035154,0.1085932952514775,0.2193270853936414,0.2447219989412061,0.05981971542107092,0.2147544662985842,0.22291297083865513,-0.328239804001489,0.7546141362854778,0.8228541526481875,-127.70927947072578,261.0339345815854,290.58048560351546,108.59329525147751,219.32708539364143,244.72199894120612
Adaptive-MDM,seen_grid,3.0,6000,5998,0.0003333333333332966,0.5365018836926303,1.043010788106271,1.1682840484818946,-0.19494424508727762,0.2758705625889982,0.3377797176738519,-0.16876057311904613,0.2603634791296222,0.3102546862602082,0.15476982309243437,0.22965581576763966,0.2769236332022497,0.0533446309858626,0.1859338560448382,0.19341996964543975,-0.5848327352618329,0.8276116877669948,1.0133391530215556,-168.76057311904617,260.3634791296222,310.2546862602082,154.76982309243436,229.65581576763967,276.92363320224973
Adaptive-MDM,seen_grid,3.5,6000,5999,0.0001666666666666483,0.5737914132483466,1.0931474299152626,1.2206102045576297,-0.25033808378892786,0.2516137219506654,0.3549198049314483,-0.21462806191374983,0.25143715637911396,0.3305681624695746,0.20115608238841304,0.2305385725175299,0.3059459812093049,0.0472413406250845,0.1632252292673736,0.16991109022271494,-0.8761832932612476,0.8806480268273289,1.242219317260069,-214.6280619137499,251.43715637911396,330.5681624695746,201.1560823884131,230.5385725175299,305.9459812093049
Adaptive-MDM,seen_grid,4.0,6000,5999,0.0001666666666666483,0.6034909403411356,1.1402885935152087,1.2617838446043115,-0.28540436100096117,0.24083907132890062,0.37342929545285014,-0.24214026694763677,0.24576650215687315,0.34499712161051915,0.22891556918974654,0.23011065850146684,0.32456806119797804,0.036201116037117245,0.14671913031182837,0.15110736465573332,-1.1416174440038447,0.9633562853156025,1.4937171818114006,-242.14026694763683,245.76650215687317,344.9971216105192,228.9155691897466,230.11065850146684,324.568061197978
Adaptive-MDM,seen_grid,4.5,6000,5996,0.0006666666666667043,0.6438739986628024,1.1895697446220623,1.3197986536270419,-0.3261132095698719,0.22545384839094978,0.39644770901823934,-0.2749824870050388,0.24213652194510987,0.36638188440179026,0.26350411226361176,0.22855336335715518,0.34880129754218026,0.03214075118498986,0.13214956043429466,0.13599125590875877,-1.4675094430644235,1.014542317759274,1.7840146905820768,-274.98248700503876,242.13652194510988,366.38188440179033,263.50411226361183,228.55336335715518,348.8012975421803
Adaptive-MDM,seen_grid,5.0,6000,5998,0.0003333333333332966,0.6854856292965286,1.2246880933894146,1.336154575199051,-0.3639100625039119,0.209678621523319,0.419986104474277,-0.3123756155185355,0.23448201633698953,0.39057800048707647,0.2999689945704214,0.22415232719812217,0.3744559876078184,0.02948584812991499,0.1221501065613401,0.12564862183458417,-1.8195503125195593,1.0483931076165949,2.099930522371385,-312.37561551853554,234.48201633698955,390.5780004870765,299.9689945704215,224.15232719812218,374.45598760781843
