budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,30000,30000,0.0,0.24898540371431566,-0.01895658351578423,0.11148387939869808,0.11308224058561171,-0.03170787141185292,0.16114300929518288,0.16423030471017372,0.025791236417021426,0.14686754668185098,0.14911252510008033,0.1266261769571665,0.15976420143491243,0.25529707734946294
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,30000,30000,0.0,0.272590089909355,-0.051279932412922884,0.13687942147679064,0.14616765360215886,-0.043874135578616115,0.16562550912270615,0.17133544481888155,0.026370417555622992,0.15129409631797827,0.1535725870913998,0.12340638910839306,0.15371273049163875,0.24727741838496392
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,30000,30000,0.0,0.35948064810117286,-0.09204823198386206,0.2343787376994091,0.25180238002019323,-0.034994229018327154,0.19010944013216882,0.19330026014462465,0.022242282669641084,0.16722176942334796,0.16869175203140765,0.13843160206757513,0.16098674176612274,0.24499161583478937
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,30000,30000,0.0,0.3795274612345549,-0.09440280217743917,0.25722581752271534,0.2739978188875633,-0.02720661913062202,0.19637999002783194,0.19825240251886142,0.012020632843511786,0.17181025090572838,0.17222739030567688,0.1439965190394554,0.16322870405765286,0.2395752864848007
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,30000,30000,0.0,0.2473438722381089,-0.01899714497743816,0.11134102931560111,0.11294823194215001,-0.02803166163196954,0.160591941526049,0.1630174410236496,0.019488541029652955,0.1465193308838967,0.14780731361128646,0.12421417455584861,0.15626756320437968,0.2485286066018322
fixed_total,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,12000,30000,30000,0.0,0.2741558531020945,-0.05778316017380037,0.13673901572300642,0.14844469936181723,-0.041343302057153766,0.1663793868316245,0.17143642043270052,0.03370731684773237,0.15033205541698486,0.1540621847525839,0.12458287753485264,0.15561370708069402,0.2511618507018301
fixed_total,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,12000,30000,30000,0.0,0.3604635711286294,-0.09347629002891655,0.23313311430185063,0.25117136397292006,-0.03927752659967655,0.19196840350927055,0.19594224569012222,0.02038824633912667,0.16744796930189504,0.16868185552897855,0.14153197994624067,0.16295185148467373,0.24394478005035083
fixed_total,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,12000,30000,30000,0.0,0.38162693053954777,-0.09112417531286651,0.26138587972403626,0.27681025274777626,-0.028290647735169754,0.1956418012858574,0.1976734663593052,0.01688212603114515,0.17221028178059694,0.17303294132692107,0.1418973542605495,0.1622697181449539,0.2433618811726902
