n,beta,sd_log_q,beta_direction_sensitivity,relative_to_beta_1.5
7,0.75,1.0778981750270333,1.9162634222702815,4.0
7,1.0,1.0778981750270333,1.0778981750270333,2.25
7,1.25,1.0778981750270333,0.6898548320173014,1.4400000000000002
7,1.5,1.0778981750270333,0.47906585556757036,1.0
7,1.75,1.0778981750270333,0.35196675102923536,0.7346938775510203
7,2.0,1.0778981750270333,0.26947454375675833,0.5625
7,2.25,1.0778981750270333,0.21291815803003128,0.4444444444444445
7,2.5,1.0778981750270333,0.17246370800432534,0.36000000000000004
7,2.75,1.0778981750270333,0.14253199008621928,0.2975206611570248
7,3.0,1.0778981750270333,0.11976646389189259,0.25
7,3.25,1.0778981750270333,0.10204953136350611,0.21301775147928995
7,3.5,1.0778981750270333,0.08799168775730884,0.18367346938775508
7,3.75,1.0778981750270333,0.07665053689081126,0.16
7,4.0,1.0778981750270333,0.06736863593918958,0.140625
7,4.25,1.0778981750270333,0.05967602353090842,0.12456747404844291
7,4.5,1.0778981750270333,0.05322953950750782,0.11111111111111112
7,4.75,1.0778981750270333,0.047773880333608125,0.0997229916897507
7,5.0,1.0778981750270333,0.043115927001081335,0.09000000000000001
7,5.25,1.0778981750270333,0.03910741678102615,0.0816326530612245
7,5.5,1.0778981750270333,0.03563299752155482,0.0743801652892562
7,5.75,1.0778981750270333,0.03260183516149817,0.06805293005671077
10,0.75,1.11503357745421,1.9822819154741511,4.0
10,1.0,1.11503357745421,1.11503357745421,2.25
10,1.25,1.11503357745421,0.7136214895706944,1.44
10,1.5,1.11503357745421,0.4955704788685378,1.0
10,1.75,1.11503357745421,0.36409259671974203,0.7346938775510204
10,2.0,1.11503357745421,0.2787583943635525,0.5625
10,2.25,1.11503357745421,0.22025354616379456,0.4444444444444444
10,2.5,1.11503357745421,0.1784053723926736,0.36
10,2.75,1.11503357745421,0.14744245652287075,0.2975206611570248
10,3.0,1.11503357745421,0.12389261971713444,0.25
10,3.25,1.11503357745421,0.10556530910809088,0.21301775147928992
10,3.5,1.11503357745421,0.09102314917993551,0.1836734693877551
10,3.75,1.11503357745421,0.07929127661896604,0.15999999999999998
10,4.0,1.11503357745421,0.06968959859088812,0.140625
10,4.25,1.11503357745421,0.061731962765631,0.1245674740484429
10,4.5,1.11503357745421,0.05506338654094864,0.1111111111111111
10,4.75,1.11503357745421,0.04941977074589296,0.09972299168975068
10,5.0,1.11503357745421,0.0446013430981684,0.09
10,5.25,1.11503357745421,0.04045473296886022,0.08163265306122448
10,5.5,1.11503357745421,0.03686061413071769,0.0743801652892562
10,5.75,1.11503357745421,0.033725023136611264,0.06805293005671077
15,0.75,1.150559575955404,2.0454392461429403,4.0
15,1.0,1.150559575955404,1.150559575955404,2.25
15,1.25,1.150559575955404,0.7363581286114586,1.4400000000000002
15,1.5,1.150559575955404,0.5113598115357351,1.0
15,1.75,1.150559575955404,0.37569292276094823,0.7346938775510204
15,2.0,1.150559575955404,0.287639893988851,0.5625
15,2.25,1.150559575955404,0.2272710273492156,0.4444444444444445
15,2.5,1.150559575955404,0.18408953215286464,0.36000000000000004
15,2.75,1.150559575955404,0.1521401092172435,0.2975206611570248
15,3.0,1.150559575955404,0.12783995288393377,0.25
15,3.25,1.150559575955404,0.10892871725021576,0.21301775147928995
15,3.5,1.150559575955404,0.09392323069023706,0.1836734693877551
15,3.75,1.150559575955404,0.08181756984571761,0.16
15,4.0,1.150559575955404,0.07190997349721275,0.140625
15,4.25,1.150559575955404,0.06369880005289434,0.12456747404844293
15,4.5,1.150559575955404,0.0568177568373039,0.11111111111111112
15,4.75,1.150559575955404,0.050994330236250586,0.09972299168975068
15,5.0,1.150559575955404,0.04602238303821616,0.09000000000000001
15,5.25,1.150559575955404,0.0417436580845498,0.08163265306122448
15,5.5,1.150559575955404,0.038035027304310874,0.0743801652892562
15,5.75,1.150559575955404,0.03479953348825418,0.06805293005671077
20,0.75,1.1718137348539612,2.0832244175181533,4.0
20,1.0,1.1718137348539612,1.1718137348539612,2.25
20,1.25,1.1718137348539612,0.7499607903065352,1.44
20,1.5,1.1718137348539612,0.5208061043795383,1.0
20,1.75,1.1718137348539612,0.3826330562788445,0.7346938775510203
20,2.0,1.1718137348539612,0.2929534337134903,0.5625
20,2.25,1.1718137348539612,0.23146937972423925,0.4444444444444444
20,2.5,1.1718137348539612,0.1874901975766338,0.36
20,2.75,1.1718137348539612,0.15495057650961472,0.2975206611570248
20,3.0,1.1718137348539612,0.13020152609488458,0.25
20,3.25,1.1718137348539612,0.11094094531161763,0.21301775147928995
20,3.5,1.1718137348539612,0.09565826406971112,0.18367346938775508
20,3.75,1.1718137348539612,0.08332897670072613,0.16
20,4.0,1.1718137348539612,0.07323835842837258,0.140625
20,4.25,1.1718137348539612,0.0648755008915688,0.12456747404844291
20,4.5,1.1718137348539612,0.057867344931059814,0.1111111111111111
20,4.75,1.1718137348539612,0.05193634281901213,0.09972299168975068
20,5.0,1.1718137348539612,0.04687254939415845,0.09
20,5.25,1.1718137348539612,0.04251478403098272,0.0816326530612245
20,5.5,1.1718137348539612,0.03873764412740368,0.0743801652892562
20,5.75,1.1718137348539612,0.03544238139444873,0.06805293005671077
