estimator,bias_beta,rmse_beta,mae_beta,bias_goe,rmse_goe,mae_goe,spearman_abs_beta_err_vs_delta
MDM-0.1,-0.9402630969435456,1.4852881529454514,1.1559364673848533,0.7059934794990128,1.4165396702530952,0.8016302457155818,0.14447603829905767
WMLE,-0.3504721491318306,1.4180057793359793,1.1337574091058271,0.387092554122264,1.0316322836383716,0.6595112101588853,-0.09500084526758266
