estimator,family,mapping,variant,PG_J1,default_J1,l2_J1,oracle_layer,oracle_J1,oracle_gain,pg_gain,recovery_pct,PG_J1_n7,oracle_J1_n7,PG_J1_n10,oracle_J1_n10,PG_J1_n15,oracle_J1_n15,PG_J1_n20,oracle_J1_n20
MDM-0.1,PG-beta,nearest_grid,one_step,0.6739545013414948,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.043545301409128157,-109.18279158736517,0.8001954783471836,0.7199227172431429,0.7077865061193754,0.6119094097463817,0.6123792370372438,0.5271957729071228,0.5482479436783906,0.47352703458300816
MDM-0.1,PG-beta,nearest_grid,terminal,0.6865596590673766,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.056150459135009934,-140.7881833144808,0.8155199968877003,0.7199227172431429,0.7216871406683779,0.6119094097463817,0.6237819353427674,0.5271957729071228,0.5571782162334303,0.47352703458300816
MDM-0.1,PG-beta,interpolated,one_step,0.6707383325075512,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.040329132575184556,-101.11876906041044,0.7978758865440744,0.7199227172431429,0.7045749430779918,0.6119094097463817,0.6086130454331423,0.5271957729071228,0.5441672748032438,0.47352703458300816
MDM-0.1,PG-beta,interpolated,terminal,0.689705169710163,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.05929596977779639,-148.67504186944765,0.8214292859847366,0.7199227172431429,0.7257428838891351,0.6119094097463817,0.6248727077665852,0.5271957729071228,0.5575465704307063,0.47352703458300816
MDM-0.1,PG-beta-n,nearest_grid,one_step,0.6731925149718246,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.04278331503945798,-102.11971595212415,0.7923566146201678,0.7166286779028069,0.7124115905022346,0.6121563594352502,0.6125456494985393,0.5249890805769349,0.5497101028019379,0.4706262318259186
MDM-0.1,PG-beta-n,nearest_grid,terminal,0.7011393939084982,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.07073019397613156,-168.8262658332963,0.8278239091678761,0.7166286779028069,0.7500753258613051,0.6121563594352502,0.6307760351818547,0.5249890805769349,0.5662172490712708,0.4706262318259186
MDM-0.1,PG-beta-n,interpolated,one_step,0.6721551676981397,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.041745967765772996,-99.64366637918383,0.7920564960143468,0.7166286779028069,0.7088975559118694,0.6121563594352502,0.6130821275003385,0.5249890805769349,0.5490094217193074,0.4706262318259186
MDM-0.1,PG-beta-n,interpolated,terminal,0.7038797941528402,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.07347059422047353,-175.36734135045145,0.8303578770042985,0.7166286779028069,0.750173346268286,0.6121563594352502,0.636266587496202,0.5249890805769349,0.5698224589712771,0.4706262318259186
MDM-0.1,PG-full,nearest_grid,one_step,0.6835542224517537,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.05314502251938702,-108.2049756510144,0.8000594634865396,0.7127128984938877,0.7229381111000583,0.6029732383224465,0.626932266901011,0.5161545481882651,0.5596487963442396,0.4622328729960283
MDM-0.1,PG-full,nearest_grid,terminal,0.7320335843465754,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.10162438441420873,-206.9105161650351,0.8549940135100722,0.7127128984938877,0.7664817965989454,0.6029732383224465,0.6778620093613837,0.5161545481882651,0.6045549297244359,0.4622328729960283
