threshold,adaptive_coverage,policy_J1_same_data_descriptive,relative_improvement_vs_default_same_data,actual_improved_rate_among_adaptive,actual_harmed_rate_among_adaptive
0.0,0.9474930555555555,0.5849899728814202,0.0720472148182788,0.6549227127141066,0.3299569771106502
0.011020544142451039,0.9,0.5851277430957009,0.07182867388598346,0.6632561728395062,0.32088734567901234
0.028555257756592668,0.8,0.5857082927657359,0.07090776462562176,0.6825347222222222,0.2998090277777778
0.04670085721734504,0.7,0.5864698917023979,0.06969966211578571,0.703422619047619,0.2769642857142857
0.06855128117175151,0.6,0.587849671587271,0.06751095693029496,0.7255555555555555,0.2524884259259259
0.09582372217957418,0.5,0.5895973207201627,0.0647387113268374,0.7498472222222222,0.2252361111111111
0.13074022023508788,0.4,0.5926245392106994,0.059936721617833366,0.7753472222222222,0.19600694444444444
0.17626094610242918,0.3,0.5967917559894385,0.053326385380376484,0.8025,0.1629861111111111
0.2318895812391031,0.2,0.603515746073875,0.042660313113096815,0.8190277777777778,0.13583333333333333
0.3060776797443716,0.1,0.6136865530229665,0.026526654292472696,0.8149305555555556,0.11708333333333333
