distance_bin,n,row_rate,actual_gain_mean,improved_rate,harmed_rate,selection_regret_mean,selection_regret_p95
0-0.02,67396,0.46802777777777776,0.13496805828990593,0.9437652086177222,0.030817852691554393,0.043302095033844086,0.19806372008447443
0.04-0.06,23640,0.16416666666666666,0.03850276835627357,0.6328257191201354,0.2870135363790186,0.09718797197303691,0.3293640658460762
0.08-0.10,14092,0.09786111111111111,-0.02423532803262427,0.2992478001703094,0.49176837922225375,0.13266226641838672,0.3808317616635834
0.12-0.20,18446,0.12809722222222222,-0.04359359254223639,0.162528461455058,0.7911742383172503,0.16046738193729904,0.4316283724588274
>0.20,20426,0.14184722222222224,-0.04468267574818856,0.1779594634289631,0.7178106335063155,0.2122294250714846,0.6444967555772629
