predicted_near_min_tolerance,policy_J1_same_data_descriptive,relative_improvement_vs_default_same_data,improved_rate,harmed_rate,mean_abs_delta_change_from_plain_ensemble
0.0,0.5811767400766177,0.0780960364490727,0.6364583333333333,0.3016041666666667,1.875e-05
0.001,0.5810410386844574,0.07831129566828265,0.6339583333333333,0.2976875,0.0018375000000000002
0.002,0.5809574202438609,0.07844393719795195,0.6318958333333333,0.29404166666666665,0.0034899999999999996
0.005,0.5806612512596553,0.07891374154763042,0.6245208333333333,0.28197916666666667,0.008327916666666667
0.01,0.5806730918588388,0.07889495914536737,0.6053333333333333,0.2628125,0.015275000000000004
0.02,0.5813392235519111,0.07783829358093108,0.5640208333333333,0.22108333333333333,0.02622666666666667
0.05,0.5853540765268516,0.07146964766749708,0.46839583333333334,0.13291666666666666,0.04464125000000001
