beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,30,0,392,1.387741,4811.836097,1697.286190,-0.112259,-188.163903,697.286190,0.938996
1.5,5000,30,0,393,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,394,1.811929,4408.892625,1191.097674,0.311929,-591.107375,191.097674,0.971653
1.5,5000,30,0,395,1.207977,3753.252561,1373.652876,-0.292023,-1246.747439,373.652876,0.987092
1.5,5000,30,0,396,1.307503,4672.838784,1765.055325,-0.192497,-327.161216,765.055325,0.980024
1.5,5000,30,0,397,2.011114,5417.454701,551.786872,0.511114,417.454701,-448.213128,0.967720
1.5,5000,30,0,398,1.881714,5293.859902,267.034811,0.381714,293.859902,-732.965189,0.956006
1.5,5000,30,0,399,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,400,1.142823,4950.344805,1314.258938,-0.357177,-49.655195,314.258938,0.981313
1.5,5000,30,0,401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,402,1.276288,4115.859052,813.139150,-0.223712,-884.140948,-186.860850,0.980612
1.5,5000,30,0,403,1.351617,5453.612698,714.778921,-0.148383,453.612698,-285.221079,0.972800
1.5,5000,30,0,404,1.045978,3601.457546,1981.560982,-0.454022,-1398.542454,981.560982,0.985033
1.5,5000,30,0,405,1.686918,6210.848431,497.097117,0.186918,1210.848431,-502.902883,0.971263
1.5,5000,30,0,406,2.203090,4823.482868,209.306455,0.703090,-176.517132,-790.693545,0.981319
1.5,5000,30,0,407,1.189750,6145.043572,1083.628227,-0.310250,1145.043572,83.628227,0.986543
1.5,5000,30,0,408,1.376057,5717.396792,960.901165,-0.123943,717.396792,-39.098835,0.982636
1.5,5000,30,0,409,1.525245,5209.712776,783.124730,0.025245,209.712776,-216.875270,0.988482
1.5,5000,30,0,410,1.386496,4488.773893,1094.439610,-0.113504,-511.226107,94.439610,0.987968
1.5,5000,30,0,411,1.845504,5782.628403,373.259254,0.345504,782.628403,-626.740746,0.979904
1.5,5000,30,0,412,1.876976,5672.911183,306.162055,0.376976,672.911183,-693.837945,0.946085
1.5,5000,30,0,413,2.539832,7249.287561,460.908480,1.039832,2249.287561,-539.091520,0.964385
1.5,5000,30,0,414,1.667451,6682.081127,280.686792,0.167451,1682.081127,-719.313208,0.975058
1.5,5000,30,0,415,1.550811,4679.637400,1301.848515,0.050811,-320.362600,301.848515,0.986263
1.5,5000,30,0,416,1.222749,4221.529373,1631.214191,-0.277251,-778.470627,631.214191,0.974234
1.5,5000,30,0,417,1.707968,4788.451660,1081.672385,0.207968,-211.548340,81.672385,0.974934
1.5,5000,30,0,418,1.362944,4534.465262,1200.887478,-0.137056,-465.534738,200.887478,0.984963
1.5,5000,30,0,419,2.407216,6009.724130,616.943286,0.907216,1009.724130,-383.056714,0.938881
1.5,5000,30,0,420,1.166087,4672.011985,1309.345825,-0.333913,-327.988015,309.345825,0.985703
1.5,5000,30,0,421,2.015236,6713.313307,54.249501,0.515236,1713.313307,-945.750499,0.980764
1.5,5000,30,0,422,1.606616,5292.941044,695.890582,0.106616,292.941044,-304.109418,0.975613
1.5,5000,30,0,423,1.285303,3053.433918,1332.552276,-0.214697,-1946.566082,332.552276,0.977234
1.5,5000,30,0,424,1.671844,5798.748896,773.170574,0.171844,798.748896,-226.829426,0.979935
1.5,5000,30,0,425,1.486130,4508.114375,1212.302246,-0.013870,-491.885625,212.302246,0.978909
1.5,5000,30,0,426,1.809236,6848.722965,394.605130,0.309236,1848.722965,-605.394870,0.988092
1.5,5000,30,0,427,1.862756,4948.885986,569.555019,0.362756,-51.114014,-430.444981,0.971527
1.5,5000,30,0,428,1.401224,4638.622567,948.243785,-0.098776,-361.377433,-51.756215,0.986578
1.5,5000,30,0,429,1.204592,4499.628904,1089.317985,-0.295408,-500.371096,89.317985,0.978693
1.5,5000,30,0,430,2.657020,5198.693980,199.665096,1.157020,198.693980,-800.334904,0.981991
1.5,5000,30,0,431,1.986854,4450.053680,731.751251,0.486854,-549.946320,-268.248749,0.952038
1.5,5000,30,0,432,1.309802,3999.108627,1958.900028,-0.190198,-1000.891373,958.900028,0.988004
1.5,5000,30,0,433,1.242419,5336.984715,943.986872,-0.257581,336.984715,-56.013128,0.985509
1.5,5000,30,0,434,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,435,1.330993,4695.652035,1142.884496,-0.169007,-304.347965,142.884496,0.974899
1.5,5000,30,0,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,437,1.432374,4704.057927,1762.082949,-0.067626,-295.942073,762.082949,0.975927
1.5,5000,30,0,438,1.320264,3983.084638,2072.712830,-0.179736,-1016.915362,1072.712830,0.990078
1.5,5000,30,0,439,1.227572,5536.852691,1171.766015,-0.272428,536.852691,171.766015,0.989295
1.5,5000,30,0,440,1.451439,5062.963530,1537.045161,-0.048561,62.963530,537.045161,0.973155
1.5,5000,30,0,441,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,442,1.455906,4972.996801,1255.034308,-0.044094,-27.003199,255.034308,0.932648
1.5,5000,30,0,443,1.410048,4383.335855,955.100512,-0.089952,-616.664145,-44.899488,0.930227
1.5,5000,30,0,444,1.925056,6857.920392,54.143253,0.425056,1857.920392,-945.856747,0.986333
1.5,5000,30,0,445,1.593144,5108.081877,945.598274,0.093144,108.081877,-54.401726,0.975583
1.5,5000,30,0,446,1.301420,3911.966848,997.082708,-0.198580,-1088.033152,-2.917292,0.987321
1.5,5000,30,0,447,1.445181,3720.286970,1569.685897,-0.054819,-1279.713030,569.685897,0.994917
1.5,5000,30,0,448,1.215356,4933.536957,1087.961751,-0.284644,-66.463043,87.961751,0.989826
1.5,5000,30,0,449,1.605452,3866.550249,1810.844657,0.105452,-1133.449751,810.844657,0.960437
1.5,5000,30,0,450,1.620955,5405.792281,790.931048,0.120955,405.792281,-209.068952,0.989773
1.5,5000,30,0,451,1.532380,4128.290816,870.825493,0.032380,-871.709184,-129.174507,0.978555
1.5,5000,30,0,452,1.549430,4193.000084,1171.087882,0.049430,-806.999916,171.087882,0.975907
1.5,5000,30,0,453,1.440398,5319.851148,1184.923184,-0.059602,319.851148,184.923184,0.968357
1.5,5000,30,0,454,1.386382,4844.897034,828.615488,-0.113618,-155.102966,-171.384512,0.975940
1.5,5000,30,0,455,1.858134,4959.700244,798.061734,0.358134,-40.299756,-201.938266,0.977588
1.5,5000,30,0,456,1.517275,5114.245498,804.062535,0.017275,114.245498,-195.937465,0.993443
1.5,5000,30,0,457,1.162443,5111.269531,795.723384,-0.337557,111.269531,-204.276616,0.991453
1.5,5000,30,0,458,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,459,1.326028,4963.374084,902.662653,-0.173972,-36.625916,-97.337347,0.986711
1.5,5000,30,0,460,1.490198,4847.273327,738.568435,-0.009802,-152.726673,-261.431565,0.983208
1.5,5000,30,0,461,1.414455,4267.470524,848.597572,-0.085545,-732.529476,-151.402428,0.972096
1.5,5000,30,0,462,1.979466,5427.233060,899.558620,0.479466,427.233060,-100.441380,0.973368
1.5,5000,30,0,463,1.113273,4199.213657,1268.350561,-0.386727,-800.786343,268.350561,0.975384
1.5,5000,30,0,464,1.211806,4565.721087,1038.358989,-0.288194,-434.278913,38.358989,0.973561
1.5,5000,30,0,465,1.781319,5443.417235,554.213888,0.281319,443.417235,-445.786112,0.982399
1.5,5000,30,0,466,1.475534,6625.320032,773.799907,-0.024466,1625.320032,-226.200093,0.984741
1.5,5000,30,0,467,1.638182,4749.962179,1167.183907,0.138182,-250.037821,167.183907,0.973626
1.5,5000,30,0,468,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,469,1.092526,4922.725181,1523.602438,-0.407474,-77.274819,523.602438,0.987017
1.5,5000,30,0,470,1.561304,4886.702084,877.593020,0.061304,-113.297916,-122.406980,0.977552
1.5,5000,30,0,471,1.233753,3734.392733,1585.530398,-0.266247,-1265.607267,585.530398,0.987607
1.5,5000,30,0,472,1.302993,4397.090131,1017.068002,-0.197007,-602.909869,17.068002,0.982544
1.5,5000,30,0,473,1.651411,4597.708766,630.740622,0.151411,-402.291234,-369.259378,0.980893
1.5,5000,30,0,474,1.367843,3982.261302,802.888010,-0.132157,-1017.738698,-197.111990,0.973335
1.5,5000,30,0,475,2.251365,6314.188837,147.351618,0.751365,1314.188837,-852.648382,0.977373
1.5,5000,30,0,476,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,477,1.333524,3425.624130,1068.724635,-0.166476,-1574.375870,68.724635,0.986751
1.5,5000,30,0,478,1.373326,3665.627135,1630.589746,-0.126674,-1334.372865,630.589746,0.893492
1.5,5000,30,0,479,1.904822,4866.946869,432.663464,0.404822,-133.053131,-567.336536,0.985195
1.5,5000,30,0,480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,481,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,30,0,482,NaN,NaN,NaN,NaN,NaN,NaN,NaN
