n,train_time,n_epochs,final_train_loss,final_val_loss,failure_rate,rmse_beta,mae_beta,bias_beta,rmse_eta,mae_eta,bias_eta,rmse_gamma,mae_gamma,bias_gamma,rmse_x095,mae_x095
5,20.201453924179077,90,0.507443412207067,0.52242511510849,0.0,1.298034707584772,1.0138998415574993,-0.8411267901901199,0.7891544648912747,0.6015825513355647,-0.40751576044975457,0.49637409214109773,0.3803362769327251,0.15869968027286854,0.24926095222397812,0.18173566436011848
7,15.61480975151062,68,0.48259477876126766,0.48765748739242554,0.0,1.2369962910112677,0.9615037839243682,-0.7595276128295853,0.7054902271307795,0.545898325195068,-0.325097649006235,0.47697101358473315,0.37085559182825184,0.13184232309871044,0.22077446272956122,0.16418555531470294
10,9.692265272140503,44,0.45457336585968733,0.45195066928863525,0.0,1.1037094679040735,0.8464404245604153,-0.597067893886943,0.662275587332533,0.5161546188175584,-0.3237381559890383,0.4615536591164384,0.35491543134250914,0.12658752221279468,0.1948722353262185,0.14639559579772463
15,23.663631916046143,100,0.410762925632298,0.4066724181175232,0.0,1.0378563790359239,0.7897325264887279,-0.6121344982627823,0.6249073725561508,0.48225164682829846,-0.32856379821716486,0.4273309745768677,0.32453051601727734,0.13746682283692685,0.17230092194939353,0.1256345303758634
20,21.847686529159546,92,0.3866011016070843,0.35771164298057556,0.0,0.8778202845067224,0.67014002041808,-0.43450625696219947,0.5556297509410165,0.4225747081221276,-0.24775391009269887,0.4144563294794234,0.31031615086408126,0.1429344467263731,0.16525826953917935,0.10526184823103563
50,21.955209732055664,93,0.31752416118979454,0.2658909559249878,0.0,0.7094620349983629,0.5303118111818144,-0.35801125636138464,0.4781637738662515,0.3556399333848972,-0.2609632221740359,0.3344455033061349,0.24127609747020057,0.08515196088366832,0.13392934891610483,0.08758952952676698
