n,K,train_time,jparam_center,jparam_proba,failure_rate_center,failure_rate_proba,rmse_beta_center,rmse_beta_proba,rmse_eta_center,rmse_eta_proba,rmse_gamma_center,rmse_gamma_proba
5,10,4.352660417556763,0.6754403316895631,0.6466924604982774,0.0,0.0,1.2406373374979036,0.9705636300031042,0.7563713140912712,0.668906071540794,0.6346643202772633,0.4787926476026419
7,10,4.249033212661743,0.6553170063886767,0.6102211133331029,0.0,0.0,1.157175773953614,0.9289614898393493,0.7014476007138779,0.6296008613882867,0.6012870107301974,0.4671075498195389
10,10,4.050079107284546,0.5878820649644979,0.5565335471861547,0.0,0.0,1.0363928870034993,0.881693347618189,0.6316827274640193,0.5794220285188483,0.5770397467806727,0.45012039952270405
15,10,4.09213662147522,0.5028397562679523,0.4839738954332961,0.0,0.0,0.9484811803258807,0.7789014446514608,0.6047306142639508,0.5417365133606781,0.5235591721932239,0.4179465073835089
20,10,3.427278518676758,0.46302995143653114,0.4385308598927204,0.0,0.0,0.8972228661777484,0.7373189146367465,0.5804927270664398,0.5089367834741565,0.503158149154917,0.40668390360863393
50,10,2.9422171115875244,0.36000774654628426,0.3264759290496105,0.0,0.0,0.7278080864795153,0.6121307188191073,0.46122216383482323,0.405613516429292,0.41741458429013434,0.3381197593320542
