n,jparam_bp,jparam_svm,jparam_hybrid,jparam_oracle,train_time,failure_rate_hybrid,failure_rate_oracle
5,0.5150777060777789,0.6466924604982774,0.6729476515797337,0.11165886198341532,1.081202745437622,0.0,0.0
7,0.4959714071114479,0.6102211133331029,0.6517158732546772,0.11033345662038431,1.244386911392212,0.0,0.0
10,0.4607326214460261,0.5565335471861547,0.581514140335834,0.1128269917804229,0.9537825584411621,0.0,0.0
15,0.4022121863482111,0.4839738954332961,0.4954480129081273,0.11490226271498696,0.9943032264709473,0.0,0.0
20,0.3629679745607179,0.4385308598927204,0.45627103609728986,0.11245469396734849,0.8947083950042725,0.0,0.0
50,0.2808334320069455,0.3264759290496105,0.3501964410058828,0.10958133370084808,0.8222196102142334,0.0,0.0
