n,classifier,acc_beta,acc_eta,acc_gamma,acc_mean,jparam,time
5,SVM,0.204,0.346,0.184,0.24466666666666667,0.6466924604982774,3.606673002243042
5,XGBoost,0.16,0.292,0.192,0.21466666666666664,0.6050510656767317,14.953342914581299
5,LightGBM,0.132,0.3,0.184,0.20533333333333334,0.612073071930686,10.075535774230957
5,RandomForest,0.174,0.352,0.21,0.24533333333333332,0.6067092574732206,3.9609155654907227
7,SVM,0.194,0.34,0.188,0.24066666666666667,0.6102211133331029,3.5735878944396973
7,XGBoost,0.184,0.32,0.212,0.23866666666666667,0.5897119881834203,14.374873161315918
7,LightGBM,0.192,0.314,0.204,0.23666666666666666,0.5892316551485638,7.640629053115845
7,RandomForest,0.178,0.362,0.196,0.24533333333333332,0.5801262355627202,3.8502912521362305
10,SVM,0.194,0.346,0.188,0.24266666666666667,0.5565335471861547,3.3207571506500244
10,XGBoost,0.202,0.384,0.196,0.26066666666666666,0.5376398652759173,13.620876789093018
10,LightGBM,0.19,0.364,0.176,0.24333333333333332,0.5491792131715437,7.166126012802124
10,RandomForest,0.198,0.38,0.188,0.25533333333333336,0.5336794320994706,3.931842565536499
15,SVM,0.22,0.346,0.214,0.25999999999999995,0.4839738954332961,3.2365195751190186
15,XGBoost,0.168,0.354,0.202,0.24133333333333332,0.479538801576824,14.218015909194946
15,LightGBM,0.192,0.35,0.206,0.24933333333333332,0.4875165703527574,9.657761335372925
15,RandomForest,0.194,0.35,0.25,0.26466666666666666,0.4797034354827263,6.413060426712036
20,SVM,0.224,0.378,0.216,0.27266666666666667,0.4385308598927204,5.481281280517578
20,XGBoost,0.232,0.396,0.232,0.2866666666666667,0.4147053131100839,20.55765390396118
20,LightGBM,0.246,0.382,0.228,0.2853333333333333,0.4162273971330464,5.880271911621094
20,RandomForest,0.24,0.398,0.246,0.2946666666666667,0.43588550446850816,4.210912704467773
50,SVM,0.296,0.432,0.254,0.3273333333333333,0.3264759290496105,3.5077457427978516
50,XGBoost,0.316,0.426,0.298,0.3466666666666667,0.3117494580497134,6.919861555099487
50,LightGBM,0.314,0.436,0.28,0.3433333333333333,0.32343634200186,3.7184953689575195
50,RandomForest,0.312,0.452,0.278,0.3473333333333333,0.32848654560164015,4.289527416229248
