beta,gamma_over_eta,n,adaptive_R,default_R,adaptive_J1,default_J1,delta_J1,relative_improvement
1.5,0.1,7,0.32334484475346786,0.32649434742869216,0.5686341923886286,0.5713968388333035,-0.0027626464446749432,0.004834899770036927
1.5,0.1,10,0.17884208332620435,0.20536949226935275,0.4228972491353004,0.4531771091630211,-0.030279860027720706,0.06681683477712497
1.5,0.1,15,0.12143515114166445,0.1429639480237606,0.3484754670585355,0.3781057365655282,-0.029630269506992712,0.0783650356012453
1.5,0.1,20,0.08998619669706466,0.10496947389187561,0.2999769936129514,0.32398992868895726,-0.02401293507600588,0.07411630100100808
1.5,0.25,7,0.3489802881560608,0.3905021517237597,0.5907455358748476,0.6249017136508426,-0.034156177775995,0.054658479933501036
1.5,0.25,10,0.24418854121720462,0.31273168595501083,0.4941543698250625,0.5592241821979901,-0.06506981237292758,0.11635729362985592
1.5,0.25,15,0.1574486659405216,0.1839197048189966,0.3967980165531597,0.42885860702450246,-0.03206059047134274,0.07475795039718303
1.5,0.25,20,0.11839170047170328,0.1431585150202066,0.3440809504632642,0.37836294086525785,-0.034281990401993645,0.09060609985638657
1.5,0.5,7,0.46004520518246533,0.5873231420646053,0.6782663231964752,0.766370107757737,-0.08810378456126178,0.11496244917359555
1.5,0.5,10,0.2893165438682088,0.3626350283144695,0.5378815333028351,0.6021918534109121,-0.06431032010807702,0.10679373980868878
1.5,0.5,15,0.18454512551882982,0.22652480456159144,0.4295871570692376,0.4759462202408917,-0.046359063171654113,0.09740399482149542
1.5,0.5,20,0.14378922553745305,0.15900874333451803,0.37919549778109585,0.39875900407955434,-0.01956350629845849,0.04906097692669398
1.5,0.75,7,0.7519329871012372,0.841338193756553,0.8671406962547873,0.917244893011977,-0.05010419675718969,0.054624666911648245
1.5,0.75,10,0.3391893828690608,0.3553325216970462,0.5823996762267822,0.5960977450863627,-0.01369806885958047,0.022979568321628063
1.5,0.75,15,0.2382342501564437,0.23010349714159256,0.4880924606633908,0.4796910434244031,0.008401417238987685,-0.01751422577960171
1.5,0.75,20,0.18118117736131037,0.16532371121431183,0.4256538233838742,0.4066001859496769,0.0190536374341973,-0.046860867487540814
1.5,1.0,7,0.5029326449743259,0.5186544103568266,0.709177442516558,0.7201766521880771,-0.010999209671519128,0.015272932881260082
1.5,1.0,10,0.40662243668312337,0.337596001691554,0.6376695356398354,0.5810301211568588,0.0566394144829766,-0.09748102967571604
1.5,1.0,15,0.3157857948464368,0.2516528230324747,0.5619482136695844,0.5016501002017988,0.060298113467785575,-0.12019954435079239
1.5,1.0,20,0.21246240986794993,0.1538755434707084,0.4609364488386115,0.3922697330545761,0.06866671578403544,-0.1750497425568185
2.0,0.1,7,0.3153721456358953,0.31291371254712486,0.5615800438369363,0.5593869077366084,0.002193136100327897,-0.003920606775016822
2.0,0.1,10,0.24369399367606037,0.24545847519506614,0.4936537183857328,0.4954376602510816,-0.0017839418653488037,0.0036007393229749995
2.0,0.1,15,0.14052573074036834,0.15045963836671358,0.3748676176203652,0.3878912713206029,-0.013023653700237725,0.03357552660542684
2.0,0.1,20,0.12120783548739697,0.12688898159339687,0.34814915695344856,0.35621479698827346,-0.008065640034824906,0.02264263052242166
2.0,0.25,7,0.3253055479873997,0.41386911483524796,0.570355632905821,0.6433266004412129,-0.0729709675353919,0.11342756149885014
2.0,0.25,10,0.21962218919729276,0.266044546254477,0.4686386552529494,0.5157950622625976,-0.04715640700964824,0.09142469647303508
2.0,0.25,15,0.16113333413806166,0.19969961797179706,0.4014141678342478,0.44687763198866537,-0.04546346415441754,0.10173582408253246
2.0,0.25,20,0.12352956009226711,0.15104650456772878,0.35146772268910714,0.3886470179581065,-0.03717929526899938,0.09566340033775078
2.0,0.5,7,0.349450650281223,0.5182292813761266,0.5911435107325657,0.7198814356379296,-0.12873792490536395,0.1788321222525785
2.0,0.5,10,0.24502800531144947,0.33545931415196634,0.4950030356588225,0.5791884962186027,-0.08418546055978021,0.14535071243543163
2.0,0.5,15,0.1558480245457936,0.2272654407417888,0.3947759168766423,0.47672365238342096,-0.08194773550677864,0.17189777578073562
2.0,0.5,20,0.15539755756795712,0.16588234072615088,0.39420496897928253,0.40728655848941403,-0.013081589510131497,0.032118883467821324
2.0,0.75,7,0.38457091625962864,0.43596384999391624,0.6201378203751394,0.6602755863985251,-0.0401377660233857,0.06078941407226224
2.0,0.75,10,0.2803899048524949,0.3137020500785321,0.529518559497677,0.5600911087301172,-0.030572549232440238,0.05458495726125123
2.0,0.75,15,0.2587352469685819,0.24817781889720625,0.5086602470889404,0.49817448639729256,0.01048576069164786,-0.021048369553164026
2.0,0.75,20,0.18172761143551328,0.16047972976730873,0.4262952162944281,0.40059921338828003,0.025696002906148097,-0.06414391752996851
2.0,1.0,7,0.4510261207681333,0.4481003936407705,0.6715847830081719,0.6694030128709987,0.0021817701371732445,-0.003259277438588004
2.0,1.0,10,0.3599502381479683,0.29221611364780387,0.5999585303568642,0.5405701745821756,0.059388355774688595,-0.10986243519741312
2.0,1.0,15,0.2794508552283192,0.2296012204956131,0.5286311145102217,0.47916721558931086,0.049463898920910854,-0.10322888818692855
2.0,1.0,20,0.2364256086776742,0.17690176796286855,0.48623616553859317,0.42059691863216087,0.0656392469064323,-0.15606212028347755
2.5,0.1,7,0.42820936406134846,0.4510370771772441,0.6543770809413701,0.6715929400888935,-0.017215859147523327,0.025634365878302146
2.5,0.1,10,0.3128524155403898,0.2742835256679777,0.5593321155989434,0.5237208470817041,0.03561126851723928,-0.06799666027364326
2.5,0.1,15,0.2334130106172075,0.20688641902255184,0.4831283583243769,0.45484768771815454,0.028280670606222358,-0.06217613361540586
2.5,0.1,20,0.17684134401763552,0.1499789566068417,0.42052508131814864,0.38727116676411855,0.033253914554030095,-0.08586726151571367
2.5,0.25,7,0.4029085986483185,0.43397968513744484,0.6347508161856261,0.6587713451095493,-0.024020528923923146,0.03646261954506946
2.5,0.25,10,0.2931106373734339,0.31627184245975115,0.5413969314407258,0.5623805139402958,-0.020983582499569997,0.037312072483716374
2.5,0.25,15,0.2004656306472899,0.21031701431919286,0.44773388373819767,0.45860333003500187,-0.010869446296804197,0.023701193569559575
2.5,0.25,20,0.13982800875724577,0.15608645038950889,0.37393583508035944,0.3950777776457553,-0.021141942565395866,0.053513368155960195
2.5,0.5,7,0.3139376186101149,0.3854329709114692,0.5603013640980316,0.620832482165253,-0.060531118067221446,0.09749992116409478
2.5,0.5,10,0.2600991169554951,0.329929879891739,0.5099991342693584,0.5743952296909672,-0.06439609542160885,0.11211112504582399
2.5,0.5,15,0.1774312332464374,0.2239359606507983,0.42122586963105363,0.4732187239013248,-0.05199285427027117,0.10987066158673953
2.5,0.5,20,0.15225063038545228,0.1720977532246478,0.390193068089955,0.4148466623038539,-0.0246535942138989,0.059428209153196465
2.5,0.75,7,0.3673969143251881,0.5015274815416946,0.6061327530543026,0.7081860500897307,-0.10205329703542809,0.14410520656612402
2.5,0.75,10,0.30182157341142835,0.34741638724371976,0.5493829023653979,0.5894203824467896,-0.04003748008139174,0.06792686726439456
2.5,0.75,15,0.19339259844070425,0.21072200682356873,0.43976425325474583,0.4590446675690381,-0.019280414314292282,0.04200117260134084
2.5,0.75,20,0.1790326185166646,0.17895128757853512,0.4231224627890424,0.4230263438351507,9.611895389172176e-05,-0.0002272174187081255
2.5,1.0,7,0.3823892514780737,0.3958925341572224,0.6183763024874689,0.6291999158909849,-0.010823613403516008,0.017202185076883092
2.5,1.0,10,0.33234134411669963,0.3192105210716406,0.5764905412204954,0.5649871866437686,0.011503354576726799,-0.020360381347868994
2.5,1.0,15,0.25657420605608705,0.2233840783546415,0.5065315449763095,0.4726352487433005,0.03389629623300899,-0.0717176645693196
2.5,1.0,20,0.2004461384874742,0.17037410450458845,0.4477121156362358,0.41276398159794475,0.03494813403829106,-0.08466856507923826
3.0,0.1,7,0.5196588993409171,0.46754584025335455,0.7208737055413501,0.683773237450366,0.03710046809098411,-0.05425843841055156
3.0,0.1,10,0.3771115054280769,0.33400867846316085,0.6140940525913575,0.577934839288272,0.03615921330308547,-0.06256624595882743
3.0,0.1,15,0.2886861693605029,0.23678783723033392,0.5372952348202085,0.4866085050945307,0.05068672972567778,-0.10416326306469137
3.0,0.1,20,0.2542116883965194,0.2049498154544401,0.5041940979389975,0.4527138339552262,0.05148026398377131,-0.11371480198429884
3.0,0.25,7,0.4433057120456734,0.4687650966595008,0.6658120696154984,0.6846642218339591,-0.018852152218460705,0.027534887346622017
3.0,0.25,10,0.3243585945861399,0.36201005079309373,0.5695248849577513,0.6016727106933584,-0.03214782573560704,0.053430752574037066
3.0,0.25,15,0.24083336027826852,0.24593253747848426,0.49074775626412037,0.49591585725653525,-0.005168100992414881,0.010421326353638793
3.0,0.25,20,0.18535038444042412,0.19221422774488503,0.430523384313122,0.43842243070454895,-0.007899046391426967,0.018016975953381587
3.0,0.5,7,0.3781323092229501,0.5109604036438882,0.6149246370271321,0.714814943634986,-0.09989030660785392,0.13974289079616953
3.0,0.5,10,0.276113887218726,0.33979497761691657,0.5254654005914433,0.5829193577304811,-0.05745395713903778,0.09856244500564726
3.0,0.5,15,0.22884162462610821,0.29196062911343573,0.4783739380715762,0.5403338126690165,-0.06195987459744029,0.11466962300838657
3.0,0.5,20,0.17041740086766388,0.2126280563493444,0.4128164251427793,0.4611160985579927,-0.04829967341521341,0.10474514675643876
3.0,0.75,7,0.3861286053169234,0.4896542896593911,0.621392472851839,0.6997530204717884,-0.07836054761994948,0.11198315023651795
3.0,0.75,10,0.2727076810864787,0.3569800323897206,0.5222142099622326,0.5974780601743637,-0.07526385021213111,0.12596922837663138
3.0,0.75,15,0.2098882928315633,0.26577844418900576,0.4581356707696567,0.5155370444391031,-0.057401373669446365,0.11134286912766522
3.0,0.75,20,0.16769289147412864,0.20692728159638232,0.4095032252304353,0.454892604464375,-0.04538937923393971,0.09978042902540607
3.0,1.0,7,0.44143865504575935,0.5314923350607031,0.6644085001305743,0.7290352083820802,-0.06462670825150596,0.08864689593652075
3.0,1.0,10,0.3202358068769043,0.3504464706610299,0.5658938123684552,0.5919851946299247,-0.026091382261469565,0.044074383106456616
3.0,1.0,15,0.2579388958841811,0.27228028228317164,0.5078768511009152,0.5218048316019809,-0.013927980501065695,0.026691934718783172
3.0,1.0,20,0.19901329998864506,0.2109308230932536,0.44610906736878264,0.4592720578189507,-0.013162990450168055,0.02866055146633162
3.5,0.1,7,0.5498522008850979,0.5343962474813904,0.7415201958713585,0.731024108686841,0.010496087184517555,-0.014358058865352463
3.5,0.1,10,0.46025948114230447,0.4194688988093242,0.6784242633797117,0.6476641867583264,0.030760076621385357,-0.04749386680672418
3.5,0.1,15,0.33010705023955855,0.2643271130686337,0.574549432372497,0.5141275260756165,0.06042190629688049,-0.11752318876619294
3.5,0.1,20,0.30750452573667236,0.24099243513418186,0.554530906024788,0.4909098034610654,0.06362110256372266,-0.12959835414810272
3.5,0.25,7,0.467873304107196,0.5455261411581678,0.6840126490842081,0.7385974148060416,-0.05458476572183346,0.07390327210415115
3.5,0.25,10,0.38344768544680247,0.4165839675489852,0.6192315281433936,0.6454331627279352,-0.02620163458454161,0.04059542660281035
3.5,0.25,15,0.3020784254657764,0.29785824316600146,0.5496166168028187,0.5457639078997452,0.003852708903073543,-0.0070592958737412115
3.5,0.25,20,0.22226088555694598,0.23479173204280324,0.47144552766671355,0.4845531261304618,-0.01310759846374826,0.027050900627600405
3.5,0.5,7,0.4503577615431806,0.5761533090728818,0.6710869999807629,0.7590476329407014,-0.0879606329599385,0.1158828894823919
3.5,0.5,10,0.3073487249255399,0.3923606523647323,0.5543904083996583,0.6263869829145017,-0.07199657451484343,0.11493944874117945
3.5,0.5,15,0.24472590871359629,0.3254563206755165,0.49469779533933267,0.5704877918724611,-0.07578999653312846,0.13285121542105172
3.5,0.5,20,0.18322788254637648,0.25185599698410954,0.4280512615871801,0.5018525649870782,-0.0738013033998981,0.1470577387639701
3.5,0.75,7,0.4129321291860754,0.5562488241511574,0.6425979529893286,0.7458209062175433,-0.10322295322821462,0.13840179642015327
3.5,0.75,10,0.2961292536485104,0.3898063611205507,0.5441775938501239,0.624344745409578,-0.08016715155945409,0.12840206015806765
3.5,0.75,15,0.21123334804020927,0.2954968319831416,0.4596012924701249,0.5435962030617411,-0.08399491059161618,0.15451710317056078
3.5,0.75,20,0.17433460143528598,0.2366835567453978,0.41753395243415353,0.4865013430047216,-0.06896739057056805,0.14176197365584398
3.5,1.0,7,0.4994155148203172,0.5711923940496891,0.7066933668999004,0.7557727132211701,-0.04907934632126976,0.06493929386797948
3.5,1.0,10,0.33691938915818664,0.4132696584885359,0.5804475765805097,0.6428605280218532,-0.06241295144134351,0.09708630211500846
3.5,1.0,15,0.2509417487148719,0.29651511842327966,0.5009408634907636,0.5445320178128001,-0.04359115432203653,0.08005250911989958
3.5,1.0,20,0.22394647509206309,0.2713626646463598,0.47322983326504586,0.5209248166927352,-0.0476949834276893,0.09155828614673567
4.0,0.1,7,0.6225008316381835,0.6572177390267462,0.7889872189320836,0.8106896687554037,-0.021702449823320147,0.026770354501542415
4.0,0.1,10,0.5113266382170011,0.49075297986339383,0.7150710721438821,0.7005376362932928,0.014533435850589305,-0.020746117121542618
4.0,0.1,15,0.42561649402464363,0.3840440845704129,0.6523928985087465,0.6197129049571365,0.03267999355161,-0.05273408588105877
4.0,0.1,20,0.34599258461608057,0.3023205386716914,0.5882113434949046,0.5498368291335998,0.03837451436130479,-0.06979254994936057
4.0,0.25,7,0.643127807918052,0.7558805793022008,0.8019524972952276,0.8694139286336519,-0.0674614313384243,0.07759414602943493
4.0,0.25,10,0.4552390567304981,0.5206605627792164,0.6747140555305619,0.7215681276076545,-0.04685407207709269,0.06493367747884937
4.0,0.25,15,0.3628199460240684,0.3704122666768216,0.602345371048926,0.6086150398049834,-0.006269668756057389,0.010301534378884813
4.0,0.25,20,0.29038027857293885,0.3398479111696086,0.5388694448314348,0.5829647598008035,-0.04409531496936869,0.07563976077119283
4.0,0.5,7,0.4993006712036614,0.6331131136645598,0.7066121080222596,0.7956840539212532,-0.08907194589899359,0.11194386196384531
4.0,0.5,10,0.38547762097783267,0.5076626430037571,0.6208684409581733,0.7125044863043019,-0.09163604534612857,0.12861118365925905
4.0,0.5,15,0.2915258543320806,0.39361355415173854,0.5399313422390671,0.627386287825721,-0.0874549455866539,0.1393956917511523
4.0,0.5,20,0.20945436798005593,0.29105579274682936,0.4576618489453277,0.539495869072998,-0.08183402012767027,0.1516860921813611
4.0,0.75,7,0.4805435548990202,0.6561837076608792,0.6932124889952721,0.8100516697476027,-0.11683918075233057,0.1442367013313306
4.0,0.75,10,0.3226726106805618,0.4724858081434159,0.5680427894803012,0.6873760311091854,-0.11933324162888426,0.17360692870876215
4.0,0.75,15,0.2634351175335851,0.3802383654577098,0.513259308277585,0.6166347099034483,-0.10337540162586323,0.16764447405506833
4.0,0.75,20,0.20960678606448963,0.3001140317174806,0.4578283368954893,0.5478266438550434,-0.08999830695955413,0.1642824568119544
4.0,1.0,7,0.5002312152105168,0.6328812848607049,0.7072702561330547,0.7955383616524755,-0.08826810551942077,0.11095392727017228
4.0,1.0,10,0.40564128885753953,0.5378690432011908,0.636899747886227,0.7333955571185244,-0.09649580923229739,0.13157403027013792
4.0,1.0,15,0.28623332725993467,0.3737078522046374,0.5350077824293163,0.6113164910295137,-0.07630870860019734,0.12482684455589677
4.0,1.0,20,0.1984872539028493,0.2799406110030382,0.44551908365731013,0.5290941419095833,-0.08357505825227313,0.15795876694199962
4.5,0.1,7,0.6984390639283529,0.7200530070594503,0.8357266681926292,0.8485593715583196,-0.012832703365690423,0.01512292927968506
4.5,0.1,10,0.5837105472677008,0.58083435086539,0.7640095204038369,0.7621248919077437,0.0018846284960931659,-0.002472860440728475
4.5,0.1,15,0.4616034732292289,0.4319123927754389,0.6794140661108136,0.6572004205533034,0.022213645557510153,-0.0338004128768028
4.5,0.1,20,0.3866619879424577,0.3703510942293726,0.6218215081053868,0.6085647822782491,0.013256725827137772,-0.02178359019973075
4.5,0.25,7,0.6246606561133631,0.7252085859208265,0.7903547659838354,0.8515917953578619,-0.06123702937402653,0.07190890014187268
4.5,0.25,10,0.45776578292565245,0.5629074336618484,0.6765839067888421,0.7502715732732038,-0.07368766648436176,0.09821465867737089
4.5,0.25,15,0.3904552687869087,0.4199983176792563,0.624864200276275,0.648072771900854,-0.02320857162457901,0.03581167521743933
4.5,0.25,20,0.31171039868636674,0.3544773215932154,0.5583103068064987,0.5953799808468667,-0.037069674040367984,0.06226221108012431
4.5,0.5,7,0.5853975724503448,0.7657202637649753,0.7651127841373093,0.8750544347439051,-0.10994165060659578,0.12563978449954538
4.5,0.5,10,0.4718536500872179,0.612675246124901,0.6869160429682931,0.7827357447599419,-0.09581970179164878,0.12241641247779711
4.5,0.5,15,0.34840465558056405,0.4718522352190495,0.5902581262300114,0.6869150130977263,-0.0966568868677149,0.14071156551351083
4.5,0.5,20,0.27341324496027286,0.3736789009584386,0.5228893238155402,0.6112928111457214,-0.08840348733018122,0.1446172533331287
4.5,0.75,7,0.5321977106132412,0.7382523110020743,0.7295188212878686,0.8592161026203329,-0.12969728133246428,0.15094838299343938
4.5,0.75,10,0.4074797882269387,0.570850246650828,0.6383414354614141,0.7555463232991263,-0.11720488783771221,0.15512601176580665
4.5,0.75,15,0.33075220243266323,0.4768688275815085,0.5751106001741433,0.6905568967011397,-0.11544629652699645,0.1671785439816692
4.5,0.75,20,0.2817300117200697,0.39979783782620226,0.5307824523475411,0.6322956886032058,-0.10151323625566477,0.16054709542605927
4.5,1.0,7,0.5562869237066503,0.7314647209859433,0.7458464478072214,0.8552571081177538,-0.10941066031053237,0.12792721542101282
4.5,1.0,10,0.4043554106321189,0.5810840739031816,0.6358894641619083,0.7622887077106558,-0.12639924354874754,0.16581544796636982
4.5,1.0,15,0.2957402697632971,0.4282661307753368,0.5438200711295025,0.6544204541235984,-0.11060038299409591,0.16900508273723236
4.5,1.0,20,0.22956219871489406,0.357605603468938,0.47912649552586223,0.5980013406915891,-0.11887484516572683,0.19878692082570915
5.0,0.1,7,0.7763688149886018,0.82069196199699,0.8811179347786549,0.9059205053408329,-0.02480257056217805,0.02737830793756746
5.0,0.1,10,0.6134928761739984,0.661600369387128,0.7832578605887071,0.8133882033734741,-0.030130342784767006,0.03704300438560992
5.0,0.1,15,0.5585732464349951,0.5633166516937527,0.7473775795640347,0.7505442369998937,-0.003166657435858977,0.004219148292333719
5.0,0.1,20,0.43177608452483573,0.41388846209225943,0.6570967086546969,0.6433416371511014,0.013755071503595562,-0.021380664190346677
5.0,0.25,7,0.7096751419584899,0.8307623197261862,0.8424221874799416,0.9114616391961793,-0.06903945171623771,0.07574586658098281
5.0,0.25,10,0.590661327852593,0.7397830132508637,0.7685449419862139,0.8601063964713108,-0.0915614544850969,0.10645363743455305
5.0,0.25,15,0.45917112163866347,0.5265380605894959,0.6776216655617376,0.7256294237346608,-0.04800775817292313,0.06616015917027918
5.0,0.25,20,0.3774116438304733,0.43800983153193207,0.6143383789333638,0.6618231119656762,-0.047484733032312376,0.07174837531931799
5.0,0.5,7,0.6311958479915654,0.8225706865321695,0.7944783496053026,0.9069568272702784,-0.11247847766497576,0.12401745516763885
5.0,0.5,10,0.5069880265189506,0.6560953865807422,0.7120309168280199,0.8099971522053285,-0.09796623537730864,0.12094639482445357
