method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
Default,0.1,beta,2.5,0.1,20,300,0.23457118618779074
No offset,0.0,beta,2.5,0.25,7,300,0.6487610598502599
Default,0.1,beta,2.5,0.25,7,300,0.3152483525399055
No offset,0.0,beta,2.5,0.25,10,300,0.466796855181467
Default,0.1,beta,2.5,0.25,10,300,0.3245870344924186
No offset,0.0,beta,2.5,0.25,15,300,0.36858907579539985
Default,0.1,beta,2.5,0.25,15,300,0.27085857596314067
No offset,0.0,beta,2.5,0.25,20,300,0.3405115909110524
Default,0.1,beta,2.5,0.25,20,300,0.2546069733830032
No offset,0.0,beta,2.5,0.5,7,300,0.7919782414508624
Default,0.1,beta,2.5,0.5,7,300,0.3364757682838888
No offset,0.0,beta,2.5,0.5,10,300,0.6009275212880454
Default,0.1,beta,2.5,0.5,10,300,0.3065528732602077
No offset,0.0,beta,2.5,0.5,15,300,0.518090117126744
Default,0.1,beta,2.5,0.5,15,300,0.2872320907296055
No offset,0.0,beta,2.5,0.5,20,300,0.4742014947427154
Default,0.1,beta,2.5,0.5,20,300,0.26105630139875424
No offset,0.0,beta,2.5,0.75,7,300,0.8152544781028568
Default,0.1,beta,2.5,0.75,7,300,0.44672805960904666
No offset,0.0,beta,2.5,0.75,10,300,0.7804665238436341
Default,0.1,beta,2.5,0.75,10,300,0.3346449183616499
No offset,0.0,beta,2.5,0.75,15,300,0.6157969616323498
Default,0.1,beta,2.5,0.75,15,300,0.26620253797399585
No offset,0.0,beta,2.5,0.75,20,300,0.5985406091241613
Default,0.1,beta,2.5,0.75,20,300,0.27492471448798456
No offset,0.0,beta,2.5,1.0,7,300,1.0078734202887762
Default,0.1,beta,2.5,1.0,7,300,0.3143233716868166
No offset,0.0,beta,2.5,1.0,10,300,0.8817229539640469
Default,0.1,beta,2.5,1.0,10,300,0.30406561766661344
No offset,0.0,beta,2.5,1.0,15,300,0.8501360597271509
Default,0.1,beta,2.5,1.0,15,300,0.2934394248453772
No offset,0.0,beta,2.5,1.0,20,300,0.6429249920745537
Default,0.1,beta,2.5,1.0,20,300,0.25339622428186176
No offset,0.0,beta,3.0,0.1,7,300,0.4952586246111196
Default,0.1,beta,3.0,0.1,7,300,0.2657815965816619
No offset,0.0,beta,3.0,0.1,10,300,0.38608064479093374
Default,0.1,beta,3.0,0.1,10,300,0.2709305985816354
No offset,0.0,beta,3.0,0.1,15,300,0.31668873102222206
Default,0.1,beta,3.0,0.1,15,300,0.23470709839242238
No offset,0.0,beta,3.0,0.1,20,300,0.2889199533620644
Default,0.1,beta,3.0,0.1,20,300,0.23677412526100658
No offset,0.0,beta,3.0,0.25,7,300,0.6024648694948912
Default,0.1,beta,3.0,0.25,7,300,0.30115465672526204
No offset,0.0,beta,3.0,0.25,10,300,0.4240908631140435
Default,0.1,beta,3.0,0.25,10,300,0.28037370366619113
No offset,0.0,beta,3.0,0.25,15,300,0.38664152945771346
Default,0.1,beta,3.0,0.25,15,300,0.2549234502413677
No offset,0.0,beta,3.0,0.25,20,300,0.346624258979925
Default,0.1,beta,3.0,0.25,20,300,0.23792776948969324
No offset,0.0,beta,3.0,0.5,7,300,0.7138251640244055
Default,0.1,beta,3.0,0.5,7,300,0.3585437283730695
No offset,0.0,beta,3.0,0.5,10,300,0.6052308561011813
Default,0.1,beta,3.0,0.5,10,300,0.28097456008783495
No offset,0.0,beta,3.0,0.5,15,300,0.5159943324299666
Default,0.1,beta,3.0,0.5,15,300,0.2662983926265997
No offset,0.0,beta,3.0,0.5,20,300,0.46582166296390926
Default,0.1,beta,3.0,0.5,20,300,0.24166007745432946
No offset,0.0,beta,3.0,0.75,7,300,0.8311279927763644
Default,0.1,beta,3.0,0.75,7,300,0.2895954920806262
No offset,0.0,beta,3.0,0.75,10,300,0.6986976510011468
Default,0.1,beta,3.0,0.75,10,300,0.28629593091246747
No offset,0.0,beta,3.0,0.75,15,300,0.6320043247189737
Default,0.1,beta,3.0,0.75,15,300,0.2573220717920361
No offset,0.0,beta,3.0,0.75,20,300,0.5849335423315245
Default,0.1,beta,3.0,0.75,20,300,0.24476361230687038
No offset,0.0,beta,3.0,1.0,7,300,0.9822806393692438
Default,0.1,beta,3.0,1.0,7,300,0.3613381620238468
No offset,0.0,beta,3.0,1.0,10,300,0.8002702214400776
Default,0.1,beta,3.0,1.0,10,300,0.2631434294823484
No offset,0.0,beta,3.0,1.0,15,300,0.7486714122751146
Default,0.1,beta,3.0,1.0,15,300,0.25931265396676945
No offset,0.0,beta,3.0,1.0,20,300,0.7284518518303633
Default,0.1,beta,3.0,1.0,20,300,0.24877741303636622
No offset,0.0,beta,3.5,0.1,7,300,0.4783738537771887
Default,0.1,beta,3.5,0.1,7,300,0.29146307830934404
No offset,0.0,beta,3.5,0.1,10,300,0.4018431352547793
Default,0.1,beta,3.5,0.1,10,300,0.23781846717385885
No offset,0.0,beta,3.5,0.1,15,300,0.3003994739064707
Default,0.1,beta,3.5,0.1,15,300,0.2115494333621134
No offset,0.0,beta,3.5,0.1,20,300,0.28269540136281257
Default,0.1,beta,3.5,0.1,20,300,0.19530697061066377
No offset,0.0,beta,3.5,0.25,7,300,0.6174977401873892
Default,0.1,beta,3.5,0.25,7,300,0.3227236883211583
No offset,0.0,beta,3.5,0.25,10,300,0.46054781227287167
Default,0.1,beta,3.5,0.25,10,300,0.24465586146795681
No offset,0.0,beta,3.5,0.25,15,300,0.4015878448026822
Default,0.1,beta,3.5,0.25,15,300,0.2257995084464366
No offset,0.0,beta,3.5,0.25,20,300,0.34721510212928197
Default,0.1,beta,3.5,0.25,20,300,0.21942175166984326
No offset,0.0,beta,3.5,0.5,7,300,0.7213171838723389
Default,0.1,beta,3.5,0.5,7,300,0.3254773964316074
No offset,0.0,beta,3.5,0.5,10,300,0.6492035342102974
Default,0.1,beta,3.5,0.5,10,300,0.25354465855240715
No offset,0.0,beta,3.5,0.5,15,300,0.5425646947145895
Default,0.1,beta,3.5,0.5,15,300,0.23579319280707076
No offset,0.0,beta,3.5,0.5,20,300,0.47863367710904464
Default,0.1,beta,3.5,0.5,20,300,0.2241939855451703
No offset,0.0,beta,3.5,0.75,7,300,0.8408384372039096
Default,0.1,beta,3.5,0.75,7,300,0.23526974278233712
No offset,0.0,beta,3.5,0.75,10,300,0.7224252093248112
Default,0.1,beta,3.5,0.75,10,300,0.2333834386748209
No offset,0.0,beta,3.5,0.75,15,300,0.6532893305590719
Default,0.1,beta,3.5,0.75,15,300,0.23108711131098364
No offset,0.0,beta,3.5,0.75,20,300,0.5984434840271019
Default,0.1,beta,3.5,0.75,20,300,0.22811441847442898
No offset,0.0,beta,3.5,1.0,7,300,0.9920005572370462
Default,0.1,beta,3.5,1.0,7,300,0.26147489354435766
No offset,0.0,beta,3.5,1.0,10,300,0.895764267688011
Default,0.1,beta,3.5,1.0,10,300,0.2518953508801846
No offset,0.0,beta,3.5,1.0,15,300,0.7501120561119107
Default,0.1,beta,3.5,1.0,15,300,0.24037115348359514
No offset,0.0,beta,3.5,1.0,20,300,0.7510415896938407
Default,0.1,beta,3.5,1.0,20,300,0.23261819669957529
No offset,0.0,beta,4.0,0.1,7,300,0.5045011797555796
Default,0.1,beta,4.0,0.1,7,300,0.27672734291916673
No offset,0.0,beta,4.0,0.1,10,300,0.43600503997213264
Default,0.1,beta,4.0,0.1,10,300,0.20520704584558544
No offset,0.0,beta,4.0,0.1,15,300,0.3466119950891671
Default,0.1,beta,4.0,0.1,15,300,0.21894494880860477
No offset,0.0,beta,4.0,0.1,20,300,0.3002621580360658
Default,0.1,beta,4.0,0.1,20,300,0.20280213572101832
No offset,0.0,beta,4.0,0.25,7,300,0.6022709562636429
