method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
Default,0.1,eta,2.5,1.0,10,300,0.30869995988102583
No offset,0.0,eta,2.5,1.0,15,300,0.56053085861605
Default,0.1,eta,2.5,1.0,15,300,0.26096763098874637
No offset,0.0,eta,2.5,1.0,20,300,0.472517928562884
Default,0.1,eta,2.5,1.0,20,300,0.22817924852453284
No offset,0.0,eta,3.0,0.1,7,300,0.31640533375157553
Default,0.1,eta,3.0,0.1,7,300,0.27439568299374995
No offset,0.0,eta,3.0,0.1,10,300,0.27963484148232376
Default,0.1,eta,3.0,0.1,10,300,0.2648406514656906
No offset,0.0,eta,3.0,0.1,15,300,0.24095342825134528
Default,0.1,eta,3.0,0.1,15,300,0.22900719578824266
No offset,0.0,eta,3.0,0.1,20,300,0.228112856591985
Default,0.1,eta,3.0,0.1,20,300,0.21415197892459512
No offset,0.0,eta,3.0,0.25,7,300,0.3991729850315025
Default,0.1,eta,3.0,0.25,7,300,0.3249056980881736
No offset,0.0,eta,3.0,0.25,10,300,0.3446821894569032
Default,0.1,eta,3.0,0.25,10,300,0.30718981869225886
No offset,0.0,eta,3.0,0.25,15,300,0.2990209700852981
Default,0.1,eta,3.0,0.25,15,300,0.2443187797870213
No offset,0.0,eta,3.0,0.25,20,300,0.26741925267622185
Default,0.1,eta,3.0,0.25,20,300,0.22893263027262792
No offset,0.0,eta,3.0,0.5,7,300,0.46633816880699897
Default,0.1,eta,3.0,0.5,7,300,0.31379723978281
No offset,0.0,eta,3.0,0.5,10,300,0.4416226046340193
Default,0.1,eta,3.0,0.5,10,300,0.283185971026123
No offset,0.0,eta,3.0,0.5,15,300,0.4148727889172053
Default,0.1,eta,3.0,0.5,15,300,0.2787591810432971
No offset,0.0,eta,3.0,0.5,20,300,0.37244945900701826
Default,0.1,eta,3.0,0.5,20,300,0.24803470735536137
No offset,0.0,eta,3.0,0.75,7,300,0.6073349654582114
Default,0.1,eta,3.0,0.75,7,300,0.3397014956227352
No offset,0.0,eta,3.0,0.75,10,300,0.546113167532442
Default,0.1,eta,3.0,0.75,10,300,0.30785485722618494
No offset,0.0,eta,3.0,0.75,15,300,0.4955981191080991
Default,0.1,eta,3.0,0.75,15,300,0.2588572352494218
No offset,0.0,eta,3.0,0.75,20,300,0.4537823633710887
Default,0.1,eta,3.0,0.75,20,300,0.23803579875240774
No offset,0.0,eta,3.0,1.0,7,300,0.7189159617560886
Default,0.1,eta,3.0,1.0,7,300,0.3539568163665035
No offset,0.0,eta,3.0,1.0,10,300,0.6429181518252179
Default,0.1,eta,3.0,1.0,10,300,0.30808977373782914
No offset,0.0,eta,3.0,1.0,15,300,0.5852077311971261
Default,0.1,eta,3.0,1.0,15,300,0.2655537405570266
No offset,0.0,eta,3.0,1.0,20,300,0.5644780115903526
Default,0.1,eta,3.0,1.0,20,300,0.2382643756979515
No offset,0.0,eta,3.5,0.1,7,300,0.3197142758608371
Default,0.1,eta,3.5,0.1,7,300,0.28346099894051446
No offset,0.0,eta,3.5,0.1,10,300,0.29882131195048073
Default,0.1,eta,3.5,0.1,10,300,0.26238466836839136
No offset,0.0,eta,3.5,0.1,15,300,0.2374221019560165
Default,0.1,eta,3.5,0.1,15,300,0.21623832771670082
No offset,0.0,eta,3.5,0.1,20,300,0.2297350869729062
Default,0.1,eta,3.5,0.1,20,300,0.2014586601460672
No offset,0.0,eta,3.5,0.25,7,300,0.3811331079068681
Default,0.1,eta,3.5,0.25,7,300,0.2982820416783031
No offset,0.0,eta,3.5,0.25,10,300,0.3593912002133812
Default,0.1,eta,3.5,0.25,10,300,0.2754582125084761
No offset,0.0,eta,3.5,0.25,15,300,0.31179637862124837
Default,0.1,eta,3.5,0.25,15,300,0.23905099462697224
No offset,0.0,eta,3.5,0.25,20,300,0.2959913060635107
Default,0.1,eta,3.5,0.25,20,300,0.23069119610045397
No offset,0.0,eta,3.5,0.5,7,300,0.4959120011041408
Default,0.1,eta,3.5,0.5,7,300,0.29216289546440893
No offset,0.0,eta,3.5,0.5,10,300,0.4401597903861608
Default,0.1,eta,3.5,0.5,10,300,0.26829607769486236
No offset,0.0,eta,3.5,0.5,15,300,0.4255604762571153
Default,0.1,eta,3.5,0.5,15,300,0.25806877878718637
No offset,0.0,eta,3.5,0.5,20,300,0.3863645111204891
Default,0.1,eta,3.5,0.5,20,300,0.22032466143202006
No offset,0.0,eta,3.5,0.75,7,300,0.6047410332748989
Default,0.1,eta,3.5,0.75,7,300,0.3165740672967163
No offset,0.0,eta,3.5,0.75,10,300,0.5555458028983467
Default,0.1,eta,3.5,0.75,10,300,0.263213458660231
No offset,0.0,eta,3.5,0.75,15,300,0.5214279242063877
Default,0.1,eta,3.5,0.75,15,300,0.24828063480939172
No offset,0.0,eta,3.5,0.75,20,300,0.477325575684848
Default,0.1,eta,3.5,0.75,20,300,0.22652466277780756
No offset,0.0,eta,3.5,1.0,7,300,0.7277765530319207
Default,0.1,eta,3.5,1.0,7,300,0.3257134862865623
No offset,0.0,eta,3.5,1.0,10,300,0.6651863717173585
Default,0.1,eta,3.5,1.0,10,300,0.28789725628017687
No offset,0.0,eta,3.5,1.0,15,300,0.6051743326567278
Default,0.1,eta,3.5,1.0,15,300,0.26358968255566584
No offset,0.0,eta,3.5,1.0,20,300,0.5872001687776642
Default,0.1,eta,3.5,1.0,20,300,0.23771407197204597
No offset,0.0,eta,4.0,0.1,7,300,0.337354330542304
Default,0.1,eta,4.0,0.1,7,300,0.27961853639287154
No offset,0.0,eta,4.0,0.1,10,300,0.3011319916877904
Default,0.1,eta,4.0,0.1,10,300,0.2583448315761014
No offset,0.0,eta,4.0,0.1,15,300,0.26579049429400725
Default,0.1,eta,4.0,0.1,15,300,0.2206576017101411
No offset,0.0,eta,4.0,0.1,20,300,0.24794798503677992
Default,0.1,eta,4.0,0.1,20,300,0.216762969956505
No offset,0.0,eta,4.0,0.25,7,300,0.4337306063456293
Default,0.1,eta,4.0,0.25,7,300,0.2837633831981465
No offset,0.0,eta,4.0,0.25,10,300,0.36749300885456104
Default,0.1,eta,4.0,0.25,10,300,0.2692270816936314
No offset,0.0,eta,4.0,0.25,15,300,0.33270173455235497
Default,0.1,eta,4.0,0.25,15,300,0.23822996173235414
No offset,0.0,eta,4.0,0.25,20,300,0.3044868128451449
Default,0.1,eta,4.0,0.25,20,300,0.21992420239140847
No offset,0.0,eta,4.0,0.5,7,300,0.5073261081023505
Default,0.1,eta,4.0,0.5,7,300,0.2996260565119614
No offset,0.0,eta,4.0,0.5,10,300,0.4662012378637511
Default,0.1,eta,4.0,0.5,10,300,0.2491415877476653
No offset,0.0,eta,4.0,0.5,15,300,0.4213481816492987
Default,0.1,eta,4.0,0.5,15,300,0.2354567335817182
No offset,0.0,eta,4.0,0.5,20,300,0.39601957990452435
Default,0.1,eta,4.0,0.5,20,300,0.20956545738985544
No offset,0.0,eta,4.0,0.75,7,300,0.6072011099455984
Default,0.1,eta,4.0,0.75,7,300,0.27672818764629253
No offset,0.0,eta,4.0,0.75,10,300,0.5695431060050089
Default,0.1,eta,4.0,0.75,10,300,0.2574150406378844
No offset,0.0,eta,4.0,0.75,15,300,0.537807454755762
Default,0.1,eta,4.0,0.75,15,300,0.24832568379824063
No offset,0.0,eta,4.0,0.75,20,300,0.4997621862206967
Default,0.1,eta,4.0,0.75,20,300,0.22209984674841363
No offset,0.0,eta,4.0,1.0,7,300,0.7085885305420686
Default,0.1,eta,4.0,1.0,7,300,0.28274919202423376
No offset,0.0,eta,4.0,1.0,10,300,0.7069027134932622
Default,0.1,eta,4.0,1.0,10,300,0.2841183761456383
No offset,0.0,eta,4.0,1.0,15,300,0.6529090109702824
Default,0.1,eta,4.0,1.0,15,300,0.24516932275041853
No offset,0.0,eta,4.0,1.0,20,300,0.590447646939427
Default,0.1,eta,4.0,1.0,20,300,0.21723947268174676
No offset,0.0,eta,4.5,0.1,7,300,0.3374551075740228
Default,0.1,eta,4.5,0.1,7,300,0.24845891386982297
No offset,0.0,eta,4.5,0.1,10,300,0.30770441724384323
Default,0.1,eta,4.5,0.1,10,300,0.2592960262997856
No offset,0.0,eta,4.5,0.1,15,300,0.2678348305704065
Default,0.1,eta,4.5,0.1,15,300,0.21657266686701754
No offset,0.0,eta,4.5,0.1,20,300,0.24757036126383566
Default,0.1,eta,4.5,0.1,20,300,0.20969083549497297
No offset,0.0,eta,4.5,0.25,7,300,0.4036181575225807
Default,0.1,eta,4.5,0.25,7,300,0.28408431608141205
No offset,0.0,eta,4.5,0.25,10,300,0.3600566362913988
Default,0.1,eta,4.5,0.25,10,300,0.2502403217129205
No offset,0.0,eta,4.5,0.25,15,300,0.3288636911768064
Default,0.1,eta,4.5,0.25,15,300,0.21875000156846874
No offset,0.0,eta,4.5,0.25,20,300,0.305648098461741
Default,0.1,eta,4.5,0.25,20,300,0.2117499465792195
No offset,0.0,eta,4.5,0.5,7,300,0.5191071654221703
Default,0.1,eta,4.5,0.5,7,300,0.2697758356471362
No offset,0.0,eta,4.5,0.5,10,300,0.49483124680962515
Default,0.1,eta,4.5,0.5,10,300,0.2589607574826102
No offset,0.0,eta,4.5,0.5,15,300,0.4459886103177947
Default,0.1,eta,4.5,0.5,15,300,0.22905378061820134
No offset,0.0,eta,4.5,0.5,20,300,0.42426897564679183
Default,0.1,eta,4.5,0.5,20,300,0.21629279304891227
No offset,0.0,eta,4.5,0.75,7,300,0.6258223809516053
Default,0.1,eta,4.5,0.75,7,300,0.27156049182885655
No offset,0.0,eta,4.5,0.75,10,300,0.5896871208531055
Default,0.1,eta,4.5,0.75,10,300,0.2396825559624318
No offset,0.0,eta,4.5,0.75,15,300,0.5713616859660872
Default,0.1,eta,4.5,0.75,15,300,0.25370942956325154
No offset,0.0,eta,4.5,0.75,20,300,0.5324880308437969
Default,0.1,eta,4.5,0.75,20,300,0.21570539683996237
No offset,0.0,eta,4.5,1.0,7,300,0.7348177031701838
Default,0.1,eta,4.5,1.0,7,300,0.279883361185497
No offset,0.0,eta,4.5,1.0,10,300,0.7087285093135426
Default,0.1,eta,4.5,1.0,10,300,0.2532566112833665
No offset,0.0,eta,4.5,1.0,15,300,0.6544024850500283
Default,0.1,eta,4.5,1.0,15,300,0.22360311526093093
No offset,0.0,eta,4.5,1.0,20,300,0.6260662301402293
Default,0.1,eta,4.5,1.0,20,300,0.21457057064052493
No offset,0.0,eta,5.0,0.1,7,300,0.349853293499079
Default,0.1,eta,5.0,0.1,7,300,0.26040729527709694
No offset,0.0,eta,5.0,0.1,10,300,0.29964736129473396
Default,0.1,eta,5.0,0.1,10,300,0.2237697083587923
No offset,0.0,eta,5.0,0.1,15,300,0.2931483567908063
Default,0.1,eta,5.0,0.1,15,300,0.2278332260452634
No offset,0.0,eta,5.0,0.1,20,300,0.2616467672641071
Default,0.1,eta,5.0,0.1,20,300,0.21865446478854716
No offset,0.0,eta,5.0,0.25,7,300,0.4240251778881629
Default,0.1,eta,5.0,0.25,7,300,0.26748856546848465
No offset,0.0,eta,5.0,0.25,10,300,0.4018378658042939
Default,0.1,eta,5.0,0.25,10,300,0.24245338342517903
No offset,0.0,eta,5.0,0.25,15,300,0.3532344977465583
Default,0.1,eta,5.0,0.25,15,300,0.21383216741415706
No offset,0.0,eta,5.0,0.25,20,300,0.3213890407152598
Default,0.1,eta,5.0,0.25,20,300,0.20586555669266512
No offset,0.0,eta,5.0,0.5,7,300,0.5386458523202748
Default,0.1,eta,5.0,0.5,7,300,0.27774488336203956
No offset,0.0,eta,5.0,0.5,10,300,0.4977260444876155
Default,0.1,eta,5.0,0.5,10,300,0.24677891025694396
No offset,0.0,eta,5.0,0.5,15,300,0.46168870959195263
Default,0.1,eta,5.0,0.5,15,300,0.2241410432749929
No offset,0.0,eta,5.0,0.5,20,300,0.43992993356510335
Default,0.1,eta,5.0,0.5,20,300,0.2117927647371064
No offset,0.0,eta,5.0,0.75,7,300,0.6370729662454307
Default,0.1,eta,5.0,0.75,7,300,0.25273999107399964
No offset,0.0,eta,5.0,0.75,10,300,0.6186800363740791
Default,0.1,eta,5.0,0.75,10,300,0.2695701116158583
No offset,0.0,eta,5.0,0.75,15,300,0.5599171051206382
Default,0.1,eta,5.0,0.75,15,300,0.20497965740072638
No offset,0.0,eta,5.0,0.75,20,300,0.5458171254161851
Default,0.1,eta,5.0,0.75,20,300,0.21050987668725538
No offset,0.0,eta,5.0,1.0,7,300,0.7300798507662027
Default,0.1,eta,5.0,1.0,7,300,0.2649412043780634
No offset,0.0,eta,5.0,1.0,10,300,0.7227115671241773
Default,0.1,eta,5.0,1.0,10,300,0.23126512413949546
No offset,0.0,eta,5.0,1.0,15,300,0.659318887677057
Default,0.1,eta,5.0,1.0,15,300,0.22610990959530233
No offset,0.0,eta,5.0,1.0,20,300,0.6348150364636133
Default,0.1,eta,5.0,1.0,20,300,0.19730937487589356
No offset,0.0,gamma,1.5,0.1,7,300,0.20866435196587352
Default,0.1,gamma,1.5,0.1,7,300,0.2080579698344592
No offset,0.0,gamma,1.5,0.1,10,300,0.16026243864001213
Default,0.1,gamma,1.5,0.1,10,300,0.16119468978985083
No offset,0.0,gamma,1.5,0.1,15,300,0.12759238804440082
Default,0.1,gamma,1.5,0.1,15,300,0.1280852327232992
No offset,0.0,gamma,1.5,0.1,20,300,0.10125178459388609
Default,0.1,gamma,1.5,0.1,20,300,0.1001478846004793
No offset,0.0,gamma,1.5,0.25,7,300,0.2504243663032313
Default,0.1,gamma,1.5,0.25,7,300,0.23610294234410728
No offset,0.0,gamma,1.5,0.25,10,300,0.20708754030500762
Default,0.1,gamma,1.5,0.25,10,300,0.19799253310459652
No offset,0.0,gamma,1.5,0.25,15,300,0.16920925019084002
Default,0.1,gamma,1.5,0.25,15,300,0.15323431722415023
No offset,0.0,gamma,1.5,0.25,20,300,0.1438494512969083
Default,0.1,gamma,1.5,0.25,20,300,0.12965049337590415
No offset,0.0,gamma,1.5,0.5,7,300,0.34776938302210325
Default,0.1,gamma,1.5,0.5,7,300,0.2721979225773604
No offset,0.0,gamma,1.5,0.5,10,300,0.2971353132362969
Default,0.1,gamma,1.5,0.5,10,300,0.22382239383340097
No offset,0.0,gamma,1.5,0.5,15,300,0.23434241079114743
Default,0.1,gamma,1.5,0.5,15,300,0.17752560552356733
No offset,0.0,gamma,1.5,0.5,20,300,0.1851749459236274
Default,0.1,gamma,1.5,0.5,20,300,0.13651699718268645
No offset,0.0,gamma,1.5,0.75,7,300,0.45481518898267764
Default,0.1,gamma,1.5,0.75,7,300,0.31081783333554447
No offset,0.0,gamma,1.5,0.75,10,300,0.378300856809036
Default,0.1,gamma,1.5,0.75,10,300,0.22879690938646063
No offset,0.0,gamma,1.5,0.75,15,300,0.2757005601016417
Default,0.1,gamma,1.5,0.75,15,300,0.15577880799117336
No offset,0.0,gamma,1.5,0.75,20,300,0.2111980198723322
Default,0.1,gamma,1.5,0.75,20,300,0.13884902891982243
No offset,0.0,gamma,1.5,1.0,7,300,0.5295479662533196
Default,0.1,gamma,1.5,1.0,7,300,0.28844014963915765
No offset,0.0,gamma,1.5,1.0,10,300,0.44468061143195425
Default,0.1,gamma,1.5,1.0,10,300,0.22241917497143676
No offset,0.0,gamma,1.5,1.0,15,300,0.34469240056262895
Default,0.1,gamma,1.5,1.0,15,300,0.17373029896735662
No offset,0.0,gamma,1.5,1.0,20,300,0.2347970856763401
Default,0.1,gamma,1.5,1.0,20,300,0.1311237126731535
No offset,0.0,gamma,2.0,0.1,7,300,0.23263682174275083
Default,0.1,gamma,2.0,0.1,7,300,0.23546355713976458
No offset,0.0,gamma,2.0,0.1,10,300,0.20142947640168632
Default,0.1,gamma,2.0,0.1,10,300,0.20532250968999916
No offset,0.0,gamma,2.0,0.1,15,300,0.15739285255998817
Default,0.1,gamma,2.0,0.1,15,300,0.15859550676949227
No offset,0.0,gamma,2.0,0.1,20,300,0.14539604932675648
Default,0.1,gamma,2.0,0.1,20,300,0.14438266214763976
No offset,0.0,gamma,2.0,0.25,7,300,0.2932541904479959
Default,0.1,gamma,2.0,0.25,7,300,0.2750306281327502
No offset,0.0,gamma,2.0,0.25,10,300,0.23585166966512514
Default,0.1,gamma,2.0,0.25,10,300,0.21301117831396468
No offset,0.0,gamma,2.0,0.25,15,300,0.22040261656629664
Default,0.1,gamma,2.0,0.25,15,300,0.20186483772764732
No offset,0.0,gamma,2.0,0.25,20,300,0.18521189428585036
Default,0.1,gamma,2.0,0.25,20,300,0.16237736256548857
No offset,0.0,gamma,2.0,0.5,7,300,0.38520081633499914
Default,0.1,gamma,2.0,0.5,7,300,0.2955693406826144
No offset,0.0,gamma,2.0,0.5,10,300,0.3404531537933967
Default,0.1,gamma,2.0,0.5,10,300,0.26389091167605433
No offset,0.0,gamma,2.0,0.5,15,300,0.290754877126479
Default,0.1,gamma,2.0,0.5,15,300,0.21534045973461735
No offset,0.0,gamma,2.0,0.5,20,300,0.27032217525885865
Default,0.1,gamma,2.0,0.5,20,300,0.1842574617033327
No offset,0.0,gamma,2.0,0.75,7,300,0.4943727365081129
Default,0.1,gamma,2.0,0.75,7,300,0.3172222620832293
No offset,0.0,gamma,2.0,0.75,10,300,0.4280073109448257
Default,0.1,gamma,2.0,0.75,10,300,0.2545722054384241
No offset,0.0,gamma,2.0,0.75,15,300,0.38928919825530395
Default,0.1,gamma,2.0,0.75,15,300,0.22310940688316985
No offset,0.0,gamma,2.0,0.75,20,300,0.32153379142193494
Default,0.1,gamma,2.0,0.75,20,300,0.18228316823748686
No offset,0.0,gamma,2.0,1.0,7,300,0.5996005311563837
Default,0.1,gamma,2.0,1.0,7,300,0.303611795459792
No offset,0.0,gamma,2.0,1.0,10,300,0.520220742855083
Default,0.1,gamma,2.0,1.0,10,300,0.2605779296698252
No offset,0.0,gamma,2.0,1.0,15,300,0.45229862052981695
Default,0.1,gamma,2.0,1.0,15,300,0.21217622360668828
No offset,0.0,gamma,2.0,1.0,20,300,0.3476131231840853
Default,0.1,gamma,2.0,1.0,20,300,0.17625829903495763
No offset,0.0,gamma,2.5,0.1,7,300,0.2529983672872449
Default,0.1,gamma,2.5,0.1,7,300,0.24464605071776196
No offset,0.0,gamma,2.5,0.1,10,300,0.2180798056051985
Default,0.1,gamma,2.5,0.1,10,300,0.2080758335544749
No offset,0.0,gamma,2.5,0.1,15,300,0.19883037892207972
Default,0.1,gamma,2.5,0.1,15,300,0.19342647482529543
No offset,0.0,gamma,2.5,0.1,20,300,0.1623258063479905
Default,0.1,gamma,2.5,0.1,20,300,0.16241368287257932
No offset,0.0,gamma,2.5,0.25,7,300,0.31094060630288856
Default,0.1,gamma,2.5,0.25,7,300,0.2669543124641508
No offset,0.0,gamma,2.5,0.25,10,300,0.2826783946937548
Default,0.1,gamma,2.5,0.25,10,300,0.2500000835565279
No offset,0.0,gamma,2.5,0.25,15,300,0.2369009796923344
Default,0.1,gamma,2.5,0.25,15,300,0.20509866851522987
No offset,0.0,gamma,2.5,0.25,20,300,0.21265414796515467
Default,0.1,gamma,2.5,0.25,20,300,0.18206423966938684
No offset,0.0,gamma,2.5,0.5,7,300,0.3947135432100958
Default,0.1,gamma,2.5,0.5,7,300,0.3061404365395383
No offset,0.0,gamma,2.5,0.5,10,300,0.37812728052242756
Default,0.1,gamma,2.5,0.5,10,300,0.27518128494773686
No offset,0.0,gamma,2.5,0.5,15,300,0.33331987095134796
Default,0.1,gamma,2.5,0.5,15,300,0.2189850146723212
No offset,0.0,gamma,2.5,0.5,20,300,0.2933361586367665
Default,0.1,gamma,2.5,0.5,20,300,0.1854751450901893
No offset,0.0,gamma,2.5,0.75,7,300,0.5183677643053022
Default,0.1,gamma,2.5,0.75,7,300,0.2940763766653493
No offset,0.0,gamma,2.5,0.75,10,300,0.48337639699818574
Default,0.1,gamma,2.5,0.75,10,300,0.2776017787274677
No offset,0.0,gamma,2.5,0.75,15,300,0.413522940050419
Default,0.1,gamma,2.5,0.75,15,300,0.2228786428918706
No offset,0.0,gamma,2.5,0.75,20,300,0.3896972581793163
Default,0.1,gamma,2.5,0.75,20,300,0.20501545881453317
No offset,0.0,gamma,2.5,1.0,7,300,0.6144204249728618
Default,0.1,gamma,2.5,1.0,7,300,0.29840160642244934
No offset,0.0,gamma,2.5,1.0,10,300,0.5600369604612415
Default,0.1,gamma,2.5,1.0,10,300,0.2603736389280678
No offset,0.0,gamma,2.5,1.0,15,300,0.5119612290903296
Default,0.1,gamma,2.5,1.0,15,300,0.21856763364038437
No offset,0.0,gamma,2.5,1.0,20,300,0.4457000989446941
Default,0.1,gamma,2.5,1.0,20,300,0.20156162874182046
No offset,0.0,gamma,3.0,0.1,7,300,0.28568885933866406
Default,0.1,gamma,3.0,0.1,7,300,0.26450560421122316
No offset,0.0,gamma,3.0,0.1,10,300,0.23838743728168413
Default,0.1,gamma,3.0,0.1,10,300,0.23314893311331575
No offset,0.0,gamma,3.0,0.1,15,300,0.20486911676839514
Default,0.1,gamma,3.0,0.1,15,300,0.19633502211465537
No offset,0.0,gamma,3.0,0.1,20,300,0.202228940423857
Default,0.1,gamma,3.0,0.1,20,300,0.1928792100511051
No offset,0.0,gamma,3.0,0.25,7,300,0.35455176382602105
Default,0.1,gamma,3.0,0.25,7,300,0.29943581287571003
No offset,0.0,gamma,3.0,0.25,10,300,0.31164965231849695
Default,0.1,gamma,3.0,0.25,10,300,0.2730964035717632
No offset,0.0,gamma,3.0,0.25,15,300,0.2644348358706952
Default,0.1,gamma,3.0,0.25,15,300,0.2193500843045497
No offset,0.0,gamma,3.0,0.25,20,300,0.2360394449082147
Default,0.1,gamma,3.0,0.25,20,300,0.2007718154178979
No offset,0.0,gamma,3.0,0.5,7,300,0.43352188449950807
Default,0.1,gamma,3.0,0.5,7,300,0.2894642942159896
No offset,0.0,gamma,3.0,0.5,10,300,0.40186564355031434
Default,0.1,gamma,3.0,0.5,10,300,0.2589212213135214
No offset,0.0,gamma,3.0,0.5,15,300,0.3724101872929128
Default,0.1,gamma,3.0,0.5,15,300,0.24607641418334308
No offset,0.0,gamma,3.0,0.5,20,300,0.33552671384296956
Default,0.1,gamma,3.0,0.5,20,300,0.21956748400216644
No offset,0.0,gamma,3.0,0.75,7,300,0.5599398314812523
Default,0.1,gamma,3.0,0.75,7,300,0.2998061488452083
No offset,0.0,gamma,3.0,0.75,10,300,0.4993145326231769
Default,0.1,gamma,3.0,0.75,10,300,0.27244552805744365
No offset,0.0,gamma,3.0,0.75,15,300,0.4575826370956469
Default,0.1,gamma,3.0,0.75,15,300,0.23073411445281003
No offset,0.0,gamma,3.0,0.75,20,300,0.41998229671588216
Default,0.1,gamma,3.0,0.75,20,300,0.21105862294905564
No offset,0.0,gamma,3.0,1.0,7,300,0.6611578713093808
Default,0.1,gamma,3.0,1.0,7,300,0.3091915000678728
No offset,0.0,gamma,3.0,1.0,10,300,0.6070680566653053
Default,0.1,gamma,3.0,1.0,10,300,0.27507286191439123
No offset,0.0,gamma,3.0,1.0,15,300,0.5541933424214701
Default,0.1,gamma,3.0,1.0,15,300,0.23941934864969852
No offset,0.0,gamma,3.0,1.0,20,300,0.5295893124591252
Default,0.1,gamma,3.0,1.0,20,300,0.21200582350431044
No offset,0.0,gamma,3.5,0.1,7,300,0.28128767635174395
Default,0.1,gamma,3.5,0.1,7,300,0.2638167648885494
No offset,0.0,gamma,3.5,0.1,10,300,0.2629297411530644
Default,0.1,gamma,3.5,0.1,10,300,0.23649467820265654
No offset,0.0,gamma,3.5,0.1,15,300,0.21015083950725627
Default,0.1,gamma,3.5,0.1,15,300,0.20079994359929623
No offset,0.0,gamma,3.5,0.1,20,300,0.20748743235561384
Default,0.1,gamma,3.5,0.1,20,300,0.1869707416924322
No offset,0.0,gamma,3.5,0.25,7,300,0.33895170369399
Default,0.1,gamma,3.5,0.25,7,300,0.2731660436537435
No offset,0.0,gamma,3.5,0.25,10,300,0.325072085464846
Default,0.1,gamma,3.5,0.25,10,300,0.24917612198178504
No offset,0.0,gamma,3.5,0.25,15,300,0.28658441183979017
Default,0.1,gamma,3.5,0.25,15,300,0.22344664305005615
No offset,0.0,gamma,3.5,0.25,20,300,0.2719986590472229
Default,0.1,gamma,3.5,0.25,20,300,0.21091368009863828
No offset,0.0,gamma,3.5,0.5,7,300,0.4660813324015917
Default,0.1,gamma,3.5,0.5,7,300,0.2832377357911933
No offset,0.0,gamma,3.5,0.5,10,300,0.4070908399300442
Default,0.1,gamma,3.5,0.5,10,300,0.2425538695938821
No offset,0.0,gamma,3.5,0.5,15,300,0.39658248133511753
Default,0.1,gamma,3.5,0.5,15,300,0.23599834936246827
No offset,0.0,gamma,3.5,0.5,20,300,0.36490981317046395
Default,0.1,gamma,3.5,0.5,20,300,0.20360599563805767
No offset,0.0,gamma,3.5,0.75,7,300,0.5720835891363836
Default,0.1,gamma,3.5,0.75,7,300,0.2890063949738345
No offset,0.0,gamma,3.5,0.75,10,300,0.5260196504232313
Default,0.1,gamma,3.5,0.75,10,300,0.24000265737980053
No offset,0.0,gamma,3.5,0.75,15,300,0.48984366687147374
Default,0.1,gamma,3.5,0.75,15,300,0.22615466370160262
No offset,0.0,gamma,3.5,0.75,20,300,0.45790170131336316
Default,0.1,gamma,3.5,0.75,20,300,0.21164182406489088
No offset,0.0,gamma,3.5,1.0,7,300,0.6926524321688843
Default,0.1,gamma,3.5,1.0,7,300,0.30405587729603767
No offset,0.0,gamma,3.5,1.0,10,300,0.6301282719240692
Default,0.1,gamma,3.5,1.0,10,300,0.26640690099385755
No offset,0.0,gamma,3.5,1.0,15,300,0.5725842431932232
Default,0.1,gamma,3.5,1.0,15,300,0.2351657505446088
No offset,0.0,gamma,3.5,1.0,20,300,0.5637484883347178
Default,0.1,gamma,3.5,1.0,20,300,0.2199088178484899
No offset,0.0,gamma,4.0,0.1,7,300,0.3021752698087659
Default,0.1,gamma,4.0,0.1,7,300,0.26526461705926563
No offset,0.0,gamma,4.0,0.1,10,300,0.2749140211626687
Default,0.1,gamma,4.0,0.1,10,300,0.2451645257310648
No offset,0.0,gamma,4.0,0.1,15,300,0.23964662976124151
Default,0.1,gamma,4.0,0.1,15,300,0.2033315541801674
No offset,0.0,gamma,4.0,0.1,20,300,0.22594784780337082
Default,0.1,gamma,4.0,0.1,20,300,0.19823645889252164
No offset,0.0,gamma,4.0,0.25,7,300,0.38932013811173166
Default,0.1,gamma,4.0,0.25,7,300,0.25209827826422826
No offset,0.0,gamma,4.0,0.25,10,300,0.3381653800488947
Default,0.1,gamma,4.0,0.25,10,300,0.2509673669430219
No offset,0.0,gamma,4.0,0.25,15,300,0.3083670756928361
Default,0.1,gamma,4.0,0.25,15,300,0.22189977427328658
No offset,0.0,gamma,4.0,0.25,20,300,0.2845665696792049
Default,0.1,gamma,4.0,0.25,20,300,0.20802160965708918
No offset,0.0,gamma,4.0,0.5,7,300,0.4724165623774876
Default,0.1,gamma,4.0,0.5,7,300,0.2832603793688427
No offset,0.0,gamma,4.0,0.5,10,300,0.4463598041744136
Default,0.1,gamma,4.0,0.5,10,300,0.23859274692147006
No offset,0.0,gamma,4.0,0.5,15,300,0.3982685472882768
Default,0.1,gamma,4.0,0.5,15,300,0.21969050532496562
No offset,0.0,gamma,4.0,0.5,20,300,0.374354667881482
Default,0.1,gamma,4.0,0.5,20,300,0.19523238525847983
No offset,0.0,gamma,4.0,0.75,7,300,0.584960211373253
Default,0.1,gamma,4.0,0.75,7,300,0.26748633737419625
No offset,0.0,gamma,4.0,0.75,10,300,0.5362722907064762
Default,0.1,gamma,4.0,0.75,10,300,0.24165149258529012
No offset,0.0,gamma,4.0,0.75,15,300,0.5219135859929762
Default,0.1,gamma,4.0,0.75,15,300,0.23316242358121417
No offset,0.0,gamma,4.0,0.75,20,300,0.480364641399917
