beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
1.5,1.0,0.1,0.1,10,0,2.4955364170919063,1.5233240362907292,0.0,0.6491660122340013,True,7.4881999753415585,success
1.5,1.0,0.1,0.1,10,1,0,0,0,0,False,37.208399968221784,failure
1.5,1.0,0.1,0.1,10,2,0,0,0,0,False,20.68340010009706,failure
1.5,1.0,0.1,0.1,10,3,1.7070179609691305,1.0322306227660891,0.20181425829363928,0.8600580128022275,True,9.835500037297606,success
1.5,1.0,0.1,0.1,10,4,0,0,0,0,False,143.1114999577403,failure
1.5,1.0,0.1,0.1,10,5,0,0,0,0,False,19.831900019198656,failure
1.5,1.0,0.1,0.1,10,6,1.2426500052753564,0.7918276516805043,0.09653951247004952,0.687158155723159,True,10.024500079452991,success
1.5,1.0,0.1,0.1,10,7,1.8630855178282644,0.6604544152914076,0.10140014313172802,0.8696398266996631,True,9.442599955946207,success
1.5,1.0,0.1,0.1,10,8,0,0,0,0,False,32.63819986023009,failure
1.5,1.0,0.1,0.1,10,9,0,0,0,0,False,23.54700001887977,failure
