beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.0,1.0,0.1,0.1,10,0,3.1099451516346557,1.351728639338356,0.0,0.7570636862643223,True,8.317899890244007,success
2.0,1.0,0.1,0.1,10,1,2.0951276569013046,1.0669107984427528,0.21607460322662703,0.8270494433741318,True,10.688800131902099,success
2.0,1.0,0.1,0.1,10,2,1.8780905649694923,0.5810490864533098,0.27124123971198094,0.8712103698554857,True,8.606899995356798,success
2.0,1.0,0.1,0.1,10,3,1.3359276782145981,0.4212413559474719,0.394792866929111,0.7601609187940139,True,9.609699947759509,success
2.0,1.0,0.1,0.1,10,4,1.6901129785364455,0.971498270858545,0.04201738953393375,0.8543513228742083,True,7.937000133097172,success
2.0,1.0,0.1,0.1,10,5,2.3153419021904185,1.209491456016908,0.0,0.8349118126422843,True,7.2093999478966,success
2.0,1.0,0.1,0.1,10,6,0,0,0,0,False,194.0489001572132,failure
2.0,1.0,0.1,0.1,10,7,0,0,0,0,False,20.807799883186817,failure
2.0,1.0,0.1,0.1,10,8,0,0,0,0,False,20.70980006828904,failure
2.0,1.0,0.1,0.1,10,9,0,0,0,0,False,20.630500046536326,failure
