beta,gamma_over_eta,n,repeat_id,cohort_delta,orig_best_delta,orig_best_loss,extended_best_delta,extended_best_loss,migrated,loss_improvement,rel_improvement
1.5,0.1,10,566,0.5,0.5,0.0825424386061131,0.98,0.0096729297527161,True,0.0728695088533969,0.8828126486682237
1.5,0.1,10,576,0.5,0.5,0.0466148381966604,1.0,0.0052613342205131,True,0.0413535039761472,0.8871317712545419
1.5,0.1,10,577,0.5,0.5,0.1543855255859343,0.74,0.1183278162967527,True,0.0360577092891815,0.2335562816030384
1.5,0.1,10,578,0.5,0.5,0.1381328019992795,0.52,0.137857958505135,True,0.0002748434941445,0.0019897047635793
1.5,0.1,10,580,0.5,0.5,0.1512872935883334,0.58,0.1409457783721931,True,0.0103415152161403,0.068356799641618
1.5,0.1,10,592,0.5,0.5,0.0095188798683909,0.54,0.0091120338521997,True,0.0004068460161911,0.0427409550090143
1.5,0.1,10,596,0.5,0.5,0.0502251794451442,0.82,0.0127202466886118,True,0.0375049327565324,0.7467356646778172
1.5,0.1,10,599,0.5,0.5,0.0462472263191852,0.82,0.0431905505714942,True,0.003056675747691,0.066094250206374
1.5,0.1,10,602,0.5,0.5,0.0461162466600264,1.0,0.036531913718177,True,0.0095843329418493,0.2078298568507972
1.5,0.1,10,605,0.5,0.5,0.239621641268394,0.58,0.2395885010022758,True,3.314026611819787e-05,0.0001383024752805
1.5,0.1,10,607,0.5,0.5,0.0122943076009052,0.56,0.0112502410500962,True,0.0010440665508089,0.0849227613869099
1.5,0.1,10,618,0.5,0.5,0.0852859630836181,0.72,0.0633215169659596,True,0.0219644461176585,0.2575388179192347
1.5,0.1,10,624,0.5,0.5,0.0136857370252454,0.72,0.0084382497544545,True,0.0052474872707908,0.3834274515951229
1.5,0.1,10,628,0.5,0.5,0.1264100277538858,0.56,0.1250336476198355,True,0.0013763801340503,0.0108882195384855
1.5,0.1,10,634,0.5,0.5,0.078328467826829,0.96,0.066963141302194,True,0.0113653265246349,0.1450982872505792
1.5,0.1,10,635,0.5,0.5,0.1276528523814757,1.0,0.0538034020634315,True,0.0738494503180442,0.5785178234588421
1.5,0.1,10,636,0.5,0.5,0.0271523626450558,0.54,0.0270586683533864,True,9.369429166942306e-05,0.0034506865164635
1.5,0.1,10,640,0.5,0.5,0.073617789482533,0.88,0.0150256605423621,True,0.0585921289401709,0.7958963363613734
1.5,0.1,10,643,0.5,0.5,0.0634938265411563,0.84,0.0187608352198532,True,0.0447329913213031,0.7045250500425808
1.5,0.1,10,646,0.5,0.5,0.0498526231619736,1.0,0.0137756564581945,True,0.036076966703779,0.7236723850330439
1.5,0.1,10,647,0.5,0.5,0.1163325971359422,0.62,0.098713507112253,True,0.0176190900236891,0.1514544543615761
1.5,0.1,10,654,0.5,0.5,0.080634159963753,0.62,0.0711609682806554,True,0.0094731916830976,0.1174836035664791
1.5,0.1,10,660,0.5,0.5,0.1022802140441714,1.0,0.0696213788528903,True,0.032658835191281,0.3193074584022362
1.5,0.1,10,664,0.5,0.5,0.0219191293591647,0.52,0.0219000540718776,True,1.907528728706948e-05,0.0008702575259493
1.5,0.1,10,667,0.5,0.5,0.2314014930522985,1.0,0.1843232785743858,True,0.0470782144779127,0.2034481880688328
1.5,0.1,10,671,0.5,0.5,0.0876324109510842,0.62,0.0751212817353099,True,0.0125111292157742,0.1427682872123406
1.5,0.1,10,672,0.5,0.5,0.0766964598083293,0.82,0.0269625007575369,True,0.0497339590507924,0.6484518213106785
1.5,0.1,10,689,0.5,0.5,0.1689391641034681,1.0,0.1669641080974687,True,0.0019750560059993,0.0116909303800613
1.5,0.1,10,710,0.5,0.5,0.0079339538323417,0.5,0.0079339538323417,False,0.0,0.0
