beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,cohort
1.5,1.0,0.1,0.1,7,11,0.52,2.06188062416191,0.9323845978390243,0.1374636457436913,0.5091220169080365,True,30.450000000200816,success,0.5
1.5,1.0,0.1,0.1,7,11,0.54,2.0611451140980916,0.9138409992888636,0.15031958753494223,0.4198560554179426,True,30.26519999912125,success,0.5
1.5,1.0,0.1,0.1,7,11,0.56,2.0661709360565523,0.8929079680171996,0.16452495108720297,0.2879308105937275,True,31.076999999640975,success,0.5
1.5,1.0,0.1,0.1,7,11,0.58,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,37.36449999996694,success,0.5
1.5,1.0,0.1,0.1,7,11,0.6,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,41.38289999900735,success,0.5
1.5,1.0,0.1,0.1,7,11,0.62,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,41.1511000002065,success,0.5
1.5,1.0,0.1,0.1,7,11,0.64,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,38.792499999544816,success,0.5
1.5,1.0,0.1,0.1,7,11,0.66,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,40.06120000121882,success,0.5
1.5,1.0,0.1,0.1,7,11,0.68,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,39.91620000124385,success,0.5
1.5,1.0,0.1,0.1,7,11,0.7,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,41.15769999953045,success,0.5
1.5,1.0,0.1,0.1,7,11,0.72,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,41.85730000062904,success,0.5
1.5,1.0,0.1,0.1,7,11,0.74,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,38.01310000017111,success,0.5
1.5,1.0,0.1,0.1,7,11,0.76,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,37.22430000016175,success,0.5
1.5,1.0,0.1,0.1,7,11,0.78,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,36.82640000079118,success,0.5
1.5,1.0,0.1,0.1,7,11,0.8,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,38.45000000001164,success,0.5
1.5,1.0,0.1,0.1,7,11,0.82,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,45.57999999997264,success,0.5
1.5,1.0,0.1,0.1,7,11,0.84,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,46.17270000017015,success,0.5
1.5,1.0,0.1,0.1,7,11,0.86,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,46.04210000070452,success,0.5
1.5,1.0,0.1,0.1,7,11,0.88,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,41.42569999930856,success,0.5
1.5,1.0,0.1,0.1,7,11,0.9,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,37.94639999978244,success,0.5
1.5,1.0,0.1,0.1,7,11,0.92,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,38.11230000064825,success,0.5
1.5,1.0,0.1,0.1,7,11,0.94,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,37.66409999843745,success,0.5
1.5,1.0,0.1,0.1,7,11,0.96,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,42.189800000414834,success,0.5
1.5,1.0,0.1,0.1,7,11,0.98,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,42.03559999950812,success,0.5
1.5,1.0,0.1,0.1,7,11,1.0,2.3653318741876843,0.7320989298713284,0.2694962165961227,-1047.4892514708001,True,38.41110000030312,success,0.5
1.5,1.0,0.1,0.1,7,14,0.52,1.3882532896180322,1.3164226490893647,0.2242384724446929,0.9199788046482364,True,41.13569999935862,success,0.5
1.5,1.0,0.1,0.1,7,14,0.54,1.380473863352778,1.3102492383465767,0.2288103192175207,0.9184569613354149,True,40.45190000033472,success,0.5
1.5,1.0,0.1,0.1,7,14,0.56,1.3730784425600937,1.3042428957372236,0.2332100000008099,0.9168671109051496,True,38.98990000016056,success,0.5
1.5,1.0,0.1,0.1,7,14,0.58,1.3660417832870584,1.2983875865391037,0.2374516165695915,0.9152058881469819,True,40.176600001359475,success,0.5
1.5,1.0,0.1,0.1,7,14,0.6,1.3593412090317625,1.2926688264330557,0.2415478597745343,0.913469601450818,True,41.46730000138632,success,0.5
1.5,1.0,0.1,0.1,7,14,0.62,1.3529566687642032,1.287073333703807,0.24551020491562578,0.9116541126882813,True,38.47450000102981,success,0.5
1.5,1.0,0.1,0.1,7,14,0.64,1.3468701941406833,1.2815889276952415,0.24934907647479104,0.9097548582972137,True,37.92749999956868,success,0.5
1.5,1.0,0.1,0.1,7,14,0.66,1.3410657037321314,1.2762043561933574,0.25307398804595455,0.9077667973348154,True,42.714799999885145,success,0.5
1.5,1.0,0.1,0.1,7,14,0.68,1.3355287853797582,1.2709091637436778,0.2566936620613905,0.9056843661679719,True,38.25479999977688,success,0.5
1.5,1.0,0.1,0.1,7,14,0.7,1.3302465663852268,1.2656935590396523,0.2602161330093538,0.903501409538302,True,37.78460000103223,success,0.5
