cohort_delta,n_samples,n_migrated,migration_rate,mean_loss_improvement,mean_rel_improvement,median_loss_improvement,mdm_extended_rows,mdm_success_rows,mdm_converged_rows,mdm_success_rate,migrated_mean_new_delta,migrated_median_new_delta,migrated_mean_loss_improvement,extended_best_delta_distribution
0.5,2958,2802,0.947261663286004,0.031005905175535094,0.32856817203882216,0.011539618101725517,73950,73950,73950,1.0,0.7716488222698072,0.76,0.032732144007577735,"{'0.5': 156, '0.52': 167, '0.54': 165, '0.56': 152, '0.58': 147, '0.6': 123, '0.62': 115, '0.64': 91, '0.66': 100, '0.68': 69, '0.7': 91, '0.72': 78, '0.74': 89, '0.76': 93, '0.78': 77, '0.8': 72, '0.82': 64, '0.84': 60, '0.86': 57, '0.88': 50, '0.9': 42, '0.92': 40, '0.94': 44, '0.96': 44, '0.98': 29, '1.0': 743}"
0.48,219,3,0.0136986301369863,0.0005772904108995846,0.005360795808985792,0.0,5475,5475,5475,1.0,0.7866666666666667,0.78,0.04214219999566968,"{'0.48': 216, '0.68': 1, '0.78': 1, '0.9': 1}"
