budget_policy,domain_id,metric,estimate,narrow_estimate,delta_vs_narrow,relative_change_percent,ci95_low,ci95_high,bootstrap_reps,bootstrap_seed
fixed_total,medium_1.5_3.5,J1,0.2981698709590537,0.26162215222190516,0.036547718737148516,13.96965754878017,0.03564642782816797,0.037411003022186966,3000,20260830
fixed_total,medium_1.5_3.5,x0.95 RMSE,0.18533431106934783,0.18827370569310484,-0.0029393946237570023,-1.5612348059629508,-0.003530810064907286,-0.0023598489326629875,3000,20260830
fixed_total,wide_1.5_5.0,J1,0.34607770992643894,0.26162215222190516,0.08445555770453378,32.28150100718515,0.08294525426984738,0.08593558197030658,3000,20260830
fixed_total,wide_1.5_5.0,x0.95 RMSE,0.19006523150132057,0.18827370569310484,0.0017915258082157326,0.9515539101015017,0.001048565791007467,0.0025677111035267396,3000,20260830
fixed_density,medium_1.5_3.5,J1,0.29693635015017195,0.2632068523107619,0.03372949783941004,12.81482512453226,0.03286948772919482,0.03451547487213835,3000,20260830
fixed_density,medium_1.5_3.5,x0.95 RMSE,0.18642000358010585,0.19281153613679047,-0.00639153255668462,-3.314911900369974,-0.00713304120898735,-0.0056672768721767065,3000,20260830
fixed_density,wide_1.5_5.0,J1,0.34607770992643894,0.2632068523107619,0.08287085761567703,31.48506845020639,0.08139945826070083,0.08438635737127918,3000,20260830
fixed_density,wide_1.5_5.0,x0.95 RMSE,0.19006523150132057,0.19281153613679047,-0.002746304635469904,-1.4243466394674296,-0.0035262440755687826,-0.0019643538764425503,3000,20260830
