budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta_point_type,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,near_ood_high,6000,6000,0.0,0.4123645176250772,-0.28306728237268236,0.1045449610506508,0.301753067296409,-0.12886208560254386,0.15644590266991468,0.20267382255230873,0.11825175276107745,0.1547042833824882,0.1947123607411885,-0.04105956980718608,0.09127823793220315,0.10008104902180902
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,near_ood_low,6000,6000,0.0,0.5520784345135391,0.3563015026161632,0.260006061267643,0.4410698872859793,0.13141700198365155,0.25815686618505673,0.28966236979329446,-0.10034681747993167,0.1275809270515265,0.16230731317530467,0.0569308343922702,0.35249382360692144,0.3570326412757626
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,seen_grid,48000,47999,2.0833333333358794e-05,0.3658085632204512,-0.06015829456152737,0.2496496293032285,0.2567930282397548,-0.0384298851283643,0.19398283447253858,0.19775088414483075,0.0277310764402304,0.16717223371005688,0.16945496774099905,0.0019521520920385202,0.1798683329519063,0.17987705264926857
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,12000,far_ood_high,48000,48000,0.0,0.5112323239484191,-0.3971842019015518,0.08605449187957881,0.4063994482454022,-0.15868339432532444,0.15820405025194453,0.22407235376814028,0.148781043634919,0.15444823019674392,0.2144517609914625,-0.07022825798815345,0.0991939578813476,0.12153700881565746
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,12000,far_ood_low,12000,11904,0.008000000000000007,1.0173359814255827,0.7061928841826204,0.3466080878470485,0.7866609587765656,0.36540412292487245,0.48285199932561784,0.6055135347630927,-0.145793684558233,0.12266482075790063,0.1905287188547813,0.06009148623959508,0.39010975792943847,0.3946945978091096
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,12000,in_domain_unseen,24000,24000,0.0,0.31460153182796347,-0.06222276603854718,0.1895109254494745,0.1994606904762223,-0.042897003713507485,0.18397181026464143,0.18890306949647145,0.025109706061153488,0.15124696007316077,0.1533140147477099,0.010757496666578149,0.19151889064783928,0.19181678992626183
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,12000,near_ood_high,6000,6000,0.0,0.3999164483473315,-0.27891266938645015,0.093287734496359,0.2940976506505459,-0.12035216688871296,0.15734236735151316,0.19808366549304318,0.10794094830096336,0.15018358722004418,0.18493944686143485,-0.0379451485423766,0.12262858789923625,0.12835536051512889
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,12000,near_ood_low,6000,5996,0.0006666666666667043,0.5215365796272231,0.3574167724778617,0.1997033048630256,0.40941605719099483,0.11749999584670545,0.2560741450633274,0.28172554110056214,-0.08498669764402014,0.12723818100222709,0.15300193927540492,0.10192378613937206,0.3374865556501173,0.3525147343010492
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,12000,seen_grid,30000,30000,0.0,0.3364284591133049,-0.047825995097127566,0.21947468371707635,0.22462158614400368,-0.03789639457059131,0.19204424556408203,0.1957444752970538,0.02536329827276961,0.15417797181335155,0.15624772488003044,0.017919944874518683,0.2058890396837461,0.20666399801685884
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,12000,far_ood_high,60000,60000,0.0,0.5290943525757636,-0.41754314238589796,0.08749901721189862,0.4266125011825581,-0.16370635025991692,0.15680741635984938,0.2266890494299258,0.15369049859300066,0.15144073266918107,0.21576534158869212,-0.07484262996679289,0.10354849296084731,0.12776357442545597
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,12000,far_ood_low,24000,24000,0.0,1.2541391888112756,0.8295928043706845,0.42461723823328723,0.9319423306068115,0.5002955284523002,0.5896085104085346,0.7732524338214029,-0.2532350924809823,0.20567698336631973,0.326234993409085,0.10390542526103923,0.5086206335392212,0.5191151195104161
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,12000,in_domain_unseen,12000,12000,0.0,0.24437134566816918,-0.03658486372518906,0.099210984082519,0.10573765356515911,-0.028671076782719317,0.16530741842333926,0.16776857875593806,0.01808641498877083,0.1416515473759899,0.14279568335359036,0.024120433429159354,0.18171141201481625,0.18329779316399525
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,12000,near_ood_high,6000,6000,0.0,0.3409070919918738,-0.22822241872970753,0.04833914334483072,0.23328470962471334,-0.10481778150258915,0.15224105125018422,0.18482489582107559,0.08791810244641435,0.1411005776085024,0.16623972903730816,-0.022360984845672827,0.13715401479026731,0.1389535973352079
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,12000,near_ood_low,6000,6000,0.0,0.4031785689286061,0.2746405335205868,0.08910751098322882,0.2887321385090569,0.10489505983010114,0.2047480971218851,0.2300386269475503,-0.08881009055118373,0.13559045944484432,0.16207695933534585,0.080056463444834,0.2578086594655568,0.26993196306459444
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,12000,seen_grid,18000,18000,0.0,0.27251669276013474,-0.02408087084559131,0.14690234029029922,0.14885895007700295,-0.02305072383111698,0.17324254130068806,0.17476454616937015,0.01562584356939543,0.14601620360408016,0.14684588593865383,0.027285060199671984,0.18957087092375446,0.19151917164215154
fixed_total,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,far_ood_high,12000,12000,0.0,0.43800033164380664,-0.314255076700885,0.09426757708950403,0.32808823324109604,-0.13995096150676717,0.1557538652227647,0.20938843462081533,0.1280996884270047,0.15476224005448425,0.20089520943981037,-0.04877169090518359,0.08400577854491266,0.09713424000724596
fixed_total,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,far_ood_low,12000,11932,0.005666666666666709,0.9794844042699734,0.6203788458666376,0.42335014446658503,0.7510527522463256,0.36217679146762016,0.4662231667872964,0.5903540061926874,-0.15424518075159988,0.11510852327025053,0.1924589240789268,-0.03471274857433329,0.404853718833934,0.4063222512342114
fixed_total,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,in_domain_unseen,42000,42000,0.0,0.353218591379426,-0.07103063258324084,0.23243741491809358,0.2430457081666387,-0.042199267662807745,0.18822887788827658,0.19289905414049646,0.028568230607939723,0.16633287972823593,0.1687664420124594,-0.001997077968083695,0.16677526306475035,0.16678523451705476
fixed_total,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,near_ood_high,6000,6000,0.0,0.4123645176250772,-0.28306728237268236,0.1045449610506508,0.301753067296409,-0.12886208560254386,0.15644590266991468,0.20267382255230873,0.11825175276107745,0.1547042833824882,0.1947123607411885,-0.04105956980718608,0.09127823793220315,0.10008104902180902
fixed_total,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,near_ood_low,6000,6000,0.0,0.5520784345135391,0.3563015026161632,0.260006061267643,0.4410698872859793,0.13141700198365155,0.25815686618505673,0.28966236979329446,-0.10034681747993167,0.1275809270515265,0.16230731317530467,0.0569308343922702,0.35249382360692144,0.3570326412757626
fixed_total,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,seen_grid,48000,47999,2.0833333333358794e-05,0.3658085632204512,-0.06015829456152737,0.2496496293032285,0.2567930282397548,-0.0384298851283643,0.19398283447253858,0.19775088414483075,0.0277310764402304,0.16717223371005688,0.16945496774099905,0.0019521520920385202,0.1798683329519063,0.17987705264926857
