budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta_point_type,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,far_ood_high,48000,48000,0.0,0.5099910537979254,-0.3956373101479787,0.08286554064531017,0.40422201319493073,-0.16492125946522826,0.1555999811152815,0.2267374506857264,0.14775780288943596,0.15314596881039724,0.2128040588407409,-0.07285776473112086,0.09812667687340604,0.12221660277925275
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,far_ood_low,12000,11958,0.0034999999999999476,1.0194772551089166,0.6963455867005395,0.37778265419870505,0.7922152326525866,0.3585882494080698,0.47866648542160917,0.5980702102182873,-0.17923688934379042,0.12723016101457835,0.21979996059145093,-0.03726426236044156,0.3790621769109545,0.3808736577217437
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,in_domain_unseen,24000,24000,0.0,0.3144982772942655,-0.05538127152429873,0.1914615493940645,0.1993065044978543,-0.04403588492158097,0.18392712322165133,0.18912148547421895,0.01582909707461954,0.1522154804931334,0.15303315790354813,-0.0024998279110797898,0.19187362569719185,0.19188591245605943
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,near_ood_high,6000,6000,0.0,0.39610687061383665,-0.27532106243314586,0.09040361315384596,0.28978119082342324,-0.12494764428549242,0.1551792583030351,0.1992197344297818,0.10473475949418828,0.14924260177832882,0.18231569270409148,-0.04219932022647274,0.12305721563897008,0.1300820398902384
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,near_ood_low,6000,6000,0.0,0.5341430422865276,0.366272375865998,0.20821725567076554,0.4213106373496813,0.11898584629230131,0.2571915678490553,0.28336215274236654,-0.1077414654175488,0.12612079359790945,0.16586749793833747,0.047883497837728564,0.33756359633424277,0.34091497386448383
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,seen_grid,30000,30000,0.0,0.33730678128040115,-0.04110349944481553,0.22166584727211772,0.22544091832498867,-0.03899115042052152,0.1921996938693762,0.19611170484493493,0.015642437150711612,0.1557195514740727,0.15650065899331955,0.0028029715258922113,0.20563944135235696,0.20565511640387107
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,far_ood_high,60000,60000,0.0,0.5315297581002828,-0.41625469376406743,0.08779826286633022,0.425413183349294,-0.17018793189027911,0.1547744925702744,0.23004059741507304,0.16123414906728673,0.15044187285077182,0.22051945655583638,-0.06837297499009858,0.10500969735658465,0.1253064901111504
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,far_ood_low,24000,24000,0.0,1.2217841144571524,0.8209603724193122,0.4258733444801946,0.9248440309680357,0.4657433295963086,0.5741829585520721,0.7393166994160807,-0.23102057434192508,0.19355054592222784,0.30138141728904905,0.12059784723843628,0.5046186197109938,0.5188190263662277
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,in_domain_unseen,12000,12000,0.0,0.24639661713337097,-0.03469802886675589,0.10113921305759777,0.10692165915650682,-0.03595697521310987,0.1651117038820158,0.16897487091991548,0.02663390285345312,0.1414879789654543,0.14396716547736396,0.032742723525331266,0.18450900143961935,0.18738415245639292
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,near_ood_high,6000,6000,0.0,0.3420563146935111,-0.22556748844282046,0.04934835416514951,0.23090159381116124,-0.10991772734331864,0.15123043779952675,0.18694582190339842,0.095340907505689,0.1401842455359223,0.16952355609187378,-0.014854018022892101,0.14025725136431802,0.14102999584818063
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,near_ood_low,6000,5998,0.0003333333333332966,0.3982037997871415,0.2718174666323273,0.09483400527102345,0.28788317822963666,0.09206333018767889,0.20411262921586126,0.22389880793436784,-0.07755962580002834,0.1367805579657189,0.15723007790628513,0.09165213653047272,0.2588312768269663,0.27455887286043296
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,seen_grid,18000,18000,0.0,0.2738409816220344,-0.022664565360348516,0.14750109581855708,0.14922817124167206,-0.030285961060806672,0.17310466163463553,0.1757293333008419,0.0240999763587701,0.14580606900624507,0.14778036926881472,0.035737620338622794,0.1930720775907834,0.1963464634717102
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,far_ood_high,12000,12000,0.0,0.43800033164380664,-0.314255076700885,0.09426757708950403,0.32808823324109604,-0.13995096150676717,0.1557538652227647,0.20938843462081533,0.1280996884270047,0.15476224005448425,0.20089520943981037,-0.04877169090518359,0.08400577854491266,0.09713424000724596
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,far_ood_low,12000,11932,0.005666666666666709,0.9794844042699734,0.6203788458666376,0.42335014446658503,0.7510527522463256,0.36217679146762016,0.4662231667872964,0.5903540061926874,-0.15424518075159988,0.11510852327025053,0.1924589240789268,-0.03471274857433329,0.404853718833934,0.4063222512342114
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,in_domain_unseen,42000,42000,0.0,0.353218591379426,-0.07103063258324084,0.23243741491809358,0.2430457081666387,-0.042199267662807745,0.18822887788827658,0.19289905414049646,0.028568230607939723,0.16633287972823593,0.1687664420124594,-0.001997077968083695,0.16677526306475035,0.16678523451705476
