fold,held_out_beta,n_train_combos,n_test_combos,train_betas,test_betas
beta_holdout_1.5,1.5,140,20,"[2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0]",[1.5]
beta_holdout_2.0,2.0,140,20,"[1.5, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0]",[2.0]
beta_holdout_2.5,2.5,140,20,"[1.5, 2.0, 3.0, 3.5, 4.0, 4.5, 5.0]",[2.5]
beta_holdout_3.0,3.0,140,20,"[1.5, 2.0, 2.5, 3.5, 4.0, 4.5, 5.0]",[3.0]
beta_holdout_3.5,3.5,140,20,"[1.5, 2.0, 2.5, 3.0, 4.0, 4.5, 5.0]",[3.5]
beta_holdout_4.0,4.0,140,20,"[1.5, 2.0, 2.5, 3.0, 3.5, 4.5, 5.0]",[4.0]
beta_holdout_4.5,4.5,140,20,"[1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0]",[4.5]
beta_holdout_5.0,5.0,140,20,"[1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5]",[5.0]
