track,reference_model,n_common_samples,l6_common_J1,ref_common_J1,l6_win_rate,median_loss_diff,mean_loss_diff
E4b_boundary,Default,4500,0.5588103919295078,0.6778261512130688,0.7066666666666667,-0.027433885354618548,-0.134192737768001
E4b_boundary,L1,4500,0.5588103919295078,0.6595880983817927,0.6877777777777778,-0.016905963090041092,-0.10980090602658846
E4b_boundary,L2,4500,0.5588103919295078,0.668771740722558,0.6928888888888889,-0.020953798696085907,-0.12200008768875942
E4c_offgrid,Default,1500,0.5922704092889354,0.6880659401975208,0.74,-0.05612783012377821,-0.11153693630170883
E4c_offgrid,L1,1500,0.5922704092889354,0.6770200255899033,0.7513333333333333,-0.04240606877972591,-0.09645831329156393
E4c_offgrid,L2,1500,0.5922704092889354,0.676190743958668,0.7353333333333333,-0.04919166860959207,-0.09533612045718748
