track,fold,seed,reference_model,n_common_samples,l6_J1_common,ref_J1_common,l6_win_rate,median_loss_diff,mean_loss_diff
E4b_boundary,combo_fold_1,42,Default,4500,0.5524716622606636,0.6752173558457317,0.7066666666666667,-0.027433885354618548,-0.13419273776800103
E4b_boundary,combo_fold_1,42,L1,4500,0.5524716622606636,0.6546176319720702,0.6877777777777778,-0.016905963090040978,-0.10980090602658847
E4b_boundary,combo_fold_1,42,L2,4500,0.5524716622606636,0.6679823775681079,0.6928888888888889,-0.020953798696085907,-0.12200008768875945
E4b_boundary,combo_fold_1,2026,Default,4500,0.5346456028552575,0.6752173558457317,0.6828888888888889,-0.03424507075349659,-0.15560155858649935
E4b_boundary,combo_fold_1,2026,L1,4500,0.5346456028552575,0.6546176319720702,0.6682222222222223,-0.023116971773188368,-0.13120972684508678
E4b_boundary,combo_fold_1,2026,L2,4500,0.5346456028552575,0.6679823775681079,0.674,-0.027692550789960968,-0.14340890850725777
E4b_boundary,combo_fold_1,3407,Default,4500,0.5283802817558805,0.6752173558457317,0.7326666666666667,-0.03929938158746232,-0.16075860381518836
E4b_boundary,combo_fold_1,3407,L1,4500,0.5283802817558805,0.6546176319720702,0.7153333333333334,-0.024169418405247847,-0.1363667720737758
E4b_boundary,combo_fold_1,3407,L2,4500,0.5283802817558805,0.6679823775681079,0.7211111111111111,-0.030374253040305065,-0.1485659537359468
E4b_boundary,combo_fold_2,42,Default,4500,0.5395456776511702,0.6752173558457317,0.7111111111111111,-0.036520968330908433,-0.1515804904868437
E4b_boundary,combo_fold_2,42,L1,4500,0.5395456776511702,0.6546176319720702,0.6846666666666666,-0.019335311678246037,-0.12718865874543114
E4b_boundary,combo_fold_2,42,L2,4500,0.5395456776511702,0.6679823775681079,0.6988888888888889,-0.029067015990642264,-0.1393878404076021
E4b_boundary,combo_fold_2,2026,Default,4500,0.5520847695446052,0.6752173558457317,0.7271111111111112,-0.03571892680261665,-0.13894713787744645
E4b_boundary,combo_fold_2,2026,L1,4500,0.5520847695446052,0.6546176319720702,0.6877777777777778,-0.020707397922266398,-0.1145553061360339
E4b_boundary,combo_fold_2,2026,L2,4500,0.5520847695446052,0.6679823775681079,0.7051111111111111,-0.025665294657366094,-0.12675448779820486
E4b_boundary,combo_fold_2,3407,Default,4500,0.5469185016342792,0.6752173558457317,0.7013333333333334,-0.034864251875826036,-0.14461112176844473
E4b_boundary,combo_fold_2,3407,L1,4500,0.5469185016342792,0.6546176319720702,0.68,-0.01991681496581188,-0.1202192900270322
E4b_boundary,combo_fold_2,3407,L2,4500,0.5469185016342792,0.6679823775681079,0.6902222222222222,-0.02678577141316501,-0.13241847168920318
E4b_boundary,combo_fold_3,42,Default,4500,0.5383049562550228,0.6752173558457317,0.7288888888888889,-0.0437341624529774,-0.14983264844390057
E4b_boundary,combo_fold_3,42,L1,4500,0.5383049562550228,0.6546176319720702,0.7013333333333334,-0.027023811981203356,-0.12544081670248802
E4b_boundary,combo_fold_3,42,L2,4500,0.5383049562550228,0.6679823775681079,0.7137777777777777,-0.034300608243599894,-0.137639998364659
E4b_boundary,combo_fold_3,2026,Default,4500,0.5376417721611647,0.6752173558457317,0.6968888888888889,-0.035634836628222054,-0.1474431475886337
E4b_boundary,combo_fold_3,2026,L1,4500,0.5376417721611647,0.6546176319720702,0.656,-0.012052735382007455,-0.12305131584722112
E4b_boundary,combo_fold_3,2026,L2,4500,0.5376417721611647,0.6679823775681079,0.6768888888888889,-0.02241906633927325,-0.13525049750939208
