track,fold,seed,reference_model,n_common_samples,l6_J1_common,ref_J1_common,l6_win_rate,median_loss_diff,mean_loss_diff
E4b_boundary,combo_fold_3,3407,Default,4500,0.5326711632131296,0.6752173558457317,0.6837777777777778,-0.036630560784073285,-0.15343415734191476
E4b_boundary,combo_fold_3,3407,L1,4500,0.5326711632131296,0.6546176319720702,0.6297777777777778,-0.016626488487228197,-0.12904232560050222
E4b_boundary,combo_fold_3,3407,L2,4500,0.5326711632131296,0.6679823775681079,0.6504444444444445,-0.024114739945526042,-0.1412415072626732
E4b_boundary,combo_fold_4,42,Default,4500,0.5512329317079482,0.6752173558457317,0.6655555555555556,-0.03229107769306726,-0.13640829782578096
E4b_boundary,combo_fold_4,42,L1,4500,0.5512329317079482,0.6546176319720702,0.62,-0.016364807772630902,-0.11201646608436841
E4b_boundary,combo_fold_4,42,L2,4500,0.5512329317079482,0.6679823775681079,0.6353333333333333,-0.022480459438115885,-0.12421564774653938
E4b_boundary,combo_fold_4,2026,Default,4500,0.5335094937634839,0.6752173558457317,0.684,-0.018904096266836645,-0.15498245311568246
E4b_boundary,combo_fold_4,2026,L1,4500,0.5335094937634839,0.6546176319720702,0.6593333333333333,-0.010127693011230232,-0.13059062137426988
E4b_boundary,combo_fold_4,2026,L2,4500,0.5335094937634839,0.6679823775681079,0.6644444444444444,-0.0129626898755891,-0.14278980303644084
E4b_boundary,combo_fold_4,3407,Default,4500,0.5347014300626007,0.6752173558457317,0.7017777777777777,-0.04348892160296845,-0.15733155691818637
E4b_boundary,combo_fold_4,3407,L1,4500,0.5347014300626007,0.6546176319720702,0.6775555555555556,-0.02764138237253589,-0.13293972517677383
E4b_boundary,combo_fold_4,3407,L2,4500,0.5347014300626007,0.6679823775681079,0.6868888888888889,-0.03349131134718062,-0.1451389068389448
E4b_boundary,combo_fold_5,42,Default,4500,0.5563799038801025,0.6752173558457317,0.6708888888888889,-0.03637371159790259,-0.12777332025582286
E4b_boundary,combo_fold_5,42,L1,4500,0.5563799038801025,0.6546176319720702,0.6493333333333333,-0.024300920838208007,-0.10338148851441031
E4b_boundary,combo_fold_5,42,L2,4500,0.5563799038801025,0.6679823775681079,0.6582222222222223,-0.03138372006596815,-0.11558067017658126
E4b_boundary,combo_fold_5,2026,Default,4500,0.5442368005845958,0.6752173558457317,0.6684444444444444,-0.03254333050282875,-0.14162693039190177
E4b_boundary,combo_fold_5,2026,L1,4500,0.5442368005845958,0.6546176319720702,0.6477777777777778,-0.018771551769866446,-0.11723509865048924
E4b_boundary,combo_fold_5,2026,L2,4500,0.5442368005845958,0.6679823775681079,0.6535555555555556,-0.022493772222368674,-0.1294342803126602
E4b_boundary,combo_fold_5,3407,Default,4500,0.5324205095676978,0.6752173558457317,0.7091111111111111,-0.03873086745892329,-0.15316439491443284
E4b_boundary,combo_fold_5,3407,L1,4500,0.5324205095676978,0.6546176319720702,0.6953333333333334,-0.02018931071162525,-0.12877256317302033
E4b_boundary,combo_fold_5,3407,L2,4500,0.5324205095676978,0.6679823775681079,0.7086666666666667,-0.030238891535328726,-0.14097174483519131
E4c_offgrid,combo_fold_1,42,Default,1500,0.5368171535427544,0.6324718204982529,0.74,-0.0561278301237782,-0.11153693630170883
E4c_offgrid,combo_fold_1,42,L1,1500,0.5368171535427544,0.6262976749755298,0.7513333333333333,-0.042406068779725886,-0.09645831329156393
E4c_offgrid,combo_fold_1,42,L2,1500,0.5368171535427544,0.6200458566928323,0.7353333333333333,-0.04919166860959208,-0.09533612045718748
E4c_offgrid,combo_fold_1,2026,Default,1500,0.540560348348253,0.6324718204982529,0.7626666666666667,-0.061221366368034755,-0.11926960290712653
E4c_offgrid,combo_fold_1,2026,L1,1500,0.540560348348253,0.6262976749755298,0.7233333333333334,-0.0512887613930087,-0.10419097989698162
E4c_offgrid,combo_fold_1,2026,L2,1500,0.540560348348253,0.6200458566928323,0.7393333333333333,-0.053760450551948426,-0.10306878706260518
E4c_offgrid,combo_fold_1,3407,Default,1500,0.5384203967217639,0.6324718204982529,0.7833333333333333,-0.0702064643887744,-0.11632367674663437
E4c_offgrid,combo_fold_1,3407,L1,1500,0.5384203967217639,0.6262976749755298,0.7633333333333333,-0.055265234830958035,-0.10124505373648947
E4c_offgrid,combo_fold_1,3407,L2,1500,0.5384203967217639,0.6200458566928323,0.7566666666666667,-0.060999001663382874,-0.10012286090211302
E4c_offgrid,combo_fold_2,42,Default,1500,0.5258298150499005,0.6324718204982529,0.7933333333333333,-0.07202883858228529,-0.13319181169661445
E4c_offgrid,combo_fold_2,42,L1,1500,0.5258298150499005,0.6262976749755298,0.75,-0.052072430242030246,-0.11811318868646954
E4c_offgrid,combo_fold_2,42,L2,1500,0.5258298150499005,0.6200458566928323,0.7866666666666666,-0.05569394052379045,-0.11699099585209309
E4c_offgrid,combo_fold_2,2026,Default,1500,0.5394465551946049,0.6324718204982529,0.7853333333333333,-0.07748446115331456,-0.12375912163993477
E4c_offgrid,combo_fold_2,2026,L1,1500,0.5394465551946049,0.6262976749755298,0.7586666666666667,-0.05092861349915545,-0.10868049862978987
E4c_offgrid,combo_fold_2,2026,L2,1500,0.5394465551946049,0.6200458566928323,0.7846666666666666,-0.057414409824769544,-0.10755830579541342
E4c_offgrid,combo_fold_2,3407,Default,1500,0.5207937729998294,0.6324718204982529,0.802,-0.08318860889983054,-0.1348764466169108
E4c_offgrid,combo_fold_2,3407,L1,1500,0.5207937729998294,0.6262976749755298,0.7826666666666666,-0.05840082503157563,-0.11979782360676591
E4c_offgrid,combo_fold_2,3407,L2,1500,0.5207937729998294,0.6200458566928323,0.7913333333333333,-0.0648016220846662,-0.11867563077238946
E4c_offgrid,combo_fold_3,42,Default,1500,0.5514228509276584,0.6324718204982529,0.7766666666666666,-0.06025415961250238,-0.121235094745256
E4c_offgrid,combo_fold_3,42,L1,1500,0.5514228509276584,0.6262976749755298,0.722,-0.04936642850653722,-0.1061564717351111
E4c_offgrid,combo_fold_3,42,L2,1500,0.5514228509276584,0.6200458566928323,0.7426666666666667,-0.04954261045327579,-0.10503427890073465
E4c_offgrid,combo_fold_3,2026,Default,1500,0.5509971651401133,0.6324718204982529,0.79,-0.06630600189355595,-0.11918307891444471
E4c_offgrid,combo_fold_3,2026,L1,1500,0.5509971651401133,0.6262976749755298,0.7226666666666667,-0.052500074790431284,-0.10410445590429981
E4c_offgrid,combo_fold_3,2026,L2,1500,0.5509971651401133,0.6200458566928323,0.774,-0.04796369085946915,-0.10298226306992336
E4c_offgrid,combo_fold_3,3407,Default,1500,0.5199818222411516,0.6324718204982529,0.764,-0.05721219227384973,-0.1279782422378975
E4c_offgrid,combo_fold_3,3407,L1,1500,0.5199818222411516,0.6262976749755298,0.72,-0.038504587118914,-0.1128996192277526
E4c_offgrid,combo_fold_3,3407,L2,1500,0.5199818222411516,0.6200458566928323,0.7386666666666667,-0.0446669048883103,-0.11177742639337615
E4c_offgrid,combo_fold_4,42,Default,1500,0.5470327495596957,0.6324718204982529,0.7546666666666667,-0.06865720627832811,-0.11922217414687163
E4c_offgrid,combo_fold_4,42,L1,1500,0.5470327495596957,0.6262976749755298,0.7273333333333334,-0.05101167478482545,-0.10414355113672673
E4c_offgrid,combo_fold_4,42,L2,1500,0.5470327495596957,0.6200458566928323,0.742,-0.054501867193960066,-0.1030213583023503
E4c_offgrid,combo_fold_4,2026,Default,1500,0.5625809251913483,0.6324718204982529,0.73,-0.06244779183805496,-0.11991099816042908
E4c_offgrid,combo_fold_4,2026,L1,1500,0.5625809251913483,0.6262976749755298,0.7333333333333333,-0.042707947073409795,-0.10483237515028418
E4c_offgrid,combo_fold_4,2026,L2,1500,0.5625809251913483,0.6200458566928323,0.726,-0.04789682318751681,-0.10371018231590773
E4c_offgrid,combo_fold_4,3407,Default,1500,0.5361133475019241,0.6324718204982529,0.7513333333333333,-0.06042775084021865,-0.11875121388856368
E4c_offgrid,combo_fold_4,3407,L1,1500,0.5361133475019241,0.6262976749755298,0.7026666666666667,-0.03502061153609224,-0.10367259087841879
E4c_offgrid,combo_fold_4,3407,L2,1500,0.5361133475019241,0.6200458566928323,0.7073333333333334,-0.036814456317984225,-0.10255039804404233
E4c_offgrid,combo_fold_5,42,Default,1500,0.532044018331795,0.6324718204982529,0.75,-0.06855892385659283,-0.12063187026422173
E4c_offgrid,combo_fold_5,42,L1,1500,0.532044018331795,0.6262976749755298,0.7526666666666667,-0.052996639160778125,-0.10555324725407683
E4c_offgrid,combo_fold_5,42,L2,1500,0.532044018331795,0.6200458566928323,0.75,-0.05827168786536316,-0.10443105441970037
E4c_offgrid,combo_fold_5,2026,Default,1500,0.5473988810652025,0.6324718204982529,0.728,-0.07635049977101539,-0.1178130493727327
E4c_offgrid,combo_fold_5,2026,L1,1500,0.5473988810652025,0.6262976749755298,0.728,-0.05584863143248333,-0.10273442636258782
E4c_offgrid,combo_fold_5,2026,L2,1500,0.5473988810652025,0.6200458566928323,0.718,-0.05813153456629455,-0.10161223352821137
E4c_offgrid,combo_fold_5,3407,Default,1500,0.5312646457535707,0.6324718204982529,0.7633333333333333,-0.08776737146384106,-0.13607418746988154
E4c_offgrid,combo_fold_5,3407,L1,1500,0.5312646457535707,0.6262976749755298,0.768,-0.06542058597616882,-0.12099556445973661
E4c_offgrid,combo_fold_5,3407,L2,1500,0.5312646457535707,0.6200458566928323,0.7473333333333333,-0.07140920996832165,-0.11987337162536019
