track,model,beta,gamma_over_eta,n,repeat_id,selected_delta,true_loss,oracle_min,regret,rel_regret
E4c,Default,1.25,0.25,7,0,0.1,0.6794714684133162,0.6768398331875434,0.0026316352257728104,0.0038881210838009575
E4c,L1,1.25,0.25,7,0,0.06,0.6784339825306474,0.6768398331875434,0.0015941493431039788,0.0023552829856310496
E4c,L2,1.25,0.25,7,0,0.5,0.6888985613759097,0.6768398331875434,0.012058728188366286,0.017816221204913885
E4c,L3,1.25,0.25,7,0,0.5,0.6888985613759097,0.6768398331875434,0.012058728188366286,0.017816221204913885
E4c,L4,1.25,0.25,7,0,0.5,0.6888985613759097,0.6768398331875434,0.012058728188366286,0.017816221204913885
E4c,L5,1.25,0.25,7,0,0.5,0.6888985613759097,0.6768398331875434,0.012058728188366286,0.017816221204913885
E4c,L6-hindsight,1.25,0.25,7,0,0.0,0.6768398331875434,0.6768398331875434,0.0,0.0
E4c,Default,1.25,0.25,7,1,0.1,0.1011334944713294,0.00843635527426506,0.09269713919706433,10.987818339020784
E4c,L1,1.25,0.25,7,1,0.06,0.13439499496174329,0.00843635527426506,0.12595863968747822,14.930457003359335
E4c,L2,1.25,0.25,7,1,0.5,0.00843635527426506,0.00843635527426506,0.0,0.0
E4c,L3,1.25,0.25,7,1,0.5,0.00843635527426506,0.00843635527426506,0.0,0.0
E4c,L4,1.25,0.25,7,1,0.5,0.00843635527426506,0.00843635527426506,0.0,0.0
E4c,L5,1.25,0.25,7,1,0.5,0.00843635527426506,0.00843635527426506,0.0,0.0
E4c,L6-hindsight,1.25,0.25,7,1,0.5,0.00843635527426506,0.00843635527426506,0.0,0.0
E4c,Default,1.25,0.25,7,2,0.1,0.2176055714434712,0.21065053686122026,0.006955034582250941,0.03301693262160078
E4c,L1,1.25,0.25,7,2,0.06,0.21492749683322368,0.21065053686122026,0.004276959972003419,0.020303579737948375
E4c,L2,1.25,0.25,7,2,0.5,0.239293924960096,0.21065053686122026,0.028643388098875733,0.13597586090058925
E4c,L3,1.25,0.25,7,2,0.5,0.239293924960096,0.21065053686122026,0.028643388098875733,0.13597586090058925
E4c,L4,1.25,0.25,7,2,0.5,0.239293924960096,0.21065053686122026,0.028643388098875733,0.13597586090058925
E4c,L5,1.25,0.25,7,2,0.5,0.239293924960096,0.21065053686122026,0.028643388098875733,0.13597586090058925
E4c,L6-hindsight,1.25,0.25,7,2,0.0,0.21065053686122026,0.21065053686122026,0.0,0.0
E4c,Default,1.25,0.25,7,3,0.1,0.0682729655055724,0.0641975657245666,0.004075399781005795,0.06348215442452913
E4c,L1,1.25,0.25,7,3,0.06,0.0641975657245666,0.0641975657245666,0.0,0.0
E4c,L2,1.25,0.25,7,3,0.5,0.1294186356554573,0.0641975657245666,0.0652210699308907,1.0159430376334728
E4c,L3,1.25,0.25,7,3,0.5,0.1294186356554573,0.0641975657245666,0.0652210699308907,1.0159430376334728
E4c,L4,1.25,0.25,7,3,0.5,0.1294186356554573,0.0641975657245666,0.0652210699308907,1.0159430376334728
E4c,L5,1.25,0.25,7,3,0.5,0.1294186356554573,0.0641975657245666,0.0652210699308907,1.0159430376334728
E4c,L6-hindsight,1.25,0.25,7,3,0.06,0.0641975657245666,0.0641975657245666,0.0,0.0
E4c,Default,1.25,0.25,7,4,0.1,0.9624458698370042,0.9616446804514056,0.0008011893855985885,0.0008331449254442943
E4c,L1,1.25,0.25,7,4,0.06,0.9621276153795936,0.9616446804514056,0.00048293492818796135,0.0005021968487999818
E4c,L2,1.25,0.25,7,4,0.5,0.9654599763809238,0.9616446804514056,0.0038152959295182365,0.00396746948959079
E4c,L3,1.25,0.25,7,4,0.5,0.9654599763809238,0.9616446804514056,0.0038152959295182365,0.00396746948959079
E4c,L4,1.25,0.25,7,4,0.5,0.9654599763809238,0.9616446804514056,0.0038152959295182365,0.00396746948959079
E4c,L5,1.25,0.25,7,4,0.5,0.9654599763809238,0.9616446804514056,0.0038152959295182365,0.00396746948959079
E4c,L6-hindsight,1.25,0.25,7,4,0.0,0.9616446804514056,0.9616446804514056,0.0,0.0
E4c,Default,1.25,0.25,7,5,0.1,3.971445499610321,3.971445499610321,0.0,0.0
E4c,L1,1.25,0.25,7,5,0.06,3.971445499610321,3.971445499610321,0.0,0.0
E4c,L2,1.25,0.25,7,5,0.5,10.015851239686695,3.971445499610321,6.044405740076375,1.521966180996177
E4c,L3,1.25,0.25,7,5,0.5,10.015851239686695,3.971445499610321,6.044405740076375,1.521966180996177
E4c,L4,1.25,0.25,7,5,0.5,10.015851239686695,3.971445499610321,6.044405740076375,1.521966180996177
E4c,L5,1.25,0.25,7,5,0.5,10.015851239686695,3.971445499610321,6.044405740076375,1.521966180996177
E4c,L6-hindsight,1.25,0.25,7,5,0.0,3.971445499610321,3.971445499610321,0.0,0.0
E4c,Default,1.25,0.25,7,6,0.1,0.2283287102074153,0.18022543963973373,0.04810327056768157,0.2669061075053491
E4c,L1,1.25,0.25,7,6,0.06,0.21288031776887645,0.18022543963973373,0.03265487812914272,0.1811890607364811
E4c,L2,1.25,0.25,7,6,0.5,0.3043048094412013,0.18022543963973373,0.12407936980146758,0.6884675662298243
E4c,L3,1.25,0.25,7,6,0.5,0.3043048094412013,0.18022543963973373,0.12407936980146758,0.6884675662298243
E4c,L4,1.25,0.25,7,6,0.5,0.3043048094412013,0.18022543963973373,0.12407936980146758,0.6884675662298243
E4c,L5,1.25,0.25,7,6,0.5,0.3043048094412013,0.18022543963973373,0.12407936980146758,0.6884675662298243
E4c,L6-hindsight,1.25,0.25,7,6,0.0,0.18022543963973373,0.18022543963973373,0.0,0.0
E4c,Default,1.25,0.25,7,7,0.1,0.4629768708839216,0.45016415219408235,0.012812718689839242,0.02846232563697166
E4c,L1,1.25,0.25,7,7,0.06,0.4580913224271148,0.45016415219408235,0.007927170233032466,0.017609510207322706
E4c,L2,1.25,0.25,7,7,0.5,0.5007832057993327,0.45016415219408235,0.05061905360525032,0.11244576752399107
E4c,L3,1.25,0.25,7,7,0.5,0.5007832057993327,0.45016415219408235,0.05061905360525032,0.11244576752399107
