fold,test_beta,test_gamma_over_eta,test_n
combo_fold_1,1.5,0.1,7
combo_fold_1,1.5,0.5,20
combo_fold_1,2.0,0.1,10
combo_fold_1,2.0,1.0,7
combo_fold_1,2.5,0.1,20
combo_fold_1,2.5,1.0,10
combo_fold_1,4.0,0.5,7
combo_fold_1,4.0,1.0,20
combo_fold_1,5.0,0.5,10
combo_fold_2,1.5,0.1,10
combo_fold_2,1.5,1.0,7
combo_fold_2,2.0,0.1,20
combo_fold_2,2.0,1.0,10
combo_fold_2,2.5,0.5,7
combo_fold_2,2.5,1.0,20
combo_fold_2,4.0,0.5,10
combo_fold_2,5.0,0.1,7
combo_fold_2,5.0,0.5,20
combo_fold_3,1.5,0.1,20
combo_fold_3,1.5,1.0,10
combo_fold_3,2.0,0.5,7
combo_fold_3,2.0,1.0,20
combo_fold_3,2.5,0.5,10
combo_fold_3,4.0,0.1,7
combo_fold_3,4.0,0.5,20
combo_fold_3,5.0,0.1,10
combo_fold_3,5.0,1.0,7
combo_fold_4,1.5,0.5,7
combo_fold_4,1.5,1.0,20
combo_fold_4,2.0,0.5,10
combo_fold_4,2.5,0.1,7
combo_fold_4,2.5,0.5,20
combo_fold_4,4.0,0.1,10
combo_fold_4,4.0,1.0,7
combo_fold_4,5.0,0.1,20
combo_fold_4,5.0,1.0,10
combo_fold_5,1.5,0.5,10
combo_fold_5,2.0,0.1,7
combo_fold_5,2.0,0.5,20
combo_fold_5,2.5,0.1,10
combo_fold_5,2.5,1.0,7
combo_fold_5,4.0,0.1,20
combo_fold_5,4.0,1.0,10
combo_fold_5,5.0,0.5,7
combo_fold_5,5.0,1.0,20
