track,model,beta,gamma_over_eta,n,repeat_id,selected_delta,true_loss,oracle_min,regret,rel_regret
E4b,Default,1.2,0.0,5,0,0.1,0.29341312940980974,0.28042148454288407,0.012991644866925667,0.04632899254528727
E4b,L1,1.2,0.0,5,0,0.04,0.28600801127708647,0.28042148454288407,0.005586526734202402,0.019921892729827802
E4b,L2,1.2,0.0,5,0,0.06,0.2885927136123219,0.28042148454288407,0.008171229069437846,0.02913909782182985
E4b,L3,1.2,0.0,5,0,0.12,0.2956700945644243,0.28042148454288407,0.01524861002154021,0.05437746699899623
E4b,L4,1.2,0.0,5,0,0.12,0.2956700945644243,0.28042148454288407,0.01524861002154021,0.05437746699899623
E4b,L5,1.2,0.0,5,0,0.12,0.2956700945644243,0.28042148454288407,0.01524861002154021,0.05437746699899623
E4b,L6-hindsight,1.2,0.0,5,0,0.0,0.28042148454288407,0.28042148454288407,0.0,0.0
E4b,Default,1.2,0.0,5,1,0.1,0.7535285924382824,0.7531538866650151,0.00037470577326725873,0.0004975155541272788
E4b,L1,1.2,0.0,5,1,0.04,0.7533047635267336,0.7531538866650151,0.00015087686171844084,0.00020032673851890677
E4b,L2,1.2,0.0,5,1,0.06,0.753379701602923,0.7531538866650151,0.00022581493790785334,0.0002998257619140329
E4b,L3,1.2,0.0,5,1,0.12,0.7536025511932108,0.7531538866650151,0.0004486645281956969,0.000595714283813093
E4b,L4,1.2,0.0,5,1,0.12,0.7536025511932108,0.7531538866650151,0.0004486645281956969,0.000595714283813093
E4b,L5,1.2,0.0,5,1,0.12,0.7536025511932108,0.7531538866650151,0.0004486645281956969,0.000595714283813093
E4b,L6-hindsight,1.2,0.0,5,1,0.0,0.7531538866650151,0.7531538866650151,0.0,0.0
E4b,Default,1.2,0.0,5,2,0.1,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,L1,1.2,0.0,5,2,0.04,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,L2,1.2,0.0,5,2,0.06,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,L3,1.2,0.0,5,2,0.12,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,L4,1.2,0.0,5,2,0.12,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,L5,1.2,0.0,5,2,0.12,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,L6-hindsight,1.2,0.0,5,2,0.0,0.051081743081553485,0.051081743081553485,0.0,0.0
E4b,Default,1.2,0.0,5,3,0.1,0.7513384893361814,0.7490273436212588,0.0023111457149226355,0.0030855291660637327
E4b,L1,1.2,0.0,5,3,0.04,0.7499731061470785,0.7490273436212588,0.0009457625258196822,0.0012626542059830347
E4b,L2,1.2,0.0,5,3,0.06,0.7504351090281296,0.7490273436212588,0.00140776540687082,0.0018794579648652296
E4b,L3,1.2,0.0,5,3,0.12,0.7517802963664827,0.7490273436212588,0.0027529527452239133,0.003675370156601289
E4b,L4,1.2,0.0,5,3,0.12,0.7517802963664827,0.7490273436212588,0.0027529527452239133,0.003675370156601289
E4b,L5,1.2,0.0,5,3,0.12,0.7517802963664827,0.7490273436212588,0.0027529527452239133,0.003675370156601289
E4b,L6-hindsight,1.2,0.0,5,3,0.0,0.7490273436212588,0.7490273436212588,0.0,0.0
E4b,Default,1.2,0.0,5,4,0.1,0.3945303524465961,0.36863722880024685,0.02589312364634927,0.07024012124499762
E4b,L1,1.2,0.0,5,4,0.04,0.38013556369342094,0.36863722880024685,0.01149833489317409,0.03119146411390989
E4b,L2,1.2,0.0,5,4,0.06,0.3852548621195928,0.36863722880024685,0.01661763331934596,0.04507855425625105
E4b,L3,1.2,0.0,5,4,0.12,0.39876935489346776,0.36863722880024685,0.030132126093220912,0.08173923776306538
E4b,L4,1.2,0.0,5,4,0.12,0.39876935489346776,0.36863722880024685,0.030132126093220912,0.08173923776306538
