pooled_J1,n_samples,per_n_J1,endpoint_rate,mean_regret,near_0.01,near_0.02,near_0.05,fold,seed,model,train_elapsed_s,n_iter
0.5767319932399171,17000,"{5: 0.7877825500462502, 6: 0.5922762623244843, 7: 0.7551301331343729, 8: 0.5556014061937211, 10: 0.5821432841281109, 12: 0.43719959647628875, 15: 0.48221670970785074, 18: 0.40371607788949504, 20: 0.502823219070834, 25: 0.4284048376068904, 30: 0.4959282300573833, 35: 0.3908220770862002, 45: 0.5120618826413834, 50: 0.37887951688102656}",0.701,0.0779003753978385,0.42464705882352943,0.4565294117647059,0.5042941176470588,combo_fold_1,42,Vector-MLP-L6,29.949928045272827,59
0.5657911116567564,17000,"{5: 0.7859182656678844, 6: 0.5985694650686019, 7: 0.7517668770217802, 8: 0.5503835141253761, 10: 0.5657442097895039, 12: 0.441191402074549, 15: 0.4717604481494699, 18: 0.3999559016778909, 20: 0.48071874680509347, 25: 0.41038604560734937, 30: 0.4825067473353659, 35: 0.38099007255725004, 45: 0.4710291444234574, 50: 0.3551163835479683}",0.7085294117647059,0.0654001654011389,0.44988235294117646,0.4828823529411765,0.5371176470588235,combo_fold_1,2026,Vector-MLP-L6,43.70573043823242,99
0.5606323043949567,17000,"{5: 0.7821462484695352, 6: 0.5994427735878557, 7: 0.7477391990818325, 8: 0.5637565290760772, 10: 0.561082852251766, 12: 0.44205385725100704, 15: 0.4756330352264322, 18: 0.4001479615141216, 20: 0.4799403926473587, 25: 0.4123423379405277, 30: 0.4690756319453693, 35: 0.3808018223204733, 45: 0.45774359947406174, 50: 0.3268982670742853}",0.7521764705882353,0.05958916410255017,0.5518823529411765,0.5664117647058824,0.5918823529411765,combo_fold_1,3407,Vector-MLP-L6,47.192378520965576,92
0.5750638326686803,17000,"{5: 0.8183640226773135, 6: 0.5807413325459448, 7: 0.7378563629243129, 8: 0.5984649248786633, 10: 0.5754979332238916, 12: 0.44370897177517704, 15: 0.4834194305808077, 18: 0.40389940044693534, 20: 0.4792152399022598, 25: 0.4428407682849987, 30: 0.4722507989162366, 35: 0.37784033632765424, 45: 0.5044322688559585, 50: 0.3313351306717659}",0.6945294117647058,0.07597899501494262,0.44141176470588234,0.4733529411764706,0.5241176470588236,combo_fold_2,42,Vector-MLP-L6,41.42505502700806,80
0.5766309228261872,17000,"{5: 0.8127007720669464, 6: 0.5910078057558221, 7: 0.7461446007598196, 8: 0.599036551228071, 10: 0.5795319108120371, 12: 0.4378791362311385, 15: 0.47396969663431426, 18: 0.4019903902496199, 20: 0.49609218845793596, 25: 0.43262187112020356, 30: 0.48664697875860125, 35: 0.38060274399993627, 45: 0.4889724761272124, 50: 0.33018638106840004}",0.6579411764705883,0.07778380453073101,0.39947058823529413,0.433,0.4878823529411765,combo_fold_2,2026,Vector-MLP-L6,31.630338430404663,76
0.5719603223123397,17000,"{5: 0.8103470044194204, 6: 0.584267469604403, 7: 0.7390128139213172, 8: 0.5747237902322218, 10: 0.5792360098660597, 12: 0.4352562487633869, 15: 0.4750135188634685, 18: 0.4017365456447637, 20: 0.4856047949114304, 25: 0.42840174581506824, 30: 0.464442559455766, 35: 0.361712218714225, 45: 0.505774679891395, 50: 0.3273211384678623}",0.6814117647058824,0.07241919367098634,0.45705882352941174,0.4823529411764706,0.5237058823529411,combo_fold_2,3407,Vector-MLP-L6,27.090952396392822,60
0.5827745833086873,17000,"{5: 0.8055364408552189, 6: 0.5927401669978518, 7: 0.7429405142820701, 8: 0.5705745081547781, 10: 0.568765703729289, 12: 0.43143079720936667, 15: 0.486365414401087, 18: 0.40652418824430087, 20: 0.49078861656277445, 25: 0.4217911783225413, 30: 0.4678949850471461, 35: 0.3806890893165576, 45: 0.7424493056883646, 50: 0.3660824772939075}",0.5794117647058824,0.0849067983219648,0.3915882352941176,0.42276470588235293,0.4742941176470588,combo_fold_3,42,Vector-MLP-L6,57.03072500228882,115
0.5677323416823544,17000,"{5: 0.7932294458660777, 6: 0.5955407360946454, 7: 0.7592819311222827, 8: 0.57262348327124, 10: 0.56595795241681, 12: 0.4754303867898662, 15: 0.47958301797576525, 18: 0.4038683222398723, 20: 0.4893106636007907, 25: 0.42126596239986036, 30: 0.45500773614525053, 35: 0.38122223354406426, 45: 0.47032876550104163, 50: 0.324253475015165}",0.6647647058823529,0.0676005951634804,0.4794705882352941,0.4980588235294118,0.5292941176470588,combo_fold_3,2026,Vector-MLP-L6,12.894802570343018,34
0.5836512305908093,17000,"{5: 0.839778726520801, 6: 0.5897551117346783, 7: 0.7418431639164988, 8: 0.5707207621361731, 10: 0.5730747537768248, 12: 0.44834206557928935, 15: 0.4734013893402657, 18: 0.3976477876607737, 20: 0.4789181279089553, 25: 0.4251291055627782, 30: 0.4492501659607219, 35: 0.3588276733169808, 45: 0.5593257327259034, 50: 0.35917112373368737}",0.5987058823529412,0.08592934234151679,0.47452941176470587,0.49876470588235294,0.5385294117647059,combo_fold_3,3407,Vector-MLP-L6,79.77456569671631,157
0.5795681987951882,17000,"{5: 0.823102059226655, 6: 0.6042623705968297, 7: 0.7533371886045905, 8: 0.5814305212448201, 10: 0.5751233203362848, 12: 0.44186645524150475, 15: 0.4687492288348574, 18: 0.41459081441261725, 20: 0.5019788273878493, 25: 0.43348218931355986, 30: 0.49363537039233885, 35: 0.396055738004193, 45: 0.4794559998578094, 50: 0.3161557544167448}",0.5254117647058824,0.08117988042604948,0.3143529411764706,0.35358823529411765,0.42517647058823527,combo_fold_4,42,Vector-MLP-L6,48.87692713737488,99
0.5742664249397691,17000,"{5: 0.8131405496215538, 6: 0.6524685975118156, 7: 0.7586957352164773, 8: 0.5824177297893871, 10: 0.5590770925702451, 12: 0.44059824621121263, 15: 0.49259236594652683, 18: 0.4168043854841852, 20: 0.4829176161716799, 25: 0.44497331853351924, 30: 0.46702877223259737, 35: 0.3593680893659316, 45: 0.4748443604695979, 50: 0.32590221535843983}",0.756,0.0750625101844542,0.5168235294117647,0.5335882352941177,0.5637058823529412,combo_fold_4,2026,Vector-MLP-L6,46.307157039642334,106
0.5725519675864331,17000,"{5: 0.8135023449852135, 6: 0.6436175745840523, 7: 0.7427460414910495, 8: 0.571925407571344, 10: 0.5673669751362816, 12: 0.42786988340581095, 15: 0.4893411032314247, 18: 0.4194242759837169, 20: 0.481687429678694, 25: 0.42565366355768003, 30: 0.4702911110949369, 35: 0.38277405397221986, 45: 0.49868711291340445, 50: 0.3143209977885421}",0.6734117647058824,0.07309633895844662,0.4585294117647059,0.48476470588235293,0.5363529411764706,combo_fold_4,3407,Vector-MLP-L6,72.0086522102356,142
0.5690527204726672,17000,"{5: 0.7970027550745196, 6: 0.5903415921855586, 7: 0.7666726927026036, 8: 0.5579721790398049, 10: 0.5772957816224275, 12: 0.4378397321558515, 15: 0.4706616800251991, 18: 0.40813233136218335, 20: 0.5057712969830669, 25: 0.44822822100147464, 30: 0.4604928025332543, 35: 0.3615023148280451, 45: 0.45000283967378774, 50: 0.2983717023780238}",0.5111764705882353,0.06910158204869424,0.33852941176470586,0.37429411764705883,0.44076470588235295,combo_fold_5,42,Vector-MLP-L6,41.070342779159546,80
