track,model,mean_regret,mean_rel_regret,near_1pct_rate,near_2pct_rate,near_5pct_rate
E4b,Default,0.18921197348346283,12.941089918372978,0.1923,0.2343,0.3041
E4b,L1,0.13596451985066482,8.944903610927282,0.2915,0.338,0.4032
E4b,L2,0.11115546416936505,8.107652601496971,0.3781,0.4127,0.4708
E4b,L3,0.08699158468513452,6.850733676940473,0.3091,0.3529,0.43
E4b,L4,0.06829325784085834,3.875138677228823,0.4174,0.4441,0.4988
E4b,L5,0.062449070333083896,2.2146050385627665,0.4595,0.4844,0.534
E4b,L6-hindsight,0.0,0.0,1.0,1.0,1.0
E4c,Default,0.17086083183384435,8.699620302880467,0.08514285714285715,0.114,0.16757142857142857
E4c,L1,0.14584214258816455,8.3490035789346,0.14114285714285715,0.1717142857142857,0.23257142857142857
E4c,L2,0.08115067207249979,5.032192455911385,0.22285714285714286,0.24428571428571427,0.29114285714285715
E4c,L3,0.08115067207249979,5.032192455911385,0.22285714285714286,0.24428571428571427,0.29114285714285715
E4c,L4,0.08115067207249979,5.032192455911385,0.22285714285714286,0.24428571428571427,0.29114285714285715
E4c,L5,0.08115067207249979,5.032192455911385,0.22285714285714286,0.24428571428571427,0.29114285714285715
E4c,L6-hindsight,0.0,0.0,1.0,1.0,1.0
