fold,feature_group,n_features,seed,pooled_J1,n_samples,n_iter,endpoint_rate,near_1pct,near_2pct,near_5pct,mean_regret,J1_n7,J1_n10,J1_n20,elapsed_s
combo_fold_1,full,13,42,0.5285176727257636,9000,59,0.48833333333333334,0.29544444444444445,0.33666666666666667,0.4112222222222222,0.049110472724448004,0.6164614608730298,0.5608082408757563,0.37876401013626104,34.25480318069458
combo_fold_1,full,13,2026,0.530851569099756,9000,90,0.504,0.33955555555555555,0.36922222222222223,0.4251111111111111,0.05158293075666368,0.6211365701626863,0.5618981257707267,0.37930202043872363,51.43421506881714
combo_fold_1,full,13,3407,0.5260976416234857,9000,92,0.6077777777777778,0.45466666666666666,0.4716666666666667,0.5031111111111111,0.046558270862784266,0.6163301069529381,0.5528855450377373,0.38051407190416087,54.164745569229126
combo_fold_1,n,1,42,0.6062150701836859,9000,57,0.0,0.10877777777777778,0.14044444444444446,0.212,0.13727625365880197,0.6930842876761372,0.6432356915124504,0.4564779833621718,31.215036630630493
combo_fold_1,n,1,2026,0.6074195584351965,9000,27,0.0,0.09777777777777778,0.128,0.19655555555555557,0.13873806231059968,0.6930842876761372,0.6507690157809454,0.45056566467584747,11.187693119049072
combo_fold_1,n,1,3407,0.6045122707959018,9000,51,0.0,0.11888888888888889,0.15333333333333332,0.22311111111111112,0.13521462788380822,0.6991418363538058,0.631770369670726,0.4564779833621718,27.090582132339478
combo_fold_1,scale_quantile,10,42,0.5350274668512206,9000,70,0.5537777777777778,0.277,0.31966666666666665,0.399,0.05603393262622463,0.62353645741752,0.5636254951572532,0.3902457665826143,40.953840255737305
combo_fold_1,scale_quantile,10,2026,0.5312854740465136,9000,148,0.5272222222222223,0.305,0.34833333333333333,0.4147777777777778,0.05204379727381934,0.6215789733825665,0.5564859111882112,0.3882728104003513,445.5917913913727
combo_fold_1,scale_quantile,10,3407,0.5341552304056503,9000,59,0.3781111111111111,0.30233333333333334,0.328,0.38155555555555554,0.055101352510703916,0.6217237877554368,0.5644964587044782,0.38828946722551694,271.0961356163025
combo_fold_1,shape,4,42,0.5444382079010848,9000,91,0.5744444444444444,0.32944444444444443,0.35633333333333334,0.4033333333333333,0.06619250456353547,0.6220792600480476,0.5733977791741488,0.41649882079528394,670.890242099762
combo_fold_1,shape,4,2026,0.5436990491467534,9000,90,0.5862222222222222,0.3788888888888889,0.3953333333333333,0.42766666666666664,0.06538819838407436,0.6244219203898259,0.5712411050547188,0.4130458005618707,364.30908942222595
combo_fold_1,shape,4,3407,0.5535086372929537,9000,87,0.615,0.33211111111111113,0.3642222222222222,0.4171111111111111,0.0761513538988933,0.6245597528436031,0.5721880797732919,0.44904493223618314,581.3698654174805
combo_fold_2,full,13,42,0.5490084561392602,9000,80,0.502,0.3181111111111111,0.3488888888888889,0.40955555555555556,0.0663423809737773,0.6841986959758428,0.5176033199030007,0.41010950048443157,356.9047169685364
combo_fold_2,full,13,2026,0.5392712895110615,9000,76,0.444,0.3207777777777778,0.3496666666666667,0.4063333333333333,0.055745619752286465,0.6652953768119158,0.5150333717066953,0.40566397263485626,291.47066164016724
combo_fold_2,full,13,3407,0.5476911939580164,9000,60,0.5957777777777777,0.39166666666666666,0.4221111111111111,0.4737777777777778,0.0648977400005209,0.6856207242422796,0.5189784655056815,0.4006026792825189,118.01795792579651
combo_fold_2,n,1,42,0.6422730016871205,9000,38,0.0,0.11244444444444444,0.14244444444444446,0.20555555555555555,0.1774467047575473,0.80398146348921,0.5963032912208514,0.4853658592582307,98.24308228492737
combo_fold_2,n,1,2026,0.6335585220720996,9000,44,0.0,0.10255555555555555,0.13366666666666666,0.19455555555555556,0.16632849695154656,0.7829633262268735,0.5963032912208514,0.4853658592582307,214.23958373069763
combo_fold_2,n,1,3407,0.6322768627089526,9000,25,0.0,0.11333333333333333,0.147,0.21122222222222223,0.16470612717843908,0.7829633262268735,0.5963032912208514,0.4803258352557753,78.50611734390259
combo_fold_2,scale_quantile,10,42,0.5398383470946784,9000,98,0.5451111111111111,0.4132222222222222,0.42777777777777776,0.46244444444444444,0.05635753705527786,0.6603379439578104,0.5202024813920272,0.40941360639931446,430.56969380378723
combo_fold_2,scale_quantile,10,2026,0.5406958896613956,9000,62,0.5061111111111111,0.3601111111111111,0.38455555555555554,0.43655555555555553,0.057284141158091516,0.6661993053820551,0.5215934489559354,0.4014659323092107,282.49850034713745
combo_fold_2,scale_quantile,10,3407,0.5460917318815712,9000,55,0.5397777777777778,0.35933333333333334,0.38555555555555554,0.4361111111111111,0.06314827569077726,0.6743127905196185,0.5225041141579544,0.40858322300101624,242.46986269950867
combo_fold_2,shape,4,42,0.5870950639002911,9000,91,0.4871111111111111,0.29044444444444445,0.3011111111111111,0.3362222222222222,0.1096127101174503,0.7327700466340085,0.541722402223062,0.45125019651400583,681.7284717559814
combo_fold_2,shape,4,2026,0.5837115481543926,9000,124,0.5426666666666666,0.291,0.3161111111111111,0.3611111111111111,0.10565126751016128,0.7235642218633864,0.5441785218371772,0.44998007462189993,1035.2434358596802
combo_fold_2,shape,4,3407,0.5835932229122541,9000,100,0.4118888888888889,0.2633333333333333,0.2861111111111111,0.3373333333333333,0.10551314589047532,0.7231844150351454,0.5465326246655411,0.44726898116659647,792.2721996307373
combo_fold_3,full,13,42,0.5482044616482739,9000,97,0.5582222222222222,0.36922222222222223,0.402,0.45411111111111113,0.0448662102769546,0.6872892611137579,0.5421961340876599,0.36775157246614537,429.09017062187195
combo_fold_3,full,13,2026,0.5550501878846684,9000,34,0.5045555555555555,0.39244444444444443,0.4142222222222222,0.4524444444444444,0.05241878957668656,0.6989392841298699,0.5431210386703978,0.37516069579052447,83.12297344207764
combo_fold_3,full,13,3407,0.5506704024666024,9000,151,0.5828888888888889,0.3884444444444444,0.42277777777777775,0.47933333333333333,0.04757597065861063,0.688769464968967,0.5418373411997606,0.37646061715155127,750.0474925041199
combo_fold_3,n,1,42,0.665383783168316,9000,63,0.0,0.09333333333333334,0.12944444444444445,0.1991111111111111,0.18707365740926152,0.8059304661149205,0.6820108542187602,0.46210822890933895,454.44559121131897
combo_fold_3,n,1,2026,0.6584502219681241,9000,65,0.0,0.09144444444444444,0.12688888888888888,0.19533333333333333,0.17789477331575265,0.7957309659128131,0.6737494334627311,0.46210822890933895,471.15281438827515
combo_fold_3,n,1,3407,0.665383783168316,9000,53,0.0,0.09333333333333334,0.12944444444444445,0.1991111111111111,0.18707365740926152,0.8059304661149205,0.6820108542187602,0.46210822890933895,335.49193000793457
combo_fold_3,scale_quantile,10,42,0.5574419846911601,9000,89,0.535,0.399,0.4221111111111111,0.4653333333333333,0.05507964480230041,0.6991318879064935,0.5485189523545307,0.3775794765469239,464.56094694137573
combo_fold_3,scale_quantile,10,2026,0.5595525349213816,9000,59,0.47688888888888886,0.3131111111111111,0.3413333333333333,0.39255555555555555,0.05743711784282474,0.6938735004082165,0.5605320916924044,0.3789992844650483,247.8619384765625
combo_fold_3,scale_quantile,10,3407,0.5633680037818932,9000,57,0.42177777777777775,0.2298888888888889,0.2732222222222222,0.35644444444444445,0.061721586191076136,0.7097828524072348,0.5533324233536424,0.37707035782439985,231.66632628440857
combo_fold_3,shape,4,42,0.6055921475704881,9000,96,0.41444444444444445,0.2668888888888889,0.29,0.3397777777777778,0.11107992770491659,0.7194669002258481,0.6322455190811082,0.4276196097916662,735.4090192317963
combo_fold_3,shape,4,2026,0.6041260060984114,9000,102,0.4826666666666667,0.2826666666666667,0.31033333333333335,0.357,0.10930630975029862,0.7197103518599336,0.6312524537685251,0.42242400827855436,831.8900406360626
combo_fold_3,shape,4,3407,0.6038420308436792,9000,112,0.46955555555555556,0.31477777777777777,0.3362222222222222,0.37877777777777777,0.10896327671929965,0.7188653026528333,0.6279374673896,0.42755445071995446,914.3833382129669
combo_fold_4,full,13,42,0.5599290792357975,9000,99,0.42877777777777776,0.2747777777777778,0.31222222222222223,0.37755555555555553,0.06030239094248719,0.6444073183727688,0.5934209254588798,0.41611601095930884,483.84068632125854
combo_fold_4,full,13,2026,0.5566066538413509,9000,136,0.5034444444444445,0.4191111111111111,0.43877777777777777,0.4787777777777778,0.05659278426910464,0.6483088954931768,0.5893269282644215,0.4022713623267693,546.9312260150909
combo_fold_4,full,13,3407,0.5509103260929694,9000,142,0.5321111111111111,0.4028888888888889,0.4281111111111111,0.4751111111111111,0.05028400456450111,0.6426142304459382,0.5848848375250014,0.3942882699869641,721.1361885070801
combo_fold_4,n,1,42,0.6450484381386011,9000,34,0.0,0.10466666666666667,0.13577777777777778,0.20066666666666666,0.16286930471368793,0.7135642183833756,0.6917667001766432,0.5104384403674813,161.00044655799866
combo_fold_4,n,1,2026,0.6487035915772769,9000,58,0.0,0.11433333333333333,0.14544444444444443,0.20977777777777779,0.16759816689389756,0.723436576555061,0.6917667001766432,0.5104384403674813,404.0799527168274
combo_fold_4,n,1,3407,0.6475854928101361,9000,27,0.0,0.08622222222222223,0.11344444444444444,0.17666666666666667,0.16614878766678615,0.7096941951888706,0.7026662520117973,0.5105831950753525,90.0585310459137
combo_fold_4,scale_quantile,10,42,0.567147245754023,9000,93,0.32133333333333336,0.24655555555555556,0.2787777777777778,0.3427777777777778,0.0684378155350134,0.6519668090327407,0.6002829538111075,0.42375423346864616,489.2764730453491
combo_fold_4,scale_quantile,10,2026,0.5610171232562965,9000,64,0.41133333333333333,0.22088888888888888,0.26655555555555555,0.3423333333333333,0.061522029755409754,0.6446350598224745,0.6003353839969651,0.41019959060096933,294.050772190094
combo_fold_4,scale_quantile,10,3407,0.563410506296485,9000,116,0.48633333333333334,0.3393333333333333,0.3665555555555556,0.41833333333333333,0.0642132157739008,0.6574606386475395,0.592419377878283,0.4111921511401482,615.2839596271515
combo_fold_4,shape,4,42,0.5993315929760046,9000,102,0.39111111111111113,0.3078888888888889,0.3302222222222222,0.37322222222222223,0.10598017550779443,0.6435416971842068,0.6397025889932347,0.5042120155629861,787.3904585838318
combo_fold_4,shape,4,2026,0.5960617335751144,9000,87,0.362,0.25133333333333335,0.28355555555555556,0.33755555555555555,0.10207140740120983,0.6422900371725686,0.6402535606968365,0.49336361525916633,655.9801986217499
combo_fold_4,shape,4,3407,0.5981966901728791,9000,101,0.51,0.27455555555555555,0.30944444444444447,0.36666666666666664,0.10462109730242673,0.640160825255714,0.6384790969075588,0.5060201587104944,790.1320700645447
