track,reference_model,n_models,l6_win_rate_mean,l6_win_rate_median,l6_win_rate_sd,l6_win_rate_min,l6_win_rate_max,median_loss_diff_mean,median_loss_diff_median,median_loss_diff_sd,median_loss_diff_min,median_loss_diff_max,mean_loss_diff_mean,mean_loss_diff_median,mean_loss_diff_sd,mean_loss_diff_min,mean_loss_diff_max,l6_J1_common_mean,l6_J1_common_median,l6_J1_common_sd,l6_J1_common_min,l6_J1_common_max,ref_J1_common_mean,ref_J1_common_median,ref_J1_common_sd,ref_J1_common_min,ref_J1_common_max
E4b_boundary,Default,15,0.6980740740740742,0.7013333333333334,0.021856944971880718,0.6655555555555556,0.7326666666666667,-0.03509426997951522,-0.03571892680261665,0.006086772566862741,-0.0437341624529774,-0.018904096266836645,-0.14717923713991202,-0.14983264844390057,0.009588551882033088,-0.16075860381518836,-0.12777332025582286,0.5410096971265068,0.5383049562550228,0.008865173111093074,0.5283802817558805,0.5563799038801025,0.6752173558457316,0.6752173558457317,1.1491900087240784e-16,0.6752173558457317,0.6752173558457317
E4b_boundary,L1,15,0.6706814814814817,0.6775555555555556,0.026763114824488583,0.62,0.7153333333333334,-0.01981670534408915,-0.01991681496581188,0.0050007283830716415,-0.02764138237253589,-0.010127693011230232,-0.12278740539849943,-0.12544081670248802,0.009588551882033083,-0.1363667720737758,-0.10338148851441031,0.5410096971265068,0.5383049562550228,0.008865173111093074,0.5283802817558805,0.5563799038801025,0.65461763197207,0.6546176319720702,2.298380017448157e-16,0.6546176319720702,0.6546176319720702
E4b_boundary,L2,15,0.6820296296296297,0.6868888888888889,0.025671492251197477,0.6353333333333333,0.7211111111111111,-0.026294929573365045,-0.02678577141316501,0.0056016343077408175,-0.034300608243599894,-0.0129626898755891,-0.13498658706067043,-0.137639998364659,0.009588551882033093,-0.1485659537359468,-0.11558067017658126,0.5410096971265068,0.5383049562550228,0.008865173111093074,0.5283802817558805,0.5563799038801025,0.6679823775681081,0.6679823775681079,2.298380017448157e-16,0.6679823775681079,0.6679823775681079
E4c_offgrid,Default,15,0.7649777777777779,0.7633333333333333,0.023036019644422114,0.728,0.802,-0.0685492978229318,-0.06855892385659283,0.009459522101111508,-0.08776737146384106,-0.0561278301237782,-0.12265050034061523,-0.11991099816042908,0.007178030169103834,-0.13607418746988154,-0.11153693630170883,0.5387136298379711,0.5384203967217639,0.011889539053199972,0.5199818222411516,0.5625809251913483,0.632471820498253,0.6324718204982529,1.1491900087240784e-16,0.6324718204982529,0.6324718204982529
E4c_offgrid,L1,15,0.7404,0.7333333333333333,0.022246526391954687,0.7026666666666667,0.7826666666666666,-0.050249274277072944,-0.0512887613930087,0.007838582205318747,-0.06542058597616882,-0.03502061153609224,-0.10757187733047033,-0.10483237515028418,0.007178030169103828,-0.12099556445973661,-0.09645831329156393,0.5387136298379711,0.5384203967217639,0.011889539053199972,0.5199818222411516,0.5625809251913483,0.6262976749755296,0.6262976749755298,2.298380017448157e-16,0.6262976749755298,0.6262976749755298
E4c_offgrid,L2,15,0.7493333333333333,0.7426666666666667,0.025172421290984178,0.7073333333333334,0.7913333333333333,-0.05407065857057636,-0.054501867193960066,0.008527033852094955,-0.07140920996832165,-0.036814456317984225,-0.10644968449609388,-0.10371018231590773,0.00717803016910383,-0.11987337162536019,-0.09533612045718748,0.5387136298379711,0.5384203967217639,0.011889539053199972,0.5199818222411516,0.5625809251913483,0.6200458566928322,0.6200458566928323,1.1491900087240784e-16,0.6200458566928323,0.6200458566928323
