selected_delta,count
0.0,30314
0.02,31974
0.04,14933
0.06,10249
0.08,6757
0.1,5233
0.12,4289
0.14,2939
0.16,2375
0.18,2429
0.2,2145
0.22,1663
0.24,1865
0.26,1583
0.28,1291
0.3,1776
0.32,1246
0.34,1069
0.36,1039
0.38,1192
0.4,1167
0.42,1272
0.44,1397
0.46,1074
0.48,1744
0.5,1985
