layer,J1,n_selected_samples,J1_n7,J1_n10,J1_n15,J1_n20
Default,0.6304091999323667,48000,0.7633086673112073,0.6571370100580289,0.565086817868696,0.505836687210487
L1,0.6251984059542767,48000,0.7538492414987034,0.6535482908298477,0.5628181396607521,0.5013121597818057
L2,0.6230353862087367,48000,0.7491369945178913,0.6526376838419709,0.5609537116222194,0.5008803453564767
L3,0.5905262652903408,48000,0.7199227172431429,0.6119094097463817,0.5271957729071228,0.47352703458300816
L4,0.588513945288772,48000,0.7166286779028069,0.6121563594352502,0.5249890805769349,0.4706262318259186
L5,0.5812940624817639,48000,0.7127128984938877,0.6029732383224465,0.5161545481882651,0.4622328729960283
L6,0.4922971152637207,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
