model,split,seed,J1,failure_rate,n_samples,J1_n7,J1_n10,J1_n15,J1_n20
Mean-Normalized-MLP,gamma_eta_level_holdout_within_n,42,0.5845531935428129,0.0,48000,0.701337127247328,0.6070629116585652,0.5293829329592756,0.47556735574356884
Default,gamma_eta_level_holdout_within_n,42,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,gamma_eta_level_holdout_within_n,42,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
Mean-Normalized-MLP,gamma_eta_level_holdout_within_n,2026,0.5849135438096444,0.0,48000,0.7046301230888252,0.6040584564840132,0.528459939735167,0.4773209379536051
Default,gamma_eta_level_holdout_within_n,2026,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,gamma_eta_level_holdout_within_n,2026,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
Mean-Normalized-MLP,gamma_eta_level_holdout_within_n,3407,0.5855203298807452,0.0,48000,0.7000233768643649,0.6111120313913262,0.5274425299180926,0.4792180728858278
Default,gamma_eta_level_holdout_within_n,3407,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,gamma_eta_level_holdout_within_n,3407,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
