fit_id,n,fold,seed,route,converged,nan_flag,best_epoch,stopped_epoch,best_val_loss,last_train_loss,rrmse_x95,n_test,n_nonfinite,n_illegal,n_support_viol,support_legality_ok,sample_bytes_sha,evidence_sha256,runtime_s,init_param_sha,batch_order_sha,network_sha,scaler_sha,train_rows_sha,val_rows_sha,test_rows_sha,target_R,hidden_layers,split_strategy
n10_f1_s2026_rP,10,1,2026,P,True,False,86,106,0.059801660545717346,0.0615625156718823,0.1784875396157938,2400,0,0,0,True,49a373c080da421fc8545181299e2b2e9d3a1d223b53c84176848add7ce833ff,24088bec9e6b207a98e7c49dd5b46300ca7d5cf5f1da5e23e6ee6130be59fdcf,8.915820121765137,9a0568b66c4fd7e091cedaa10dfce3c252fd4ddc8cc643966e4375aba0fdff1a,e67f5fadb9252bba3db382e8bf559560896617811461200c7853b439c9e7148b,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,629b35229b46c2c3c3c31eeefdadf0bd8f9c5a00cf429f3d4d7ba588b517d905,60ea477ca7c473df13c48cc1a9230a7326bb367fcc306194f087cf86bb667b6e,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,ccb747eb2f661a650b24912cbfd4589ba5b1924ce5889e3f1ec12d26bebdf7e1,,"[256, 128, 64]",repeat_stratified
n10_f1_s2026_rQ,10,1,2026,Q,True,False,47,67,0.02875145495482061,0.026175172555512303,0.1668589869146928,2400,0,0,0,True,49a373c080da421fc8545181299e2b2e9d3a1d223b53c84176848add7ce833ff,b3aea56c3ffe3dec05a5fa67894db099dbf5e979a3b2656ed406bd417f896d6e,5.842763662338257,9a0568b66c4fd7e091cedaa10dfce3c252fd4ddc8cc643966e4375aba0fdff1a,e67f5fadb9252bba3db382e8bf559560896617811461200c7853b439c9e7148b,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,629b35229b46c2c3c3c31eeefdadf0bd8f9c5a00cf429f3d4d7ba588b517d905,60ea477ca7c473df13c48cc1a9230a7326bb367fcc306194f087cf86bb667b6e,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,ccb747eb2f661a650b24912cbfd4589ba5b1924ce5889e3f1ec12d26bebdf7e1,,"[256, 128, 64]",repeat_stratified
n10_f1_s3407_rP,10,1,3407,P,True,False,54,74,0.06059581899875705,0.06417283190067201,0.18103892412837472,2400,0,0,0,True,49a373c080da421fc8545181299e2b2e9d3a1d223b53c84176848add7ce833ff,b9218d51589d7cdcb5f583afa7a944c8cd5cafed88ec4ecc8a8e2631a66f429c,6.629316568374634,a1e4caac54b630f1b323a13421dde5e2b20ab13afb3662c955cab8a49fa60b29,20bdb025c13dcf7b362001d5142ba2ca925c19973dc4d323058641f4233a94cb,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,629b35229b46c2c3c3c31eeefdadf0bd8f9c5a00cf429f3d4d7ba588b517d905,60ea477ca7c473df13c48cc1a9230a7326bb367fcc306194f087cf86bb667b6e,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,ccb747eb2f661a650b24912cbfd4589ba5b1924ce5889e3f1ec12d26bebdf7e1,,"[256, 128, 64]",repeat_stratified
n10_f1_s3407_rQ,10,1,3407,Q,True,False,70,90,0.02833501575595734,0.026787190429306194,0.1670967319493034,2400,0,0,0,True,49a373c080da421fc8545181299e2b2e9d3a1d223b53c84176848add7ce833ff,0162fc8bd15f52e758dfed6cb94a944885ca033b76b76341356ead75acc744bf,7.700845956802368,a1e4caac54b630f1b323a13421dde5e2b20ab13afb3662c955cab8a49fa60b29,20bdb025c13dcf7b362001d5142ba2ca925c19973dc4d323058641f4233a94cb,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,629b35229b46c2c3c3c31eeefdadf0bd8f9c5a00cf429f3d4d7ba588b517d905,60ea477ca7c473df13c48cc1a9230a7326bb367fcc306194f087cf86bb667b6e,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,ccb747eb2f661a650b24912cbfd4589ba5b1924ce5889e3f1ec12d26bebdf7e1,,"[256, 128, 64]",repeat_stratified
n10_f1_s42_rP,10,1,42,P,True,False,92,112,0.05985465345377256,0.06649201174573524,0.1756624911497453,2400,0,0,0,True,49a373c080da421fc8545181299e2b2e9d3a1d223b53c84176848add7ce833ff,dcfbbb7122aa1136f79df53af750850e81b3dc86a7b09f39b0c6294353892d73,9.581732988357544,d0b73213da5017459159d55d5d4e8f3b522400c4546c1e10f226cbdeed0c4be5,611fd708aef8d763dc916872b7bf4e8e37227514dbe28455d67660a2d18aac51,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,629b35229b46c2c3c3c31eeefdadf0bd8f9c5a00cf429f3d4d7ba588b517d905,60ea477ca7c473df13c48cc1a9230a7326bb367fcc306194f087cf86bb667b6e,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,ccb747eb2f661a650b24912cbfd4589ba5b1924ce5889e3f1ec12d26bebdf7e1,,"[256, 128, 64]",repeat_stratified
n10_f1_s42_rQ,10,1,42,Q,True,False,44,64,0.028518946167271342,0.026536901172118668,0.16717831948679973,2400,0,0,0,True,49a373c080da421fc8545181299e2b2e9d3a1d223b53c84176848add7ce833ff,8aefff28b806b6da647c477262fe25ffe1f2ef611eabd3424e9c5bfaca2ea998,5.95565128326416,d0b73213da5017459159d55d5d4e8f3b522400c4546c1e10f226cbdeed0c4be5,611fd708aef8d763dc916872b7bf4e8e37227514dbe28455d67660a2d18aac51,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,629b35229b46c2c3c3c31eeefdadf0bd8f9c5a00cf429f3d4d7ba588b517d905,60ea477ca7c473df13c48cc1a9230a7326bb367fcc306194f087cf86bb667b6e,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,ccb747eb2f661a650b24912cbfd4589ba5b1924ce5889e3f1ec12d26bebdf7e1,,"[256, 128, 64]",repeat_stratified
n10_f2_s2026_rP,10,2,2026,P,True,False,90,110,0.061956361102933545,0.05976069939999684,0.17475969208597825,2400,0,0,0,True,df1071f4299351bc78c4a4e4faff4f5a1e67be7c36edf1fe1bec7cac0fd1b74a,0ccaf65c64788e6dd9a830fff2c98d4a6761b258143c4c553b8fd31512ae260f,9.786441802978516,9a0568b66c4fd7e091cedaa10dfce3c252fd4ddc8cc643966e4375aba0fdff1a,e67f5fadb9252bba3db382e8bf559560896617811461200c7853b439c9e7148b,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,bedee17ca4c3344bdeb825efa17e30ef42ff1074f5421ebe2703c42aa79b0859,87c8d0fa34af49790ebedbdcb4d3c1cb8c6b73ed34eddfd545c575c076cbb5f6,b631823454124dd6b655203943cba7bafcd1983f58df27eb0232999bfcaff902,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,,"[256, 128, 64]",repeat_stratified
n10_f2_s2026_rQ,10,2,2026,Q,True,False,35,55,0.029105178380919926,0.026676586774652764,0.16929858948333149,2400,0,0,0,True,df1071f4299351bc78c4a4e4faff4f5a1e67be7c36edf1fe1bec7cac0fd1b74a,9283bb0e5d7788a9864d02adbdc3f749299dc559b94d076889ea05770d0f2778,4.817497491836548,9a0568b66c4fd7e091cedaa10dfce3c252fd4ddc8cc643966e4375aba0fdff1a,e67f5fadb9252bba3db382e8bf559560896617811461200c7853b439c9e7148b,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,bedee17ca4c3344bdeb825efa17e30ef42ff1074f5421ebe2703c42aa79b0859,87c8d0fa34af49790ebedbdcb4d3c1cb8c6b73ed34eddfd545c575c076cbb5f6,b631823454124dd6b655203943cba7bafcd1983f58df27eb0232999bfcaff902,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,,"[256, 128, 64]",repeat_stratified
n10_f2_s3407_rP,10,2,3407,P,True,False,62,82,0.0621691800776166,0.059594784574161855,0.17538063947656135,2400,0,0,0,True,df1071f4299351bc78c4a4e4faff4f5a1e67be7c36edf1fe1bec7cac0fd1b74a,689cb50c4e25577598c938220249b9e6a748e39c69a8ccf695738748974bd9c0,6.9622557163238525,a1e4caac54b630f1b323a13421dde5e2b20ab13afb3662c955cab8a49fa60b29,20bdb025c13dcf7b362001d5142ba2ca925c19973dc4d323058641f4233a94cb,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,bedee17ca4c3344bdeb825efa17e30ef42ff1074f5421ebe2703c42aa79b0859,87c8d0fa34af49790ebedbdcb4d3c1cb8c6b73ed34eddfd545c575c076cbb5f6,b631823454124dd6b655203943cba7bafcd1983f58df27eb0232999bfcaff902,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,,"[256, 128, 64]",repeat_stratified
n10_f2_s3407_rQ,10,2,3407,Q,True,False,50,70,0.029177247197879,0.025916683609442943,0.16836167856312298,2400,0,0,0,True,df1071f4299351bc78c4a4e4faff4f5a1e67be7c36edf1fe1bec7cac0fd1b74a,4cd990b79581997faddfc798eb7ca495b42d46e5569b063d6fd15120317ad2f2,6.138323068618774,a1e4caac54b630f1b323a13421dde5e2b20ab13afb3662c955cab8a49fa60b29,20bdb025c13dcf7b362001d5142ba2ca925c19973dc4d323058641f4233a94cb,d8d3ea0e9027d08d135850c94cedef7baaf9c47c48004e3b18a92b29d4942681,bedee17ca4c3344bdeb825efa17e30ef42ff1074f5421ebe2703c42aa79b0859,87c8d0fa34af49790ebedbdcb4d3c1cb8c6b73ed34eddfd545c575c076cbb5f6,b631823454124dd6b655203943cba7bafcd1983f58df27eb0232999bfcaff902,c22a061ec428a267de3dde066a5607197f67766f76753359dce7cfeda6758cff,,"[256, 128, 64]",repeat_stratified
