held_out_beta,model,seed,J1,failure_rate,n_samples,J1_n7,failure_n7,J1_n10,failure_n10,J1_n15,failure_n15,J1_n20,failure_n20
1.5,Default,42,0.5476987191772456,0.0,6000,0.7299742797291473,0.0,0.5610106469448566,0.0,0.455008742240941,0.0,0.3811393411684551,0.0
1.5,L6,42,0.3974603153780581,0.0,6000,0.5323503242668923,0.0,0.409125967219022,0.0,0.317892834260476,0.0,0.2829523463899486,0.0
1.5,Mean-Normalized-MLP,42,0.5541004658721302,0.0,6000,0.7368690406228556,0.0,0.5505231672331808,0.0,0.4728479120872066,0.0,0.398085941053833,0.0
2.0,Default,42,0.5204978344244865,0.0,6000,0.6525452248531416,0.0,0.5390511106245576,0.0,0.4593917144383687,0.0,0.3952718873427387,0.0
2.0,L6,42,0.4032794060260262,0.0,6000,0.5231849424632138,0.0,0.4186570052176914,0.0,0.3406500837002856,0.0,0.2924012067959432,0.0
2.0,Mean-Normalized-MLP,42,0.4962065234554079,0.0,6000,0.5960957663208689,0.0,0.5172595094289046,0.0,0.4381535461488039,0.0,0.4123318602239486,0.0
2.5,Default,42,0.5318700939484555,0.0,6000,0.6584633245557531,0.0,0.563402548154484,0.0,0.4637338631522941,0.0,0.4068140981588818,0.0
2.5,L6,42,0.436575988144923,0.0,6000,0.5482703831524631,0.0,0.4715251096265055,0.0,0.37377378350263,0.0,0.3158341185093152,0.0
2.5,Mean-Normalized-MLP,42,0.5076405932341838,0.0,6000,0.6079480156553446,0.0,0.5355490331458173,0.0,0.4472497289286936,0.0,0.4175524050070066,0.0
3.0,Default,42,0.5723656222089817,0.0,6000,0.7026262114776017,0.0,0.5904642597014524,0.0,0.5123943267239464,0.0,0.4533542112384763,0.0
3.0,L6,42,0.4708530415821175,0.0,6000,0.5878382837683459,0.0,0.4881474526908862,0.0,0.4162061627758748,0.0,0.3601957713571773,0.0
3.0,Mean-Normalized-MLP,42,0.5412639733004838,0.0,6000,0.6609473030371567,0.0,0.5500889421748083,0.0,0.4850096351181966,0.0,0.4440531807334913,0.0
3.5,Default,42,0.6136100743597207,0.0,6000,0.7461255813753187,0.0,0.6374150199567199,0.0,0.5439951520586508,0.0,0.4971290346686365,0.0
3.5,L6,42,0.4963108122099591,0.0,6000,0.6107122451527348,0.0,0.5201453398641569,0.0,0.4322454035056303,0.0,0.3936254303934118,0.0
3.5,Mean-Normalized-MLP,42,0.56256894436371,0.0,6000,0.6794413725616816,0.0,0.5840114046943009,0.0,0.5021387471320585,0.0,0.4594366634446257,0.0
4.0,Default,42,0.6811755452846217,0.0,6000,0.8167345253526498,0.0,0.7112567802124594,0.0,0.6167683719292552,0.0,0.5501415972835808,0.0
4.0,L6,42,0.5373104816231123,0.0,6000,0.6568345613397755,0.0,0.5622729606172704,0.0,0.4820800975706512,0.0,0.4181225549558279,0.0
4.0,Mean-Normalized-MLP,42,0.6107057856404917,0.0,6000,0.7322878779990235,0.0,0.6286199759635931,0.0,0.5674448488770525,0.0,0.4883072388335016,0.0
4.5,Default,42,0.7305429111984516,0.0,6000,0.8579858843516331,0.0,0.7626731083768654,0.0,0.6676672680355972,0.0,0.6092472007446841,0.0
4.5,L6,42,0.5595063462252573,0.0,6000,0.6763930203933894,0.0,0.5842638958075005,0.0,0.501327103848212,0.0,0.4494315552244459,0.0
4.5,Mean-Normalized-MLP,42,0.6557212473707045,0.0,6000,0.7702823367538507,0.0,0.6797907080384565,0.0,0.6048297996443521,0.0,0.5464540652473405,0.0
5.0,Default,42,0.789769332128496,0.0,6000,0.9029325913499044,0.0,0.8303002441860364,0.0,0.7326667852760286,0.0,0.6733914267488167,0.0
5.0,L6,42,0.5982199497793134,0.0,6000,0.7036326885762599,0.0,0.6304903416252021,0.0,0.5400331588971962,0.0,0.4972077928106643,0.0
5.0,Mean-Normalized-MLP,42,0.711314262465927,0.0,6000,0.8215596097146484,0.0,0.7348583154391587,0.0,0.6553990629228759,0.0,0.6159115619835654,0.0
